Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jamesaduncan,0,0,0,Unavailable,2020-11-15,06:45:47,Unavailable,Unavailable,Unavailable,Unavailable,jamesaduncan,jamesaduncan,jamesaduncan,meta-OZ5EQgGrw5Li.json,OZ,RREEPPLLAACCEE/OZ/5E/OZ5EQgGrw5Li.mp4,RREEPPLLAACCEE/OZ/5E/OZ5EQgGrw5Li_small.mp4
Johnson,0,0,0,Unavailable,2020-11-15,01:42:00,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-OZ825gG1tYYU.json,OZ,RREEPPLLAACCEE/OZ/82/OZ825gG1tYYU.mp4,RREEPPLLAACCEE/OZ/82/OZ825gG1tYYU_small.mp4
andre,0,0,0,Unavailable,2020-06-24,22:14:48,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-OZqSLgHMtGdH.json,OZ,RREEPPLLAACCEE/OZ/qS/OZqSLgHMtGdH.mp4,RREEPPLLAACCEE/OZ/qS/OZqSLgHMtGdH_small.mp4
Johnson,0,0,0,Unavailable,2020-11-19,12:03:02,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-Oz1AnjLeEiou.json,Oz,RREEPPLLAACCEE/Oz/1A/Oz1AnjLeEiou.mp4,RREEPPLLAACCEE/Oz/1A/Oz1AnjLeEiou_small.mp4
glaub,0,0,0,Unavailable,2020-11-19,13:49:13,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-OzmJDO28pcGg.json,Oz,RREEPPLLAACCEE/Oz/mJ/OzmJDO28pcGg.mp4,RREEPPLLAACCEE/Oz/mJ/OzmJDO28pcGg_small.mp4
megan,0,0,0,Unavailable,2021-01-04,23:18:58,Unavailable,Unavailable,Unavailable,Unavailable,megan,megan,megan,meta-OzmrdNDETbWK.json,Oz,RREEPPLLAACCEE/Oz/mr/OzmrdNDETbWK.mp4,RREEPPLLAACCEE/Oz/mr/OzmrdNDETbWK_small.mp4
Mello-Gabinete,0,0,0,Unavailable,2020-10-08,20:41:40,Unavailable,Unavailable,Unavailable,Unavailable,Mello-Gabinete,Mello-Gabinete,Mello-Gabinete,meta-oZCaexBVrOPc.json,oZ,RREEPPLLAACCEE/oZ/Ca/oZCaexBVrOPc.mp4,RREEPPLLAACCEE/oZ/Ca/oZCaexBVrOPc_small.mp4
Administrator,0,0,0,Unavailable,2020-10-28,01:46:54,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-oZSBMsgPMbkV.json,oZ,RREEPPLLAACCEE/oZ/SB/oZSBMsgPMbkV.mp4,RREEPPLLAACCEE/oZ/SB/oZSBMsgPMbkV_small.mp4
prudy,0,0,0,Unavailable,2020-11-18,18:05:32,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-oZUXJKS1LZY6.json,oZ,RREEPPLLAACCEE/oZ/UX/oZUXJKS1LZY6.mp4,RREEPPLLAACCEE/oZ/UX/oZUXJKS1LZY6_small.mp4
thejo,0,0,0,Unavailable,2020-07-15,13:44:39,Unavailable,Unavailable,Unavailable,Unavailable,thejo,thejo,thejo,meta-ozEoCgYETtK1.json,oz,RREEPPLLAACCEE/oz/Eo/ozEoCgYETtK1.mp4,RREEPPLLAACCEE/oz/Eo/ozEoCgYETtK1_small.mp4
