Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
troin,0,0,0,Unavailable,2020-10-05,13:45:22,DJI,,,Unavailable,troin,troin,troin,meta-GV41dGZBSU4R.json,GV,RREEPPLLAACCEE/GV/41/GV41dGZBSU4R.mp4,RREEPPLLAACCEE/GV/41/GV41dGZBSU4R_small.mp4
bmmce,0,0,0,Unavailable,2021-01-09,05:38:44,Unavailable,Unavailable,Unavailable,Unavailable,bmmce,bmmce,bmmce,meta-GVX0TjSfUIto.json,GV,RREEPPLLAACCEE/GV/X0/GVX0TjSfUIto.mp4,RREEPPLLAACCEE/GV/X0/GVX0TjSfUIto_small.mp4
davideggehorn,0,0,0,Unavailable,2020-07-08,04:21:31,Unavailable,Unavailable,Unavailable,Unavailable,davideggehorn,davideggehorn,davideggehorn,meta-GVfwgEaPD0Nt.json,GV,RREEPPLLAACCEE/GV/fw/GVfwgEaPD0Nt.mp4,RREEPPLLAACCEE/GV/fw/GVfwgEaPD0Nt_small.mp4
elimeranpc,0,0,0,Unavailable,2020-12-20,14:15:48,Panasonic,,Unavailable,Unavailable,usuario,usuario,usuario,meta-gV3ewUCgAX2J.json,gV,RREEPPLLAACCEE/gV/3e/gV3ewUCgAX2J.mp4,RREEPPLLAACCEE/gV/3e/gV3ewUCgAX2J_small.mp4
Bojan,0,0,0,Unavailable,2021-01-08,12:30:05,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-gVooyfo3ynum.json,gV,RREEPPLLAACCEE/gV/oo/gVooyfo3ynum.mp4,RREEPPLLAACCEE/gV/oo/gVooyfo3ynum_small.mp4
Nutrimais,0,0,0,Unavailable,2020-10-22,14:30:46,Unavailable,Unavailable,Unavailable,Unavailable,Nutrimais,Nutrimais,Nutrimais,meta-gVsaeclUPHu4.json,gV,RREEPPLLAACCEE/gV/sa/gVsaeclUPHu4.mp4,RREEPPLLAACCEE/gV/sa/gVsaeclUPHu4_small.mp4
Gavin,0,0,0,Unavailable,2020-07-26,23:54:54,Unavailable,Unavailable,Unavailable,Unavailable,Gavin,Gavin,Gavin,meta-gvbGPIfGuyGl.json,gv,RREEPPLLAACCEE/gv/bG/gvbGPIfGuyGl.mp4,RREEPPLLAACCEE/gv/bG/gvbGPIfGuyGl_small.mp4
Unavailable,38.8902,77.0141,0,Unavailable,2021-01-06,21:32:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GV3WX5nYIHZk.json,GV,RREEPPLLAACCEE/GV/3W/GV3WX5nYIHZk.mp4,RREEPPLLAACCEE/GV/3W/GV3WX5nYIHZk_small.mp4
Unavailable,30.2989,87.4135,2.918,Above Sea Level,2020-07-17,00:30:40,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GV4dFqDhU3Vl.json,GV,RREEPPLLAACCEE/GV/4d/GV4dFqDhU3Vl.mp4,RREEPPLLAACCEE/GV/4d/GV4dFqDhU3Vl_small.mp4
Unavailable,26.2459,80.0940,2.207,Above Sea Level,2020-12-11,13:55:46,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GV8N4MeXtei6.json,GV,RREEPPLLAACCEE/GV/8N/GV8N4MeXtei6.mp4,RREEPPLLAACCEE/GV/8N/GV8N4MeXtei6_small.mp4
Unavailable,40.9979,72.3447,5.559,Above Sea Level,2020-12-01,05:19:08,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVAmAGffdjY7.json,GV,RREEPPLLAACCEE/GV/Am/GVAmAGffdjY7.mp4,RREEPPLLAACCEE/GV/Am/GVAmAGffdjY7_small.mp4
Unavailable,31.3460,94.6983,0,Unavailable,2021-01-09,15:21:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVPdAz2upjKq.json,GV,RREEPPLLAACCEE/GV/Pd/GVPdAz2upjKq.mp4,RREEPPLLAACCEE/GV/Pd/GVPdAz2upjKq_small.mp4
Unavailable,54.8989,1.4962,36.511,Above Sea Level,2020-06-30,23:06:16,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVQWMuUmYavK.json,GV,RREEPPLLAACCEE/GV/QW/GVQWMuUmYavK.mp4,RREEPPLLAACCEE/GV/QW/GVQWMuUmYavK_small.mp4
Unavailable,33.7459,116.9658,0,Unavailable,2020-05-15,01:50:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVYXmGe54KPn.json,GV,RREEPPLLAACCEE/GV/YX/GVYXmGe54KPn.mp4,RREEPPLLAACCEE/GV/YX/GVYXmGe54KPn_small.mp4
Unavailable,37.5781,82.3221,287.761,Above Sea Level,2020-07-07,12:17:35,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVcvLqZrSrls.json,GV,RREEPPLLAACCEE/GV/cv/GVcvLqZrSrls.mp4,RREEPPLLAACCEE/GV/cv/GVcvLqZrSrls_small.mp4
Unavailable,42.5235,71.7464,114.621,Above Sea Level,2020-11-26,23:05:04,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVfCoIrjt6we.json,GV,RREEPPLLAACCEE/GV/fC/GVfCoIrjt6we.mp4,RREEPPLLAACCEE/GV/fC/GVfCoIrjt6we_small.mp4
Unavailable,28.9113,81.2924,26.75,Above Sea Level,2020-06-19,19:45:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVjvvJvmXOMl.json,GV,RREEPPLLAACCEE/GV/jv/GVjvvJvmXOMl.mp4,RREEPPLLAACCEE/GV/jv/GVjvvJvmXOMl_small.mp4
Unavailable,39.2164,121.0620,732.75,Above Sea Level,2020-11-22,00:28:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVlrJn13C9op.json,GV,RREEPPLLAACCEE/GV/lr/GVlrJn13C9op.mp4,RREEPPLLAACCEE/GV/lr/GVlrJn13C9op_small.mp4
Unavailable,52.5631,13.2130,30.28,Above Sea Level,2020-04-13,10:27:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVnKBXMiMfzr.json,GV,RREEPPLLAACCEE/GV/nK/GVnKBXMiMfzr.mp4,RREEPPLLAACCEE/GV/nK/GVnKBXMiMfzr_small.mp4
Unavailable,34.7477,78.1987,0,Unavailable,2020-11-14,18:40:58,Unavailable,HERO7 Black,,,Unavailble,Unavailable,Unavailable,meta-GVq55H54pbC5.json,GV,RREEPPLLAACCEE/GV/q5/GVq55H54pbC5.mp4,RREEPPLLAACCEE/GV/q5/GVq55H54pbC5_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-11-01,02:00:49,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVq6zmWMs2Au.json,GV,RREEPPLLAACCEE/GV/q6/GVq6zmWMs2Au.mp4,RREEPPLLAACCEE/GV/q6/GVq6zmWMs2Au_small.mp4
Unavailable,38.8954,77.0090,15.315,Above Sea Level,2018-12-05,22:39:53,Apple,iPad Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GVqtVyFGYKxE.json,GV,RREEPPLLAACCEE/GV/qt/GVqtVyFGYKxE.mp4,RREEPPLLAACCEE/GV/qt/GVqtVyFGYKxE_small.mp4
Unavailable,42.3275,83.0478,182.979,Above Sea Level,2020-11-04,22:58:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gv0mME8aoKBx.json,Gv,RREEPPLLAACCEE/Gv/0m/Gv0mME8aoKBx.mp4,RREEPPLLAACCEE/Gv/0m/Gv0mME8aoKBx_small.mp4
Unavailable,30.1848,85.8214,0,Unavailable,2019-07-15,12:59:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvCqCETeHTNN.json,Gv,RREEPPLLAACCEE/Gv/Cq/GvCqCETeHTNN.mp4,RREEPPLLAACCEE/Gv/Cq/GvCqCETeHTNN_small.mp4
Unavailable,40.5201,111.9432,1360.889,Above Sea Level,2020-11-25,04:39:33,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvFDfFwyrpdM.json,Gv,RREEPPLLAACCEE/Gv/FD/GvFDfFwyrpdM.mp4,RREEPPLLAACCEE/Gv/FD/GvFDfFwyrpdM_small.mp4
Unavailable,26.4595,80.1399,6.73,Above Sea Level,2020-12-21,18:59:54,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvH6m3HGKn06.json,Gv,RREEPPLLAACCEE/Gv/H6/GvH6m3HGKn06.mp4,RREEPPLLAACCEE/Gv/H6/GvH6m3HGKn06_small.mp4
Unavailable,38.9005,77.0445,0,Unavailable,2020-11-14,15:16:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvIN5jlCb7IJ.json,Gv,RREEPPLLAACCEE/Gv/IN/GvIN5jlCb7IJ.mp4,RREEPPLLAACCEE/Gv/IN/GvIN5jlCb7IJ_small.mp4
Unavailable,53.2958,5.0693,0,Unavailable,2020-10-28,11:25:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvLgfJ3hQwHm.json,Gv,RREEPPLLAACCEE/Gv/Lg/GvLgfJ3hQwHm.mp4,RREEPPLLAACCEE/Gv/Lg/GvLgfJ3hQwHm_small.mp4
Unavailable,38.8904,77.0058,27.948,Above Sea Level,2020-11-14,20:13:46,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvNmR6AyIPXW.json,Gv,RREEPPLLAACCEE/Gv/Nm/GvNmR6AyIPXW.mp4,RREEPPLLAACCEE/Gv/Nm/GvNmR6AyIPXW_small.mp4
Unavailable,38.8908,77.0130,19.486,Above Sea Level,2021-01-09,17:50:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GvSfsVukvld7.json,Gv,RREEPPLLAACCEE/Gv/Sf/GvSfsVukvld7.mp4,RREEPPLLAACCEE/Gv/Sf/GvSfsVukvld7_small.mp4
