Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Rumen,0,0,0,Unavailable,2020-08-24,19:17:10,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-5UbcyYyGWhIt.json,5U,RREEPPLLAACCEE/5U/bc/5UbcyYyGWhIt.mp4,RREEPPLLAACCEE/5U/bc/5UbcyYyGWhIt_small.mp4
janaekinne,0,0,0,Unavailable,2020-07-23,01:28:58,Unavailable,Unavailable,Unavailable,Unavailable,janaekinne,janaekinne,janaekinne,meta-5uDoX1Z1c6Nz.json,5u,RREEPPLLAACCEE/5u/Do/5uDoX1Z1c6Nz.mp4,RREEPPLLAACCEE/5u/Do/5uDoX1Z1c6Nz_small.mp4
Unavailable,28.1974,82.7738,5.676,Above Sea Level,2020-12-16,22:47:05,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5U0cYQMd0pxd.json,5U,RREEPPLLAACCEE/5U/0c/5U0cYQMd0pxd.mp4,RREEPPLLAACCEE/5U/0c/5U0cYQMd0pxd_small.mp4
Unavailable,42.1929,71.1181,47.839,Above Sea Level,2020-12-02,12:09:10,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5UFbIjQ8AJWe.json,5U,RREEPPLLAACCEE/5U/Fb/5UFbIjQ8AJWe.mp4,RREEPPLLAACCEE/5U/Fb/5UFbIjQ8AJWe_small.mp4
Unavailable,37.6681,121.8024,128.299,Above Sea Level,2020-11-14,19:30:32,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5UbIqSn2W3Pz.json,5U,RREEPPLLAACCEE/5U/bI/5UbIqSn2W3Pz.mp4,RREEPPLLAACCEE/5U/bI/5UbIqSn2W3Pz_small.mp4
Unavailable,30.0986,81.8650,0,Unavailable,2020-11-18,13:57:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5UfHMJ53WA1v.json,5U,RREEPPLLAACCEE/5U/fH/5UfHMJ53WA1v.mp4,RREEPPLLAACCEE/5U/fH/5UfHMJ53WA1v_small.mp4
Unavailable,29.4798,98.6547,248.852,Above Sea Level,2020-11-11,11:35:25,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5UntNdgpgZgf.json,5U,RREEPPLLAACCEE/5U/nt/5UntNdgpgZgf.mp4,RREEPPLLAACCEE/5U/nt/5UntNdgpgZgf_small.mp4
Unavailable,26.4213,80.1645,6.821,Above Sea Level,2020-12-30,18:22:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5UsqyIRrNp1q.json,5U,RREEPPLLAACCEE/5U/sq/5UsqyIRrNp1q.mp4,RREEPPLLAACCEE/5U/sq/5UsqyIRrNp1q_small.mp4
Unavailable,38.8918,77.0248,5.179,Above Sea Level,2021-01-06,18:26:34,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Uwz75EfuKZn.json,5U,RREEPPLLAACCEE/5U/wz/5Uwz75EfuKZn.mp4,RREEPPLLAACCEE/5U/wz/5Uwz75EfuKZn_small.mp4
Unavailable,32.8064,97.4486,195.512,Above Sea Level,2020-11-12,03:47:45,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5u0qEYuoXSie.json,5u,RREEPPLLAACCEE/5u/0q/5u0qEYuoXSie.mp4,RREEPPLLAACCEE/5u/0q/5u0qEYuoXSie_small.mp4
Unavailable,42.7783,83.0000,229.693,Above Sea Level,2020-11-01,17:26:38,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5u3GqH9tIGAv.json,5u,RREEPPLLAACCEE/5u/3G/5u3GqH9tIGAv.mp4,RREEPPLLAACCEE/5u/3G/5u3GqH9tIGAv_small.mp4
Unavailable,26.2815,80.2677,4.186,Above Sea Level,2020-12-15,21:00:32,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5u3PmpfFGy1T.json,5u,RREEPPLLAACCEE/5u/3P/5u3PmpfFGy1T.mp4,RREEPPLLAACCEE/5u/3P/5u3PmpfFGy1T_small.mp4
Unavailable,40.3624,74.3617,18.531,Above Sea Level,2020-11-19,03:29:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5u3TUInUPfC9.json,5u,RREEPPLLAACCEE/5u/3T/5u3TUInUPfC9.mp4,RREEPPLLAACCEE/5u/3T/5u3TUInUPfC9_small.mp4
Unavailable,39.6580,106.9721,1926.319,Above Sea Level,2020-11-21,00:37:44,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5u5N0tsxGzAF.json,5u,RREEPPLLAACCEE/5u/5N/5u5N0tsxGzAF.mp4,RREEPPLLAACCEE/5u/5N/5u5N0tsxGzAF_small.mp4
Unavailable,41.0916,73.4725,35.441,Above Sea Level,2020-11-08,01:20:35,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5uBZ6T328L1u.json,5u,RREEPPLLAACCEE/5u/BZ/5uBZ6T328L1u.mp4,RREEPPLLAACCEE/5u/BZ/5uBZ6T328L1u_small.mp4
Unavailable,33.5273,112.2626,0,Unavailable,2020-11-15,23:33:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5uDr9NRC6T0y.json,5u,RREEPPLLAACCEE/5u/Dr/5uDr9NRC6T0y.mp4,RREEPPLLAACCEE/5u/Dr/5uDr9NRC6T0y_small.mp4
