Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
DK,0,0,0,Unavailable,2020-12-16,22:57:37,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-Hw5RpKh2bru3.json,Hw,RREEPPLLAACCEE/Hw/5R/Hw5RpKh2bru3.mp4,RREEPPLLAACCEE/Hw/5R/Hw5RpKh2bru3_small.mp4
Robert1,0,0,0,Unavailable,2020-11-26,16:18:14,Unavailable,Unavailable,Unavailable,Unavailable,Robert1,Robert1,Robert1,meta-HwJjs02XqgB8.json,Hw,RREEPPLLAACCEE/Hw/Jj/HwJjs02XqgB8.mp4,RREEPPLLAACCEE/Hw/Jj/HwJjs02XqgB8_small.mp4
leona,0,0,0,Unavailable,2020-07-22,14:42:21,Unavailable,Unavailable,Unavailable,Unavailable,leona,leona,leona,meta-hWGpcZMlksaT.json,hW,RREEPPLLAACCEE/hW/Gp/hWGpcZMlksaT.mp4,RREEPPLLAACCEE/hW/Gp/hWGpcZMlksaT_small.mp4
King Castro,0,0,0,Unavailable,2020-12-13,18:50:25,Unavailable,Unavailable,Unavailable,Unavailable,King Castro,King Castro,King Castro,meta-hWyfxCJogXUg.json,hW,RREEPPLLAACCEE/hW/yf/hWyfxCJogXUg.mp4,RREEPPLLAACCEE/hW/yf/hWyfxCJogXUg_small.mp4
johnblock,0,0,0,Unavailable,2020-12-30,01:33:23,Unavailable,,Unavailable,Unavailable,johnblock,johnblock,johnblock,meta-hwRW0ZTyCO5z.json,hw,RREEPPLLAACCEE/hw/RW/hwRW0ZTyCO5z.mp4,RREEPPLLAACCEE/hw/RW/hwRW0ZTyCO5z_small.mp4
jordi,0,0,0,Unavailable,2020-08-27,08:26:06,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-hwjsU04hftMS.json,hw,RREEPPLLAACCEE/hw/js/hwjsU04hftMS.mp4,RREEPPLLAACCEE/hw/js/hwjsU04hftMS_small.mp4
Unavailable,33.0131,96.9911,152.506,Above Sea Level,2021-01-04,22:13:49,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HW9bWEaDK3qK.json,HW,RREEPPLLAACCEE/HW/9b/HW9bWEaDK3qK.mp4,RREEPPLLAACCEE/HW/9b/HW9bWEaDK3qK_small.mp4
Unavailable,42.5791,72.4937,87.153,Above Sea Level,2020-06-30,17:14:11,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HWECVeHbRpDL.json,HW,RREEPPLLAACCEE/HW/EC/HWECVeHbRpDL.mp4,RREEPPLLAACCEE/HW/EC/HWECVeHbRpDL_small.mp4
Unavailable,40.3198,79.9068,340.49,Above Sea Level,2020-10-05,23:12:08,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HWEInSKZUSJY.json,HW,RREEPPLLAACCEE/HW/EI/HWEInSKZUSJY.mp4,RREEPPLLAACCEE/HW/EI/HWEInSKZUSJY_small.mp4
Unavailable,30.4552,91.0654,16,Above Sea Level,2020-10-28,12:05:47,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HWIkv91MUQhw.json,HW,RREEPPLLAACCEE/HW/Ik/HWIkv91MUQhw.mp4,RREEPPLLAACCEE/HW/Ik/HWIkv91MUQhw_small.mp4
