Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Croxxover,0,0,0,Unavailable,2020-10-28,16:36:54,Unavailable,Unavailable,Unavailable,Unavailable,Croxxover,Croxxover,Croxxover,meta-JNpeOmhQExpc.json,JN,RREEPPLLAACCEE/JN/pe/JNpeOmhQExpc.mp4,RREEPPLLAACCEE/JN/pe/JNpeOmhQExpc_small.mp4
Proshow,0,0,0,Unavailable,2021-01-01,02:26:16,Unavailable,Unavailable,Unavailable,Unavailable,prosh,prosh,prosh,meta-JnNMZQxpukol.json,Jn,RREEPPLLAACCEE/Jn/NM/JnNMZQxpukol.mp4,RREEPPLLAACCEE/Jn/NM/JnNMZQxpukol_small.mp4
scott,0,0,0,Unavailable,2020-09-02,20:16:50,Unavailable,Unavailable,Unavailable,Unavailable,scott,scott,scott,meta-JnlnfKaGwGaC.json,Jn,RREEPPLLAACCEE/Jn/ln/JnlnfKaGwGaC.mp4,RREEPPLLAACCEE/Jn/ln/JnlnfKaGwGaC_small.mp4
Richard,0,0,0,Unavailable,2020-07-29,14:03:40,Unavailable,Unavailable,Unavailable,Unavailable,Richard,Richard,Richard,meta-jNg3z6S5Vmxe.json,jN,RREEPPLLAACCEE/jN/g3/jNg3z6S5Vmxe.mp4,RREEPPLLAACCEE/jN/g3/jNg3z6S5Vmxe_small.mp4
miguelperales,0,0,0,Unavailable,2020-11-05,00:08:58,Unavailable,Unavailable,Unavailable,Unavailable,miguelperales,miguelperales,miguelperales,meta-jnKw3bgwcrA3.json,jn,RREEPPLLAACCEE/jn/Kw/jnKw3bgwcrA3.mp4,RREEPPLLAACCEE/jn/Kw/jnKw3bgwcrA3_small.mp4
Unavailable,41.9442,74.0289,47.712,Above Sea Level,2020-12-05,05:09:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JN19p3pHKwSH.json,JN,RREEPPLLAACCEE/JN/19/JN19p3pHKwSH.mp4,RREEPPLLAACCEE/JN/19/JN19p3pHKwSH_small.mp4
Unavailable,32.2740,110.8559,770.504,Above Sea Level,2020-10-11,18:14:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JN3M5AFII1V4.json,JN,RREEPPLLAACCEE/JN/3M/JN3M5AFII1V4.mp4,RREEPPLLAACCEE/JN/3M/JN3M5AFII1V4_small.mp4
Unavailable,33.0769,96.5584,167.815,Above Sea Level,2020-11-13,15:41:16,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNHkeDyXthDK.json,JN,RREEPPLLAACCEE/JN/Hk/JNHkeDyXthDK.mp4,RREEPPLLAACCEE/JN/Hk/JNHkeDyXthDK_small.mp4
Unavailable,52.3947,1.2422,0,Unavailable,2020-06-21,19:07:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNKhdazooGry.json,JN,RREEPPLLAACCEE/JN/Kh/JNKhdazooGry.mp4,RREEPPLLAACCEE/JN/Kh/JNKhdazooGry_small.mp4
Unavailable,32.4026,97.0948,203.361,Above Sea Level,2020-11-04,20:11:20,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNP6sUwkr7Eg.json,JN,RREEPPLLAACCEE/JN/P6/JNP6sUwkr7Eg.mp4,RREEPPLLAACCEE/JN/P6/JNP6sUwkr7Eg_small.mp4
Unavailable,38.8961,77.0309,8.53,Above Sea Level,2020-12-12,17:15:42,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNQEp8M7OkGw.json,JN,RREEPPLLAACCEE/JN/QE/JNQEp8M7OkGw.mp4,RREEPPLLAACCEE/JN/QE/JNQEp8M7OkGw_small.mp4
Unavailable,45.4941,10.2137,108.441,Above Sea Level,2020-12-05,17:19:16,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNQK6jY215RH.json,JN,RREEPPLLAACCEE/JN/QK/JNQK6jY215RH.mp4,RREEPPLLAACCEE/JN/QK/JNQK6jY215RH_small.mp4
Unavailable,35.1633,97.5324,390.07,Above Sea Level,2020-05-29,12:38:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNVRVDFMCKWi.json,JN,RREEPPLLAACCEE/JN/VR/JNVRVDFMCKWi.mp4,RREEPPLLAACCEE/JN/VR/JNVRVDFMCKWi_small.mp4
Unavailable,42.3347,71.0305,11.946,Above Sea Level,2020-11-14,17:19:17,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNdhHulIVp4g.json,JN,RREEPPLLAACCEE/JN/dh/JNdhHulIVp4g.mp4,RREEPPLLAACCEE/JN/dh/JNdhHulIVp4g_small.mp4
Unavailable,52.0120,4.3490,0,Unavailable,2020-11-21,16:28:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNiAzt2rv2sU.json,JN,RREEPPLLAACCEE/JN/iA/JNiAzt2rv2sU.mp4,RREEPPLLAACCEE/JN/iA/JNiAzt2rv2sU_small.mp4
Unavailable,41.9858,88.0594,220.762,Above Sea Level,2021-01-06,05:42:57,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNiQ256inhU8.json,JN,RREEPPLLAACCEE/JN/iQ/JNiQ256inhU8.mp4,RREEPPLLAACCEE/JN/iQ/JNiQ256inhU8_small.mp4
Unavailable,41.9953,70.7422,26.996,Above Sea Level,2020-12-31,17:00:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNiyDjoZaxDr.json,JN,RREEPPLLAACCEE/JN/iy/JNiyDjoZaxDr.mp4,RREEPPLLAACCEE/JN/iy/JNiyDjoZaxDr_small.mp4
Unavailable,38.6772,121.2716,53.242,Above Sea Level,2020-10-11,19:09:28,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNkjMLlfQcPj.json,JN,RREEPPLLAACCEE/JN/kj/JNkjMLlfQcPj.mp4,RREEPPLLAACCEE/JN/kj/JNkjMLlfQcPj_small.mp4
Unavailable,36.0358,115.0068,569.128,Above Sea Level,2020-09-14,02:07:12,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JNklFEMcNM90.json,JN,RREEPPLLAACCEE/JN/kl/JNklFEMcNM90.mp4,RREEPPLLAACCEE/JN/kl/JNklFEMcNM90_small.mp4
