Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Shane,0,0,0,Unavailable,2020-11-09,18:39:06,Unavailable,Unavailable,Unavailable,Unavailable,Shane,Shane,Shane,meta-zW99eVfkxEW3.json,zW,RREEPPLLAACCEE/zW/99/zW99eVfkxEW3.mp4,RREEPPLLAACCEE/zW/99/zW99eVfkxEW3_small.mp4
ericj,0,0,0,Unavailable,2020-10-02,01:06:42,Unavailable,Unavailable,Unavailable,Unavailable,ericj,ericj,ericj,meta-zWNmzoWSMXvt.json,zW,RREEPPLLAACCEE/zW/Nm/zWNmzoWSMXvt.mp4,RREEPPLLAACCEE/zW/Nm/zWNmzoWSMXvt_small.mp4
aroundtheworld4k,0,0,0,Unavailable,2020-12-18,16:45:38,Canon,,,,aroundtheworld4k,aroundtheworld4k,aroundtheworld4k,meta-zWrUzyVKwe66.json,zW,RREEPPLLAACCEE/zW/rU/zWrUzyVKwe66.mp4,RREEPPLLAACCEE/zW/rU/zWrUzyVKwe66_small.mp4
mosaicvideotower1,0,0,0,Unavailable,2020-10-26,00:55:27,Unavailable,Unavailable,Unavailable,Unavailable,mosaicvideotower1,mosaicvideotower1,mosaicvideotower1,meta-zwgBF1cyAxf6.json,zw,RREEPPLLAACCEE/zw/gB/zwgBF1cyAxf6.mp4,RREEPPLLAACCEE/zw/gB/zwgBF1cyAxf6_small.mp4
Johnson,0,0,0,Unavailable,2020-11-15,01:33:48,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-zwvFNeJnubjW.json,zw,RREEPPLLAACCEE/zw/vF/zwvFNeJnubjW.mp4,RREEPPLLAACCEE/zw/vF/zwvFNeJnubjW_small.mp4
Unavailable,33.6593,117.9996,0,Unavailable,2020-10-17,21:17:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZW7jBuLk6WNf.json,ZW,RREEPPLLAACCEE/ZW/7j/ZW7jBuLk6WNf.mp4,RREEPPLLAACCEE/ZW/7j/ZW7jBuLk6WNf_small.mp4
Unavailable,34.5453,86.3870,183.875,Above Sea Level,2020-11-15,12:38:12,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZWAaxElQ4hv9.json,ZW,RREEPPLLAACCEE/ZW/Aa/ZWAaxElQ4hv9.mp4,RREEPPLLAACCEE/ZW/Aa/ZWAaxElQ4hv9_small.mp4
Unavailable,41.2173,81.8193,350.269,Above Sea Level,2021-01-01,15:35:40,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZWCM9MhGv2rq.json,ZW,RREEPPLLAACCEE/ZW/CM/ZWCM9MhGv2rq.mp4,RREEPPLLAACCEE/ZW/CM/ZWCM9MhGv2rq_small.mp4
Unavailable,39.9244,76.7274,192.85,Above Sea Level,2020-10-05,18:02:58,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZWFMHs4RXFNH.json,ZW,RREEPPLLAACCEE/ZW/FM/ZWFMHs4RXFNH.mp4,RREEPPLLAACCEE/ZW/FM/ZWFMHs4RXFNH_small.mp4
Unavailable,28.1981,80.6931,11.038,Above Sea Level,2020-11-18,14:47:34,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZWGedhkkhhHN.json,ZW,RREEPPLLAACCEE/ZW/Ge/ZWGedhkkhhHN.mp4,RREEPPLLAACCEE/ZW/Ge/ZWGedhkkhhHN_small.mp4
Unavailable,47.5066,94.9360,0,Unavailable,2020-09-18,23:17:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZWMBHXrjtDxb.json,ZW,RREEPPLLAACCEE/ZW/MB/ZWMBHXrjtDxb.mp4,RREEPPLLAACCEE/ZW/MB/ZWMBHXrjtDxb_small.mp4
