Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
automono,0,0,0,Unavailable,2020-07-23,19:57:22,HP,,Unavailable,Unavailable,automono,automono,automono,meta-JB6O5E6V30Kf.json,JB,RREEPPLLAACCEE/JB/6O/JB6O5E6V30Kf.mp4,RREEPPLLAACCEE/JB/6O/JB6O5E6V30Kf_small.mp4
Butler,0,0,0,Unavailable,2020-12-12,05:03:04,Unavailable,Unavailable,Unavailable,Unavailable,Butler,Butler,Butler,meta-JBD4racD8PM5.json,JB,RREEPPLLAACCEE/JB/D4/JBD4racD8PM5.mp4,RREEPPLLAACCEE/JB/D4/JBD4racD8PM5_small.mp4
hanso,0,0,0,Unavailable,2020-12-03,01:14:46,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-JBhwkzRlgSy5.json,JB,RREEPPLLAACCEE/JB/hw/JBhwkzRlgSy5.mp4,RREEPPLLAACCEE/JB/hw/JBhwkzRlgSy5_small.mp4
cgreene34,0,0,0,Unavailable,2020-09-21,06:37:25,Unavailable,Unavailable,Unavailable,Unavailable,cgreene34,cgreene34,cgreene34,meta-JBo9yRGVSsnx.json,JB,RREEPPLLAACCEE/JB/o9/JBo9yRGVSsnx.mp4,RREEPPLLAACCEE/JB/o9/JBo9yRGVSsnx_small.mp4
RODRI,0,0,0,Unavailable,2020-07-08,04:34:42,Unavailable,Unavailable,Unavailable,Unavailable,RODRI,RODRI,RODRI,meta-JbQxcmUcVAmI.json,Jb,RREEPPLLAACCEE/Jb/Qx/JbQxcmUcVAmI.mp4,RREEPPLLAACCEE/Jb/Qx/JbQxcmUcVAmI_small.mp4
Rumen,0,0,0,Unavailable,2020-09-14,03:05:20,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-JbRJPzmUB7fg.json,Jb,RREEPPLLAACCEE/Jb/RJ/JbRJPzmUB7fg.mp4,RREEPPLLAACCEE/Jb/RJ/JbRJPzmUB7fg_small.mp4
CorteseMAC,0,0,0,Unavailable,2020-01-21,12:07:27,Unavailable,Unavailable,Unavailable,Unavailable,CorteseMAC,CorteseMAC,CorteseMAC,meta-JbqZynF7RgAo.json,Jb,RREEPPLLAACCEE/Jb/qZ/JbqZynF7RgAo.mp4,RREEPPLLAACCEE/Jb/qZ/JbqZynF7RgAo_small.mp4
acoppens,0,0,0,Unavailable,2020-11-11,17:41:10,Unavailable,Unavailable,Unavailable,Unavailable,acoppens,acoppens,acoppens,meta-jBBqLeL06aWY.json,jB,RREEPPLLAACCEE/jB/Bq/jBBqLeL06aWY.mp4,RREEPPLLAACCEE/jB/Bq/jBBqLeL06aWY_small.mp4
marks,0,0,0,Unavailable,2020-11-21,13:20:32,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-jBoCDUFZSIKC.json,jB,RREEPPLLAACCEE/jB/oC/jBoCDUFZSIKC.mp4,RREEPPLLAACCEE/jB/oC/jBoCDUFZSIKC_small.mp4
mvonr,0,0,0,Unavailable,2020-07-01,17:25:12,Unavailable,Unavailable,Unavailable,Unavailable,mvonr,mvonr,mvonr,meta-jbovlqxUaCSG.json,jb,RREEPPLLAACCEE/jb/ov/jbovlqxUaCSG.mp4,RREEPPLLAACCEE/jb/ov/jbovlqxUaCSG_small.mp4
Unavailable,35.2643,80.8560,233.23,Above Sea Level,2020-09-07,17:58:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JB4tVlObJg8N.json,JB,RREEPPLLAACCEE/JB/4t/JB4tVlObJg8N.mp4,RREEPPLLAACCEE/JB/4t/JB4tVlObJg8N_small.mp4
Unavailable,32.7294,95.7423,132.368,Above Sea Level,2021-01-01,23:00:17,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JB950be2r4tV.json,JB,RREEPPLLAACCEE/JB/95/JB950be2r4tV.mp4,RREEPPLLAACCEE/JB/95/JB950be2r4tV_small.mp4
Unavailable,40.2407,96.6685,390.241,Above Sea Level,2020-12-30,22:51:00,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBBzjzC3cdyY.json,JB,RREEPPLLAACCEE/JB/Bz/JBBzjzC3cdyY.mp4,RREEPPLLAACCEE/JB/Bz/JBBzjzC3cdyY_small.mp4
Unavailable,42.1414,87.9915,223.808,Above Sea Level,2020-10-25,16:28:52,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBFimuFmdnse.json,JB,RREEPPLLAACCEE/JB/Fi/JBFimuFmdnse.mp4,RREEPPLLAACCEE/JB/Fi/JBFimuFmdnse_small.mp4
Unavailable,41.1167,174.8706,0,Unavailable,2020-12-24,21:32:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBFk2zeG51wd.json,JB,RREEPPLLAACCEE/JB/Fk/JBFk2zeG51wd.mp4,RREEPPLLAACCEE/JB/Fk/JBFk2zeG51wd_small.mp4
Unavailable,39.0281,77.2141,123.864,Above Sea Level,2021-01-04,19:07:26,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBJ7Pcj6jCBT.json,JB,RREEPPLLAACCEE/JB/J7/JBJ7Pcj6jCBT.mp4,RREEPPLLAACCEE/JB/J7/JBJ7Pcj6jCBT_small.mp4
Unavailable,27.3156,82.5370,3.89,Above Sea Level,2020-06-23,17:14:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBJqlNvjfIgA.json,JB,RREEPPLLAACCEE/JB/Jq/JBJqlNvjfIgA.mp4,RREEPPLLAACCEE/JB/Jq/JBJqlNvjfIgA_small.mp4
Unavailable,27.9507,81.9302,78.589,Above Sea Level,2020-10-11,02:38:38,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBLM3ff3P5rh.json,JB,RREEPPLLAACCEE/JB/LM/JBLM3ff3P5rh.mp4,RREEPPLLAACCEE/JB/LM/JBLM3ff3P5rh_small.mp4
Unavailable,47.5733,18.9568,269.16,Above Sea Level,2020-12-16,18:04:32,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBMY3KKEeykA.json,JB,RREEPPLLAACCEE/JB/MY/JBMY3KKEeykA.mp4,RREEPPLLAACCEE/JB/MY/JBMY3KKEeykA_small.mp4
Unavailable,36.1003,83.7427,297.048,Above Sea Level,2020-07-20,18:05:53,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBP1I3DFfRCD.json,JB,RREEPPLLAACCEE/JB/P1/JBP1I3DFfRCD.mp4,RREEPPLLAACCEE/JB/P1/JBP1I3DFfRCD_small.mp4
Unavailable,39.4676,88.3719,218.216,Above Sea Level,2020-06-27,20:32:40,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBPEqScottkd.json,JB,RREEPPLLAACCEE/JB/PE/JBPEqScottkd.mp4,RREEPPLLAACCEE/JB/PE/JBPEqScottkd_small.mp4
Unavailable,41.1442,73.4957,88.092,Above Sea Level,2020-11-22,16:43:45,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBY90u5tnNkU.json,JB,RREEPPLLAACCEE/JB/Y9/JBY90u5tnNkU.mp4,RREEPPLLAACCEE/JB/Y9/JBY90u5tnNkU_small.mp4
Unavailable,37.1444,80.3389,662.99,Above Sea Level,2020-05-19,22:10:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBZhZNFwLqZi.json,JB,RREEPPLLAACCEE/JB/Zh/JBZhZNFwLqZi.mp4,RREEPPLLAACCEE/JB/Zh/JBZhZNFwLqZi_small.mp4
Unavailable,36.0916,95.8084,236.622,Above Sea Level,2020-11-11,20:18:24,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JBbbABCc0SNB.json,JB,RREEPPLLAACCEE/JB/bb/JBbbABCc0SNB.mp4,RREEPPLLAACCEE/JB/bb/JBbbABCc0SNB_small.mp4
