Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
leona,0,0,0,Unavailable,2020-07-22,14:42:21,Unavailable,Unavailable,Unavailable,Unavailable,leona,leona,leona,meta-XBNMixhsg28f.json,XB,RREEPPLLAACCEE/XB/NM/XBNMixhsg28f.mp4,RREEPPLLAACCEE/XB/NM/XBNMixhsg28f_small.mp4
Shared,0,0,0,Unavailable,2020-11-26,19:47:20,DJI,,,Unavailable,Shared,Shared,Shared,meta-XBjfquLMAAiz.json,XB,RREEPPLLAACCEE/XB/jf/XBjfquLMAAiz.mp4,RREEPPLLAACCEE/XB/jf/XBjfquLMAAiz_small.mp4
dongf,0,0,0,Unavailable,2020-11-28,08:34:17,Unavailable,Unavailable,Unavailable,Unavailable,dongf,dongf,dongf,meta-XByzMjWJXu62.json,XB,RREEPPLLAACCEE/XB/yz/XByzMjWJXu62.mp4,RREEPPLLAACCEE/XB/yz/XByzMjWJXu62_small.mp4
paulg,0,0,0,Unavailable,2020-11-22,01:25:33,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-XbA9y8FEVDWf.json,Xb,RREEPPLLAACCEE/Xb/A9/XbA9y8FEVDWf.mp4,RREEPPLLAACCEE/Xb/A9/XbA9y8FEVDWf_small.mp4
dwaynegolbek,0,0,0,Unavailable,2020-12-21,15:56:01,Unavailable,Unavailable,Unavailable,Unavailable,dwaynegolbek,dwaynegolbek,dwaynegolbek,meta-XbMSztbzbKsq.json,Xb,RREEPPLLAACCEE/Xb/MS/XbMSztbzbKsq.mp4,RREEPPLLAACCEE/Xb/MS/XbMSztbzbKsq_small.mp4
leftoverzz,0,0,0,Unavailable,2019-12-26,17:53:07,Unavailable,,Unavailable,Unavailable,leftoverzz,leftoverzz,leftoverzz,meta-xbWPT2XzsnU1.json,xb,RREEPPLLAACCEE/xb/WP/xbWPT2XzsnU1.mp4,RREEPPLLAACCEE/xb/WP/xbWPT2XzsnU1_small.mp4
Unavailable,27.6752,97.3666,7.322,Above Sea Level,2020-11-23,08:01:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XB5pOb919rjh.json,XB,RREEPPLLAACCEE/XB/5p/XB5pOb919rjh.mp4,RREEPPLLAACCEE/XB/5p/XB5pOb919rjh_small.mp4
Unavailable,39.7494,87.3158,205.536,Above Sea Level,2020-12-01,14:25:46,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XB8lNttTJfrD.json,XB,RREEPPLLAACCEE/XB/8l/XB8lNttTJfrD.mp4,RREEPPLLAACCEE/XB/8l/XB8lNttTJfrD_small.mp4
Unavailable,33.7794,85.8089,208.683,Above Sea Level,2020-11-29,01:39:33,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XB9Rirk3YWCt.json,XB,RREEPPLLAACCEE/XB/9R/XB9Rirk3YWCt.mp4,RREEPPLLAACCEE/XB/9R/XB9Rirk3YWCt_small.mp4
Unavailable,42.3697,71.0681,4.093,Above Sea Level,2020-07-12,22:21:52,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XB9dBIXMeGwm.json,XB,RREEPPLLAACCEE/XB/9d/XB9dBIXMeGwm.mp4,RREEPPLLAACCEE/XB/9d/XB9dBIXMeGwm_small.mp4
Unavailable,38.8910,77.0090,23.434,Above Sea Level,2021-01-06,20:07:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBDMuKJHZYGP.json,XB,RREEPPLLAACCEE/XB/DM/XBDMuKJHZYGP.mp4,RREEPPLLAACCEE/XB/DM/XBDMuKJHZYGP_small.mp4
Unavailable,32.9866,116.7815,571.276,Above Sea Level,2020-07-01,23:40:13,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBJOXkPgTHrZ.json,XB,RREEPPLLAACCEE/XB/JO/XBJOXkPgTHrZ.mp4,RREEPPLLAACCEE/XB/JO/XBJOXkPgTHrZ_small.mp4
Unavailable,35.5737,80.9364,251.54,Above Sea Level,2020-07-03,17:17:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBSfGsjdZApm.json,XB,RREEPPLLAACCEE/XB/Sf/XBSfGsjdZApm.mp4,RREEPPLLAACCEE/XB/Sf/XBSfGsjdZApm_small.mp4
Unavailable,46.8830,121.0930,1216.452,Above Sea Level,2020-07-09,19:28:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBSnBaOpvLJx.json,XB,RREEPPLLAACCEE/XB/Sn/XBSnBaOpvLJx.mp4,RREEPPLLAACCEE/XB/Sn/XBSnBaOpvLJx_small.mp4
Unavailable,41.8429,88.0922,231.134,Above Sea Level,2020-12-09,12:45:18,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBTSH1RkmUiq.json,XB,RREEPPLLAACCEE/XB/TS/XBTSH1RkmUiq.mp4,RREEPPLLAACCEE/XB/TS/XBTSH1RkmUiq_small.mp4
Unavailable,42.2083,85.8913,227.393,Above Sea Level,2020-11-17,00:38:30,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBVHZ76mhLVe.json,XB,RREEPPLLAACCEE/XB/VH/XBVHZ76mhLVe.mp4,RREEPPLLAACCEE/XB/VH/XBVHZ76mhLVe_small.mp4
Unavailable,33.7390,117.7766,0,Unavailable,2020-11-11,05:48:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBX1Y26ltWOj.json,XB,RREEPPLLAACCEE/XB/X1/XBX1Y26ltWOj.mp4,RREEPPLLAACCEE/XB/X1/XBX1Y26ltWOj_small.mp4
Unavailable,32.8335,117.1528,124.401,Above Sea Level,2020-12-18,22:10:40,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBk4mJlsozS6.json,XB,RREEPPLLAACCEE/XB/k4/XBk4mJlsozS6.mp4,RREEPPLLAACCEE/XB/k4/XBk4mJlsozS6_small.mp4
Unavailable,40.0205,105.2348,1592.521,Above Sea Level,2020-11-28,20:20:25,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XBpKCrR2xUua.json,XB,RREEPPLLAACCEE/XB/pK/XBpKCrR2xUua.mp4,RREEPPLLAACCEE/XB/pK/XBpKCrR2xUua_small.mp4
Unavailable,34.9886,136.8843,15.057,Above Sea Level,2020-12-11,01:51:21,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xb16C35V3W7m.json,Xb,RREEPPLLAACCEE/Xb/16/Xb16C35V3W7m.mp4,RREEPPLLAACCEE/Xb/16/Xb16C35V3W7m_small.mp4
Unavailable,53.1411,2.3521,72.911,Above Sea Level,2020-11-05,22:39:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xb59xV34QGmj.json,Xb,RREEPPLLAACCEE/Xb/59/Xb59xV34QGmj.mp4,RREEPPLLAACCEE/Xb/59/Xb59xV34QGmj_small.mp4
Unavailable,33.8210,84.3520,254.409,Above Sea Level,2019-04-30,21:17:08,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xb7y4VrUF7F6.json,Xb,RREEPPLLAACCEE/Xb/7y/Xb7y4VrUF7F6.mp4,RREEPPLLAACCEE/Xb/7y/Xb7y4VrUF7F6_small.mp4
Unavailable,44.5576,75.7287,83.42,Above Sea Level,2020-11-11,03:36:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbBmK7VWp9MM.json,Xb,RREEPPLLAACCEE/Xb/Bm/XbBmK7VWp9MM.mp4,RREEPPLLAACCEE/Xb/Bm/XbBmK7VWp9MM_small.mp4
Unavailable,40.7312,141.3653,28.763,Above Sea Level,2020-12-07,04:53:26,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbCLUyIJmemd.json,Xb,RREEPPLLAACCEE/Xb/CL/XbCLUyIJmemd.mp4,RREEPPLLAACCEE/Xb/CL/XbCLUyIJmemd_small.mp4
Unavailable,38.7240,90.2941,176.883,Above Sea Level,2020-11-10,15:35:57,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbEFjbvUBHlo.json,Xb,RREEPPLLAACCEE/Xb/EF/XbEFjbvUBHlo.mp4,RREEPPLLAACCEE/Xb/EF/XbEFjbvUBHlo_small.mp4
Unavailable,36.0587,115.0738,587.439,Above Sea Level,2020-10-13,14:37:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbFsv2XBz7Q1.json,Xb,RREEPPLLAACCEE/Xb/Fs/XbFsv2XBz7Q1.mp4,RREEPPLLAACCEE/Xb/Fs/XbFsv2XBz7Q1_small.mp4
Unavailable,30.7820,83.2708,62.784,Above Sea Level,2020-12-06,01:02:44,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbHtYDGA1HT7.json,Xb,RREEPPLLAACCEE/Xb/Ht/XbHtYDGA1HT7.mp4,RREEPPLLAACCEE/Xb/Ht/XbHtYDGA1HT7_small.mp4
Unavailable,22.7959,46.3265,966.53,Above Sea Level,2020-11-14,14:26:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbHwsuZeqb0N.json,Xb,RREEPPLLAACCEE/Xb/Hw/XbHwsuZeqb0N.mp4,RREEPPLLAACCEE/Xb/Hw/XbHwsuZeqb0N_small.mp4
Unavailable,33.6761,117.9550,0,Unavailable,2020-11-04,01:08:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbMzB0PFcQza.json,Xb,RREEPPLLAACCEE/Xb/Mz/XbMzB0PFcQza.mp4,RREEPPLLAACCEE/Xb/Mz/XbMzB0PFcQza_small.mp4
Unavailable,32.9427,117.1828,124.292,Above Sea Level,2020-11-05,16:17:51,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbO3CnEnZ9xG.json,Xb,RREEPPLLAACCEE/Xb/O3/XbO3CnEnZ9xG.mp4,RREEPPLLAACCEE/Xb/O3/XbO3CnEnZ9xG_small.mp4
Unavailable,47.8879,97.0325,0,Unavailable,2020-12-18,17:53:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XbUxTULliWyi.json,Xb,RREEPPLLAACCEE/Xb/Ux/XbUxTULliWyi.mp4,RREEPPLLAACCEE/Xb/Ux/XbUxTULliWyi_small.mp4
Unavailable,41.4613,74.2481,0,Unavailable,2020-11-08,21:54:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xbe3RNJHT6qR.json,Xb,RREEPPLLAACCEE/Xb/e3/Xbe3RNJHT6qR.mp4,RREEPPLLAACCEE/Xb/e3/Xbe3RNJHT6qR_small.mp4
