Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Chewylouie,0,0,0,Unavailable,2020-05-18,03:00:51,Unavailable,Unavailable,Unavailable,Unavailable,Chewylouie,Chewylouie,Chewylouie,meta-GYHjzQWsEvRD.json,GY,RREEPPLLAACCEE/GY/Hj/GYHjzQWsEvRD.mp4,RREEPPLLAACCEE/GY/Hj/GYHjzQWsEvRD_small.mp4
lessiswild,0,0,0,Unavailable,2020-09-04,20:35:11,Unavailable,,Unavailable,Unavailable,lessiswild,lessiswild,lessiswild,meta-GYY54lnJn0P8.json,GY,RREEPPLLAACCEE/GY/Y5/GYY54lnJn0P8.mp4,RREEPPLLAACCEE/GY/Y5/GYY54lnJn0P8_small.mp4
prudy,0,0,0,Unavailable,2021-01-05,18:33:18,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-GYt2Gn2ehTqb.json,GY,RREEPPLLAACCEE/GY/t2/GYt2Gn2ehTqb.mp4,RREEPPLLAACCEE/GY/t2/GYt2Gn2ehTqb_small.mp4
keith,0,0,0,Unavailable,2020-10-03,19:53:48,Unavailable,Unavailable,Unavailable,Unavailable,keith,keith,keith,meta-GYtrNTSzg93f.json,GY,RREEPPLLAACCEE/GY/tr/GYtrNTSzg93f.mp4,RREEPPLLAACCEE/GY/tr/GYtrNTSzg93f_small.mp4
Rumen,0,0,0,Unavailable,2020-08-24,19:15:55,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-Gy59oQ2sKUmO.json,Gy,RREEPPLLAACCEE/Gy/59/Gy59oQ2sKUmO.mp4,RREEPPLLAACCEE/Gy/59/Gy59oQ2sKUmO_small.mp4
user,0,0,0,Unavailable,2020-11-24,20:03:22,Unavailable,Unavailable,Unavailable,Unavailable,user,user,user,meta-GyTB4lMWT8q0.json,Gy,RREEPPLLAACCEE/Gy/TB/GyTB4lMWT8q0.mp4,RREEPPLLAACCEE/Gy/TB/GyTB4lMWT8q0_small.mp4
stone,0,0,0,Unavailable,2020-12-09,21:11:24,Unavailable,Unavailable,Unavailable,Unavailable,stone,stone,stone,meta-GycTaRMGB357.json,Gy,RREEPPLLAACCEE/Gy/cT/GycTaRMGB357.mp4,RREEPPLLAACCEE/Gy/cT/GycTaRMGB357_small.mp4
Daniel,0,0,0,Unavailable,2020-09-12,14:24:58,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-GyiWrbVNNhSB.json,Gy,RREEPPLLAACCEE/Gy/iW/GyiWrbVNNhSB.mp4,RREEPPLLAACCEE/Gy/iW/GyiWrbVNNhSB_small.mp4
ianrossenrode,0,0,0,Unavailable,2020-09-01,22:35:01,Unavailable,Unavailable,Unavailable,Unavailable,ianrossenrode,ianrossenrode,ianrossenrode,meta-gY6X5gW01E5r.json,gY,RREEPPLLAACCEE/gY/6X/gY6X5gW01E5r.mp4,RREEPPLLAACCEE/gY/6X/gY6X5gW01E5r_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-13,14:47:04,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-gYn5MbQClNI3.json,gY,RREEPPLLAACCEE/gY/n5/gYn5MbQClNI3.mp4,RREEPPLLAACCEE/gY/n5/gYn5MbQClNI3_small.mp4
