Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Bear&Monkey,0,0,0,Unavailable,2020-12-07,00:56:58,Unavailable,Unavailable,Unavailable,Unavailable,Bear&Monkey,Bear&Monkey,Bear&Monkey,meta-LKLtvAWMPQkq.json,LK,RREEPPLLAACCEE/LK/Lt/LKLtvAWMPQkq.mp4,RREEPPLLAACCEE/LK/Lt/LKLtvAWMPQkq_small.mp4
adart,0,0,0,Unavailable,2020-10-26,01:06:34,Unavailable,Unavailable,Unavailable,Unavailable,adart,adart,adart,meta-LKiAfWUeH9Xf.json,LK,RREEPPLLAACCEE/LK/iA/LKiAfWUeH9Xf.mp4,RREEPPLLAACCEE/LK/iA/LKiAfWUeH9Xf_small.mp4
mwills,0,0,0,Unavailable,2021-01-08,21:36:17,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-LKly60y960p3.json,LK,RREEPPLLAACCEE/LK/ly/LKly60y960p3.mp4,RREEPPLLAACCEE/LK/ly/LKly60y960p3_small.mp4
offli,0,0,0,Unavailable,2020-11-06,23:02:03,Unavailable,Unavailable,Unavailable,Unavailable,offli,offli,offli,meta-LKtfBk2LP81B.json,LK,RREEPPLLAACCEE/LK/tf/LKtfBk2LP81B.mp4,RREEPPLLAACCEE/LK/tf/LKtfBk2LP81B_small.mp4
Johnson,0,0,0,Unavailable,2020-11-21,10:36:50,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-LKv5oGmYWZLI.json,LK,RREEPPLLAACCEE/LK/v5/LKv5oGmYWZLI.mp4,RREEPPLLAACCEE/LK/v5/LKv5oGmYWZLI_small.mp4
DaniellesComputer,0,0,0,Unavailable,2020-11-18,19:17:53,Unavailable,,Unavailable,Unavailable,DaniellesComputer,DaniellesComputer,DaniellesComputer,meta-LKvVjiwVZUgv.json,LK,RREEPPLLAACCEE/LK/vV/LKvVjiwVZUgv.mp4,RREEPPLLAACCEE/LK/vV/LKvVjiwVZUgv_small.mp4
Jerry,0,0,0,Unavailable,2020-12-02,16:06:30,Unavailable,Unavailable,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-lKVcT39btT1W.json,lK,RREEPPLLAACCEE/lK/Vc/lKVcT39btT1W.mp4,RREEPPLLAACCEE/lK/Vc/lKVcT39btT1W_small.mp4
rashaddunn,0,0,0,Unavailable,2020-09-30,18:05:59,Unavailable,Unavailable,Unavailable,Unavailable,rashaddunn,rashaddunn,rashaddunn,meta-lKltEkzqYtt7.json,lK,RREEPPLLAACCEE/lK/lt/lKltEkzqYtt7.mp4,RREEPPLLAACCEE/lK/lt/lKltEkzqYtt7_small.mp4
Michael,0,0,0,Unavailable,2020-12-11,17:41:25,Panasonic,,Unavailable,Unavailable,Michael,Michael,Michael,meta-lkPwDGqa2llw.json,lk,RREEPPLLAACCEE/lk/Pw/lkPwDGqa2llw.mp4,RREEPPLLAACCEE/lk/Pw/lkPwDGqa2llw_small.mp4
NEW,0,0,0,Unavailable,2020-12-05,13:18:05,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-lkpugK99jWLI.json,lk,RREEPPLLAACCEE/lk/pu/lkpugK99jWLI.mp4,RREEPPLLAACCEE/lk/pu/lkpugK99jWLI_small.mp4
Unavailable,40.7836,73.9817,24.45,Above Sea Level,2020-06-03,01:12:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LKDOTQirCuzw.json,LK,RREEPPLLAACCEE/LK/DO/LKDOTQirCuzw.mp4,RREEPPLLAACCEE/LK/DO/LKDOTQirCuzw_small.mp4
Unavailable,52.8801,1.4539,45.825,Above Sea Level,2019-05-27,17:09:58,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LKEulnvXIPU1.json,LK,RREEPPLLAACCEE/LK/Eu/LKEulnvXIPU1.mp4,RREEPPLLAACCEE/LK/Eu/LKEulnvXIPU1_small.mp4
Unavailable,34.7579,58.4018,29.38,Above Sea Level,2020-07-09,19:19:12,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LKFDCCBVnyfj.json,LK,RREEPPLLAACCEE/LK/FD/LKFDCCBVnyfj.mp4,RREEPPLLAACCEE/LK/FD/LKFDCCBVnyfj_small.mp4
