Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
calvin,0,0,0,Unavailable,2020-11-11,22:01:07,Unavailable,Unavailable,Unavailable,Unavailable,calvin,calvin,calvin,meta-FPtUyGVm2wN2.json,FP,RREEPPLLAACCEE/FP/tU/FPtUyGVm2wN2.mp4,RREEPPLLAACCEE/FP/tU/FPtUyGVm2wN2_small.mp4
ultinato,0,0,0,Unavailable,2020-05-02,15:35:36,Unavailable,Unavailable,Unavailable,Unavailable,ultinato,ultinato,ultinato,meta-FpiQblNmdBEi.json,Fp,RREEPPLLAACCEE/Fp/iQ/FpiQblNmdBEi.mp4,RREEPPLLAACCEE/Fp/iQ/FpiQblNmdBEi_small.mp4
Ariovaldo Jr,0,0,0,Unavailable,2020-07-29,22:13:21,Unavailable,Unavailable,Unavailable,Unavailable,Ariovaldo Jr,Ariovaldo Jr,Ariovaldo Jr,meta-fP1adRNOtYiV.json,fP,RREEPPLLAACCEE/fP/1a/fP1adRNOtYiV.mp4,RREEPPLLAACCEE/fP/1a/fP1adRNOtYiV_small.mp4
palmetto,0,0,0,Unavailable,2020-07-03,23:23:48,Canon,,,Unavailable,palmetto,palmetto,palmetto,meta-fpAqeBmDLgAq.json,fp,RREEPPLLAACCEE/fp/Aq/fpAqeBmDLgAq.mp4,RREEPPLLAACCEE/fp/Aq/fpAqeBmDLgAq_small.mp4
DK,0,0,0,Unavailable,2020-11-06,19:58:01,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-fpQLr7SeDGDc.json,fp,RREEPPLLAACCEE/fp/QL/fpQLr7SeDGDc.mp4,RREEPPLLAACCEE/fp/QL/fpQLr7SeDGDc_small.mp4
Unavailable,42.3256,71.6992,167.61,Above Sea Level,2021-01-06,05:08:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FP0YJ9qVdW8B.json,FP,RREEPPLLAACCEE/FP/0Y/FP0YJ9qVdW8B.mp4,RREEPPLLAACCEE/FP/0Y/FP0YJ9qVdW8B_small.mp4
Unavailable,43.0975,76.1342,124.94,Above Sea Level,2020-12-18,11:47:05,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FP3eF2JbRKC6.json,FP,RREEPPLLAACCEE/FP/3e/FP3eF2JbRKC6.mp4,RREEPPLLAACCEE/FP/3e/FP3eF2JbRKC6_small.mp4
Unavailable,41.2590,95.9353,313.971,Above Sea Level,2020-12-07,23:46:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FP3sVer3jLnw.json,FP,RREEPPLLAACCEE/FP/3s/FP3sVer3jLnw.mp4,RREEPPLLAACCEE/FP/3s/FP3sVer3jLnw_small.mp4
Unavailable,38.8963,77.0323,7.587,Above Sea Level,2020-11-15,02:48:33,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FP974p1pAd1A.json,FP,RREEPPLLAACCEE/FP/97/FP974p1pAd1A.mp4,RREEPPLLAACCEE/FP/97/FP974p1pAd1A_small.mp4
Unavailable,53.6930,1.4016,28.28,Above Sea Level,2021-01-09,18:42:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPCEsNr5My3E.json,FP,RREEPPLLAACCEE/FP/CE/FPCEsNr5My3E.mp4,RREEPPLLAACCEE/FP/CE/FPCEsNr5My3E_small.mp4
Unavailable,28.0673,82.7074,3.251,Above Sea Level,2020-11-11,22:08:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPCR4UVmwU0Z.json,FP,RREEPPLLAACCEE/FP/CR/FPCR4UVmwU0Z.mp4,RREEPPLLAACCEE/FP/CR/FPCR4UVmwU0Z_small.mp4
Unavailable,32.9089,117.0809,217.665,Above Sea Level,2020-08-26,18:33:25,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPFiot4YYIR2.json,FP,RREEPPLLAACCEE/FP/Fi/FPFiot4YYIR2.mp4,RREEPPLLAACCEE/FP/Fi/FPFiot4YYIR2_small.mp4
Unavailable,32.1247,110.8662,0,Unavailable,2020-06-28,02:51:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPIyESntlFAN.json,FP,RREEPPLLAACCEE/FP/Iy/FPIyESntlFAN.mp4,RREEPPLLAACCEE/FP/Iy/FPIyESntlFAN_small.mp4
Unavailable,40.6701,75.2260,105.02,Above Sea Level,2020-03-01,21:20:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPRjudGoTLaI.json,FP,RREEPPLLAACCEE/FP/Rj/FPRjudGoTLaI.mp4,RREEPPLLAACCEE/FP/Rj/FPRjudGoTLaI_small.mp4
Unavailable,41.8430,88.0920,230.651,Above Sea Level,2020-12-07,13:00:59,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPS4Ja31ciOR.json,FP,RREEPPLLAACCEE/FP/S4/FPS4Ja31ciOR.mp4,RREEPPLLAACCEE/FP/S4/FPS4Ja31ciOR_small.mp4
Unavailable,26.3703,80.2170,5.58,Above Sea Level,2020-05-28,16:51:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FPTQstTFdchF.json,FP,RREEPPLLAACCEE/FP/TQ/FPTQstTFdchF.mp4,RREEPPLLAACCEE/FP/TQ/FPTQstTFdchF_small.mp4
