Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
sabrinajunqua,0,0,0,Unavailable,2020-09-29,16:33:56,Unavailable,Unavailable,Unavailable,Unavailable,sabrinajunqua,sabrinajunqua,sabrinajunqua,meta-IZGes0Wtbdc6.json,IZ,RREEPPLLAACCEE/IZ/Ge/IZGes0Wtbdc6.mp4,RREEPPLLAACCEE/IZ/Ge/IZGes0Wtbdc6_small.mp4
MS9,0,0,0,Unavailable,2020-08-06,17:11:21,Unavailable,Unavailable,Unavailable,Unavailable,MS9,MS9,MS9,meta-IzLI40SqQ1AA.json,Iz,RREEPPLLAACCEE/Iz/LI/IzLI40SqQ1AA.mp4,RREEPPLLAACCEE/Iz/LI/IzLI40SqQ1AA_small.mp4
derekdodder,0,0,0,Unavailable,2020-08-26,22:14:52,Unavailable,Unavailable,Unavailable,Unavailable,derekdodder,derekdodder,derekdodder,meta-IzQNLupmSrny.json,Iz,RREEPPLLAACCEE/Iz/QN/IzQNLupmSrny.mp4,RREEPPLLAACCEE/Iz/QN/IzQNLupmSrny_small.mp4
gavinmcinnes,0,0,0,Unavailable,2020-10-28,00:55:42,Unavailable,Unavailable,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-Izt3rl666AIE.json,Iz,RREEPPLLAACCEE/Iz/t3/Izt3rl666AIE.mp4,RREEPPLLAACCEE/Iz/t3/Izt3rl666AIE_small.mp4
Daniel,0,0,0,Unavailable,2020-12-06,18:53:06,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-iZ09t8fDKKG7.json,iZ,RREEPPLLAACCEE/iZ/09/iZ09t8fDKKG7.mp4,RREEPPLLAACCEE/iZ/09/iZ09t8fDKKG7_small.mp4
offli,0,0,0,Unavailable,2020-10-28,00:35:55,Unavailable,,Unavailable,Unavailable,offli,offli,offli,meta-iZfNaekc4rb8.json,iZ,RREEPPLLAACCEE/iZ/fN/iZfNaekc4rb8.mp4,RREEPPLLAACCEE/iZ/fN/iZfNaekc4rb8_small.mp4
Jerry,0,0,0,Unavailable,2020-12-03,02:22:23,Canon,,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-izjJVxSWSqmR.json,iz,RREEPPLLAACCEE/iz/jJ/izjJVxSWSqmR.mp4,RREEPPLLAACCEE/iz/jJ/izjJVxSWSqmR_small.mp4
andre,0,0,0,Unavailable,2020-12-09,00:54:07,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-izoB8voPxrtH.json,iz,RREEPPLLAACCEE/iz/oB/izoB8voPxrtH.mp4,RREEPPLLAACCEE/iz/oB/izoB8voPxrtH_small.mp4
Unavailable,45.2630,122.6942,0,Unavailable,2020-12-23,14:53:57,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IZ2hDBCSTgST.json,IZ,RREEPPLLAACCEE/IZ/2h/IZ2hDBCSTgST.mp4,RREEPPLLAACCEE/IZ/2h/IZ2hDBCSTgST_small.mp4
Unavailable,30.2690,97.7424,149.316,Above Sea Level,2020-11-07,18:52:51,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IZDlqARDuU3r.json,IZ,RREEPPLLAACCEE/IZ/Dl/IZDlqARDuU3r.mp4,RREEPPLLAACCEE/IZ/Dl/IZDlqARDuU3r_small.mp4
