Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jotac,0,0,0,Unavailable,2020-09-18,18:07:15,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-BrU86GQZ1J6O.json,Br,RREEPPLLAACCEE/Br/U8/BrU86GQZ1J6O.mp4,RREEPPLLAACCEE/Br/U8/BrU86GQZ1J6O_small.mp4
sinaipentecostalchurch,0,0,0,Unavailable,2020-06-16,13:31:19,Unavailable,,Unavailable,Unavailable,sinaipentecostalchurch,sinaipentecostalchurch,sinaipentecostalchurch,meta-BrdryKJecEbo.json,Br,RREEPPLLAACCEE/Br/dr/BrdryKJecEbo.mp4,RREEPPLLAACCEE/Br/dr/BrdryKJecEbo_small.mp4
westi,0,0,0,Unavailable,2020-07-23,21:35:59,Unavailable,Unavailable,Unavailable,Unavailable,westi,westi,westi,meta-bR9zdAhu3F58.json,bR,RREEPPLLAACCEE/bR/9z/bR9zdAhu3F58.mp4,RREEPPLLAACCEE/bR/9z/bR9zdAhu3F58_small.mp4
setayesh,0,0,0,Unavailable,2021-01-04,14:42:13,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-bRXfQZfsCC9u.json,bR,RREEPPLLAACCEE/bR/Xf/bRXfQZfsCC9u.mp4,RREEPPLLAACCEE/bR/Xf/bRXfQZfsCC9u_small.mp4
andrea,0,0,0,Unavailable,2020-12-18,17:09:20,Unavailable,Unavailable,Unavailable,Unavailable,andrea,andrea,andrea,meta-bRjvawNr2FUA.json,bR,RREEPPLLAACCEE/bR/jv/bRjvawNr2FUA.mp4,RREEPPLLAACCEE/bR/jv/bRjvawNr2FUA_small.mp4
Unavailable,30.4316,97.6227,217.99,Above Sea Level,2020-11-21,07:10:59,Apple,iPad (7th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BR6OGFo3TNee.json,BR,RREEPPLLAACCEE/BR/6O/BR6OGFo3TNee.mp4,RREEPPLLAACCEE/BR/6O/BR6OGFo3TNee_small.mp4
Unavailable,36.1966,98.1996,0,Unavailable,2020-10-24,23:42:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BR6SUsrRiBw7.json,BR,RREEPPLLAACCEE/BR/6S/BR6SUsrRiBw7.mp4,RREEPPLLAACCEE/BR/6S/BR6SUsrRiBw7_small.mp4
Unavailable,42.6505,83.0236,138.866,Above Sea Level,2020-11-16,01:03:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRBgeHygdYr2.json,BR,RREEPPLLAACCEE/BR/Bg/BRBgeHygdYr2.mp4,RREEPPLLAACCEE/BR/Bg/BRBgeHygdYr2_small.mp4
Unavailable,34.0405,81.0775,61.634,Above Sea Level,2020-08-08,13:39:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRG3xHSRA19z.json,BR,RREEPPLLAACCEE/BR/G3/BRG3xHSRA19z.mp4,RREEPPLLAACCEE/BR/G3/BRG3xHSRA19z_small.mp4
Unavailable,45.5199,122.4001,99.485,Above Sea Level,2021-01-01,00:51:35,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRJLduVAzQ41.json,BR,RREEPPLLAACCEE/BR/JL/BRJLduVAzQ41.mp4,RREEPPLLAACCEE/BR/JL/BRJLduVAzQ41_small.mp4
Unavailable,33.3871,117.2382,214.346,Above Sea Level,2020-12-04,20:46:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRNHulxZy0kE.json,BR,RREEPPLLAACCEE/BR/NH/BRNHulxZy0kE.mp4,RREEPPLLAACCEE/BR/NH/BRNHulxZy0kE_small.mp4
Unavailable,36.4301,84.6537,357.257,Above Sea Level,2020-11-02,19:49:54,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRNZ2cgsi5Ud.json,BR,RREEPPLLAACCEE/BR/NZ/BRNZ2cgsi5Ud.mp4,RREEPPLLAACCEE/BR/NZ/BRNZ2cgsi5Ud_small.mp4
Unavailable,53.8561,2.1742,175.773,Above Sea Level,2020-09-29,11:13:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRY737C8voQW.json,BR,RREEPPLLAACCEE/BR/Y7/BRY737C8voQW.mp4,RREEPPLLAACCEE/BR/Y7/BRY737C8voQW_small.mp4
Unavailable,27.4184,82.5700,4.922,Above Sea Level,2020-06-30,01:20:55,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRYdhsrIfEBA.json,BR,RREEPPLLAACCEE/BR/Yd/BRYdhsrIfEBA.mp4,RREEPPLLAACCEE/BR/Yd/BRYdhsrIfEBA_small.mp4
Unavailable,31.2551,81.8539,20.698,Above Sea Level,2020-07-07,17:27:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRZBOMPTdGhe.json,BR,RREEPPLLAACCEE/BR/ZB/BRZBOMPTdGhe.mp4,RREEPPLLAACCEE/BR/ZB/BRZBOMPTdGhe_small.mp4
Unavailable,33.3464,117.3221,83.401,Above Sea Level,2020-07-02,21:05:52,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRozmZMbvmvA.json,BR,RREEPPLLAACCEE/BR/oz/BRozmZMbvmvA.mp4,RREEPPLLAACCEE/BR/oz/BRozmZMbvmvA_small.mp4
Unavailable,40.3163,103.9119,1316.844,Above Sea Level,2020-11-07,17:25:36,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BRt5ZZv8nshn.json,BR,RREEPPLLAACCEE/BR/t5/BRt5ZZv8nshn.mp4,RREEPPLLAACCEE/BR/t5/BRt5ZZv8nshn_small.mp4
Unavailable,40.3196,79.9065,285.829,Above Sea Level,2020-07-28,20:30:19,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Br4c1gIlD00L.json,Br,RREEPPLLAACCEE/Br/4c/Br4c1gIlD00L.mp4,RREEPPLLAACCEE/Br/4c/Br4c1gIlD00L_small.mp4
Unavailable,32.7054,85.0346,190.292,Above Sea Level,2020-11-09,00:30:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BrDIpJIc4fut.json,Br,RREEPPLLAACCEE/Br/DI/BrDIpJIc4fut.mp4,RREEPPLLAACCEE/Br/DI/BrDIpJIc4fut_small.mp4
Unavailable,40.7054,74.0081,0,Above Sea Level,2020-04-29,01:39:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BrPUlFRbPvQt.json,Br,RREEPPLLAACCEE/Br/PU/BrPUlFRbPvQt.mp4,RREEPPLLAACCEE/Br/PU/BrPUlFRbPvQt_small.mp4
Unavailable,33.1171,117.2378,92.38,Above Sea Level,2020-05-30,00:46:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BrRLHyAWgPne.json,Br,RREEPPLLAACCEE/Br/RL/BrRLHyAWgPne.mp4,RREEPPLLAACCEE/Br/RL/BrRLHyAWgPne_small.mp4
Unavailable,46.7820,116.9788,818.231,Above Sea Level,2020-07-10,18:34:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BrVYhjaXEyVG.json,Br,RREEPPLLAACCEE/Br/VY/BrVYhjaXEyVG.mp4,RREEPPLLAACCEE/Br/VY/BrVYhjaXEyVG_small.mp4
Unavailable,43.4458,73.2038,150.797,Above Sea Level,2020-09-16,22:32:09,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BrZEDjBXU29y.json,Br,RREEPPLLAACCEE/Br/ZE/BrZEDjBXU29y.mp4,RREEPPLLAACCEE/Br/ZE/BrZEDjBXU29y_small.mp4
