Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Rumen,0,0,0,Unavailable,2020-09-02,21:43:53,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-AsU39UVgeLTI.json,As,RREEPPLLAACCEE/As/U3/AsU39UVgeLTI.mp4,RREEPPLLAACCEE/As/U3/AsU39UVgeLTI_small.mp4
Chadwick,0,0,0,Unavailable,2020-07-30,07:08:34,Unavailable,Unavailable,Unavailable,Unavailable,Chadwick,Chadwick,Chadwick,meta-aSKjIdb6m4zP.json,aS,RREEPPLLAACCEE/aS/Kj/aSKjIdb6m4zP.mp4,RREEPPLLAACCEE/aS/Kj/aSKjIdb6m4zP_small.mp4
Ondrej,0,0,0,Unavailable,2020-11-11,20:50:33,Unavailable,Unavailable,Unavailable,Unavailable,Ondrej,Ondrej,Ondrej,meta-aSl63IDh0RQl.json,aS,RREEPPLLAACCEE/aS/l6/aSl63IDh0RQl.mp4,RREEPPLLAACCEE/aS/l6/aSl63IDh0RQl_small.mp4
Windows 10,0,0,0,Unavailable,2020-02-10,23:04:05,Unavailable,Unavailable,Unavailable,Unavailable,Windows 10,Windows 10,Windows 10,meta-asnHG55uOhcz.json,as,RREEPPLLAACCEE/as/nH/asnHG55uOhcz.mp4,RREEPPLLAACCEE/as/nH/asnHG55uOhcz_small.mp4
Chad and Colleen,0,0,0,Unavailable,2020-09-27,04:36:47,Unavailable,Unavailable,Unavailable,Unavailable,Chad and Colleen,Chad and Colleen,Chad and Colleen,meta-aspMxVYeFl6b.json,as,RREEPPLLAACCEE/as/pM/aspMxVYeFl6b.mp4,RREEPPLLAACCEE/as/pM/aspMxVYeFl6b_small.mp4
Unavailable,33.4389,111.6590,476.363,Above Sea Level,2020-12-28,15:53:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AS7xBbbblquR.json,AS,RREEPPLLAACCEE/AS/7x/AS7xBbbblquR.mp4,RREEPPLLAACCEE/AS/7x/AS7xBbbblquR_small.mp4
Unavailable,43.6291,116.6677,737.734,Above Sea Level,2020-12-29,16:49:38,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ASat1MgrI6l8.json,AS,RREEPPLLAACCEE/AS/at/ASat1MgrI6l8.mp4,RREEPPLLAACCEE/AS/at/ASat1MgrI6l8_small.mp4
Unavailable,32.5686,97.1238,0,Unavailable,2020-12-05,22:05:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AScKNsXHAKFV.json,AS,RREEPPLLAACCEE/AS/cK/AScKNsXHAKFV.mp4,RREEPPLLAACCEE/AS/cK/AScKNsXHAKFV_small.mp4
Unavailable,29.6925,95.8456,40.961,Above Sea Level,2020-11-14,13:23:28,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ASjw1jI9W34P.json,AS,RREEPPLLAACCEE/AS/jw/ASjw1jI9W34P.mp4,RREEPPLLAACCEE/AS/jw/ASjw1jI9W34P_small.mp4
Unavailable,38.5021,91.8886,262.594,Above Sea Level,2020-07-03,01:33:05,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ASrq4ZLEIluU.json,AS,RREEPPLLAACCEE/AS/rq/ASrq4ZLEIluU.mp4,RREEPPLLAACCEE/AS/rq/ASrq4ZLEIluU_small.mp4
