Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
14132,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,14132,14132,14132,meta-JTCAM27OMGpL.json,JT,RREEPPLLAACCEE/JT/CA/JTCAM27OMGpL.mp4,RREEPPLLAACCEE/JT/CA/JTCAM27OMGpL_small.mp4
Rich Korona,0,0,0,Unavailable,2020-09-06,18:58:43,Unavailable,Unavailable,Unavailable,Unavailable,Rich Korona,Rich Korona,Rich Korona,meta-JTD3nH0EGhBf.json,JT,RREEPPLLAACCEE/JT/D3/JTD3nH0EGhBf.mp4,RREEPPLLAACCEE/JT/D3/JTD3nH0EGhBf_small.mp4
samue,0,0,0,Unavailable,2020-12-21,01:34:03,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-JTJWHTYIojxm.json,JT,RREEPPLLAACCEE/JT/JW/JTJWHTYIojxm.mp4,RREEPPLLAACCEE/JT/JW/JTJWHTYIojxm_small.mp4
Bear&Monkey,0,0,0,Unavailable,2020-11-30,07:44:28,Unavailable,Unavailable,Unavailable,Unavailable,Bear&Monkey,Bear&Monkey,Bear&Monkey,meta-JTa9XQVvJryl.json,JT,RREEPPLLAACCEE/JT/a9/JTa9XQVvJryl.mp4,RREEPPLLAACCEE/JT/a9/JTa9XQVvJryl_small.mp4
Working,0,0,0,Unavailable,2021-01-01,14:01:31,Unavailable,Unavailable,Unavailable,Unavailable,Working,Working,Working,meta-JTzJxWL0JZJt.json,JT,RREEPPLLAACCEE/JT/zJ/JTzJxWL0JZJt.mp4,RREEPPLLAACCEE/JT/zJ/JTzJxWL0JZJt_small.mp4
PC,0,0,0,Unavailable,2020-11-16,13:25:12,Unavailable,Unavailable,Unavailable,Unavailable,PC,PC,PC,meta-JtTCqTxrmRHr.json,Jt,RREEPPLLAACCEE/Jt/TC/JtTCqTxrmRHr.mp4,RREEPPLLAACCEE/Jt/TC/JtTCqTxrmRHr_small.mp4
matthew,0,0,0,Unavailable,2021-01-04,22:12:21,Canon,,,,matthew,matthew,matthew,meta-JtXFeqZ6VJXy.json,Jt,RREEPPLLAACCEE/Jt/XF/JtXFeqZ6VJXy.mp4,RREEPPLLAACCEE/Jt/XF/JtXFeqZ6VJXy_small.mp4
jotac,0,0,0,Unavailable,2020-07-09,20:12:36,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-jTpHOjDcfyep.json,jT,RREEPPLLAACCEE/jT/pH/jTpHOjDcfyep.mp4,RREEPPLLAACCEE/jT/pH/jTpHOjDcfyep_small.mp4
robertkozakiewicz,0,0,0,Unavailable,2020-11-30,00:04:59,Skydio,Unavailable,,Unavailable,robertkozakiewicz,robertkozakiewicz,robertkozakiewicz,meta-jTy9XMqudygL.json,jT,RREEPPLLAACCEE/jT/y9/jTy9XMqudygL.mp4,RREEPPLLAACCEE/jT/y9/jTy9XMqudygL_small.mp4
Hui,0,0,0,Unavailable,2020-12-09,09:14:38,Unavailable,Unavailable,Unavailable,Unavailable,Hui,Hui,Hui,meta-jTz0ArrtTs7e.json,jT,RREEPPLLAACCEE/jT/z0/jTz0ArrtTs7e.mp4,RREEPPLLAACCEE/jT/z0/jTz0ArrtTs7e_small.mp4
