Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
markstout,0,0,0,Unavailable,2020-10-29,12:57:54,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-5Feab5FOh3vg.json,5F,RREEPPLLAACCEE/5F/ea/5Feab5FOh3vg.mp4,RREEPPLLAACCEE/5F/ea/5Feab5FOh3vg_small.mp4
NEW,0,0,0,Unavailable,2020-12-09,22:38:03,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-5FoUTIk6ec1g.json,5F,RREEPPLLAACCEE/5F/oU/5FoUTIk6ec1g.mp4,RREEPPLLAACCEE/5F/oU/5FoUTIk6ec1g_small.mp4
User,0,0,0,Unavailable,2020-11-18,19:58:22,Panasonic,,,Unavailable,CalebWard,User,User,meta-5fCyAKcrcdu0.json,5f,RREEPPLLAACCEE/5f/Cy/5fCyAKcrcdu0.mp4,RREEPPLLAACCEE/5f/Cy/5fCyAKcrcdu0_small.mp4
noel,0,0,0,Unavailable,2020-07-23,18:18:47,Unavailable,Unavailable,Unavailable,Unavailable,noel,noel,noel,meta-5fGZSG8PqZZz.json,5f,RREEPPLLAACCEE/5f/GZ/5fGZSG8PqZZz.mp4,RREEPPLLAACCEE/5f/GZ/5fGZSG8PqZZz_small.mp4
Unavailable,38.6067,121.4169,14.504,Above Sea Level,2020-11-28,01:35:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5F1Kiw6QO6nG.json,5F,RREEPPLLAACCEE/5F/1K/5F1Kiw6QO6nG.mp4,RREEPPLLAACCEE/5F/1K/5F1Kiw6QO6nG_small.mp4
Unavailable,35.2023,111.6268,2150.883,Above Sea Level,2020-07-29,22:56:38,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5F2By1IX1FAj.json,5F,RREEPPLLAACCEE/5F/2B/5F2By1IX1FAj.mp4,RREEPPLLAACCEE/5F/2B/5F2By1IX1FAj_small.mp4
Unavailable,38.8899,77.0105,47.489,Below Sea Level,2021-01-06,18:06:20,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5F4X9i7bivo4.json,5F,RREEPPLLAACCEE/5F/4X/5F4X9i7bivo4.mp4,RREEPPLLAACCEE/5F/4X/5F4X9i7bivo4_small.mp4
Unavailable,40.6028,74.3148,28.164,Above Sea Level,2020-08-27,01:15:36,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FBRlStTaM0s.json,5F,RREEPPLLAACCEE/5F/BR/5FBRlStTaM0s.mp4,RREEPPLLAACCEE/5F/BR/5FBRlStTaM0s_small.mp4
Unavailable,34.8015,111.7644,1392.978,Above Sea Level,2019-03-30,18:16:38,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FGjZX4Fx438.json,5F,RREEPPLLAACCEE/5F/Gj/5FGjZX4Fx438.mp4,RREEPPLLAACCEE/5F/Gj/5FGjZX4Fx438_small.mp4
Unavailable,40.2127,110.8772,2073.895,Above Sea Level,2020-10-10,21:23:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FHMvzpvBvP9.json,5F,RREEPPLLAACCEE/5F/HM/5FHMvzpvBvP9.mp4,RREEPPLLAACCEE/5F/HM/5FHMvzpvBvP9_small.mp4
Unavailable,34.7477,80.0218,77.182,Above Sea Level,2020-11-13,01:33:21,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FP6GXtH3XDq.json,5F,RREEPPLLAACCEE/5F/P6/5FP6GXtH3XDq.mp4,RREEPPLLAACCEE/5F/P6/5FP6GXtH3XDq_small.mp4
Unavailable,34.4661,87.0579,187.125,Above Sea Level,2020-11-09,20:50:31,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FgjkwpntITj.json,5F,RREEPPLLAACCEE/5F/gj/5FgjkwpntITj.mp4,RREEPPLLAACCEE/5F/gj/5FgjkwpntITj_small.mp4
Unavailable,33.7493,84.3888,318.683,Above Sea Level,2020-11-18,17:07:11,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FqMGwiVKW4f.json,5F,RREEPPLLAACCEE/5F/qM/5FqMGwiVKW4f.mp4,RREEPPLLAACCEE/5F/qM/5FqMGwiVKW4f_small.mp4
Unavailable,38.4406,98.6280,555.708,Above Sea Level,2020-07-12,20:58:55,Apple,iPad Air 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FxJOsg0IiMD.json,5F,RREEPPLLAACCEE/5F/xJ/5FxJOsg0IiMD.mp4,RREEPPLLAACCEE/5F/xJ/5FxJOsg0IiMD_small.mp4
Unavailable,38.7239,90.2940,177.328,Above Sea Level,2020-11-03,19:24:10,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5FxTSXb4YlR6.json,5F,RREEPPLLAACCEE/5F/xT/5FxTSXb4YlR6.mp4,RREEPPLLAACCEE/5F/xT/5FxTSXb4YlR6_small.mp4
Unavailable,51.4626,.1611,0,Unavailable,2020-09-11,11:05:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5fH784XRPMR7.json,5f,RREEPPLLAACCEE/5f/H7/5fH784XRPMR7.mp4,RREEPPLLAACCEE/5f/H7/5fH784XRPMR7_small.mp4
Unavailable,41.9408,85.0025,0,Unavailable,2020-11-13,21:29:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5fHlbAa5kazf.json,5f,RREEPPLLAACCEE/5f/Hl/5fHlbAa5kazf.mp4,RREEPPLLAACCEE/5f/Hl/5fHlbAa5kazf_small.mp4
