Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
lebetkin,0,0,0,Unavailable,2020-10-21,07:20:12,Unavailable,Unavailable,Unavailable,Unavailable,lebetkin,lebetkin,lebetkin,meta-TZCLQja6PrmN.json,TZ,RREEPPLLAACCEE/TZ/CL/TZCLQja6PrmN.mp4,RREEPPLLAACCEE/TZ/CL/TZCLQja6PrmN_small.mp4
Brendan,0,0,0,Unavailable,2020-09-03,15:20:38,Unavailable,Unavailable,Unavailable,Unavailable,Brendan,Brendan,Brendan,meta-TZXM6x5fZBY2.json,TZ,RREEPPLLAACCEE/TZ/XM/TZXM6x5fZBY2.mp4,RREEPPLLAACCEE/TZ/XM/TZXM6x5fZBY2_small.mp4
Paul,0,0,0,Unavailable,2020-11-05,08:17:48,Canon,,,,Paul,Paul,Paul,meta-TzyLqbLc1o46.json,Tz,RREEPPLLAACCEE/Tz/yL/TzyLqbLc1o46.mp4,RREEPPLLAACCEE/Tz/yL/TzyLqbLc1o46_small.mp4
cmckee,0,0,0,Unavailable,2020-12-16,01:37:51,Unavailable,,Unavailable,Unavailable,cmckee,cmckee,cmckee,meta-tZ0sZPuSYrXM.json,tZ,RREEPPLLAACCEE/tZ/0s/tZ0sZPuSYrXM.mp4,RREEPPLLAACCEE/tZ/0s/tZ0sZPuSYrXM_small.mp4
PROPHET,0,0,0,Unavailable,2020-11-18,20:02:16,Unavailable,,Unavailable,Unavailable,PROPHET,PROPHET,PROPHET,meta-tZ2giYgbREHM.json,tZ,RREEPPLLAACCEE/tZ/2g/tZ2giYgbREHM.mp4,RREEPPLLAACCEE/tZ/2g/tZ2giYgbREHM_small.mp4
David,0,0,0,Unavailable,2020-12-01,00:56:11,Unavailable,,Unavailable,Unavailable,ltmedia,ltmedia,ltmedia,meta-tZOQTHNK5dPG.json,tZ,RREEPPLLAACCEE/tZ/OQ/tZOQTHNK5dPG.mp4,RREEPPLLAACCEE/tZ/OQ/tZOQTHNK5dPG_small.mp4
Unavailable,39.9922,86.2545,277.02,Above Sea Level,2020-11-23,15:46:25,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZ1VQ8XovEWA.json,TZ,RREEPPLLAACCEE/TZ/1V/TZ1VQ8XovEWA.mp4,RREEPPLLAACCEE/TZ/1V/TZ1VQ8XovEWA_small.mp4
Unavailable,40.4117,111.8908,1243.74,Above Sea Level,2020-12-05,15:57:10,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZ42A2CGKSDL.json,TZ,RREEPPLLAACCEE/TZ/42/TZ42A2CGKSDL.mp4,RREEPPLLAACCEE/TZ/42/TZ42A2CGKSDL_small.mp4
Unavailable,31.5631,97.1953,168.555,Above Sea Level,2020-11-21,22:12:10,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZ4HLgJ9F25J.json,TZ,RREEPPLLAACCEE/TZ/4H/TZ4HLgJ9F25J.mp4,RREEPPLLAACCEE/TZ/4H/TZ4HLgJ9F25J_small.mp4
Unavailable,38.9287,77.0158,55.855,Above Sea Level,2020-12-15,08:49:20,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZ523400jzIu.json,TZ,RREEPPLLAACCEE/TZ/52/TZ523400jzIu.mp4,RREEPPLLAACCEE/TZ/52/TZ523400jzIu_small.mp4
Unavailable,53.0037,1.2690,110.911,Above Sea Level,2020-09-26,21:16:41,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZ5ZHCR4oE1C.json,TZ,RREEPPLLAACCEE/TZ/5Z/TZ5ZHCR4oE1C.mp4,RREEPPLLAACCEE/TZ/5Z/TZ5ZHCR4oE1C_small.mp4
Unavailable,38.8986,77.0267,13.454,Above Sea Level,2021-01-06,03:33:58,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZLDaTO3EbLU.json,TZ,RREEPPLLAACCEE/TZ/LD/TZLDaTO3EbLU.mp4,RREEPPLLAACCEE/TZ/LD/TZLDaTO3EbLU_small.mp4
Unavailable,38.8903,77.0353,10.729,Above Sea Level,2021-01-06,17:51:34,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZMPQmDrtK0N.json,TZ,RREEPPLLAACCEE/TZ/MP/TZMPQmDrtK0N.mp4,RREEPPLLAACCEE/TZ/MP/TZMPQmDrtK0N_small.mp4
Unavailable,40.6455,74.2907,23.836,Above Sea Level,2020-11-09,13:58:06,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZNYlgql0XCs.json,TZ,RREEPPLLAACCEE/TZ/NY/TZNYlgql0XCs.mp4,RREEPPLLAACCEE/TZ/NY/TZNYlgql0XCs_small.mp4
Unavailable,37.3360,119.7187,0,Unavailable,2020-11-07,00:11:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZQXMeUmH62n.json,TZ,RREEPPLLAACCEE/TZ/QX/TZQXMeUmH62n.mp4,RREEPPLLAACCEE/TZ/QX/TZQXMeUmH62n_small.mp4
Unavailable,37.7283,144.8798,66.051,Above Sea Level,2020-07-06,06:13:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZXCRuaEQsIj.json,TZ,RREEPPLLAACCEE/TZ/XC/TZXCRuaEQsIj.mp4,RREEPPLLAACCEE/TZ/XC/TZXCRuaEQsIj_small.mp4
Unavailable,42.5365,82.8903,176.326,Above Sea Level,2020-12-06,14:04:23,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZe4cwVZJQgl.json,TZ,RREEPPLLAACCEE/TZ/e4/TZe4cwVZJQgl.mp4,RREEPPLLAACCEE/TZ/e4/TZe4cwVZJQgl_small.mp4
Unavailable,37.7324,87.1225,121.838,Above Sea Level,2020-08-28,23:57:44,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZjyBE98T2rn.json,TZ,RREEPPLLAACCEE/TZ/jy/TZjyBE98T2rn.mp4,RREEPPLLAACCEE/TZ/jy/TZjyBE98T2rn_small.mp4
Unavailable,38.4699,78.4284,1065.32,Above Sea Level,2020-06-25,23:24:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZlCtsjosxaC.json,TZ,RREEPPLLAACCEE/TZ/lC/TZlCtsjosxaC.mp4,RREEPPLLAACCEE/TZ/lC/TZlCtsjosxaC_small.mp4
Unavailable,32.9935,96.9986,163.561,Above Sea Level,2020-07-22,18:44:40,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZqUEcIs0eZM.json,TZ,RREEPPLLAACCEE/TZ/qU/TZqUEcIs0eZM.mp4,RREEPPLLAACCEE/TZ/qU/TZqUEcIs0eZM_small.mp4
Unavailable,41.6509,71.2996,12.469,Above Sea Level,2020-08-03,11:25:03,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TZvuoZ0PqtZ7.json,TZ,RREEPPLLAACCEE/TZ/vu/TZvuoZ0PqtZ7.mp4,RREEPPLLAACCEE/TZ/vu/TZvuoZ0PqtZ7_small.mp4
Unavailable,31.9442,98.1178,390.099,Above Sea Level,2020-11-21,23:34:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tz522OoMxbpZ.json,Tz,RREEPPLLAACCEE/Tz/52/Tz522OoMxbpZ.mp4,RREEPPLLAACCEE/Tz/52/Tz522OoMxbpZ_small.mp4
Unavailable,39.0339,84.6166,258.187,Above Sea Level,2020-10-05,02:44:05,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tz8G5LjOa0ka.json,Tz,RREEPPLLAACCEE/Tz/8G/Tz8G5LjOa0ka.mp4,RREEPPLLAACCEE/Tz/8G/Tz8G5LjOa0ka_small.mp4
