Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
CultW,0,0,0,Unavailable,2020-07-06,01:27:38,Unavailable,Unavailable,Unavailable,Unavailable,CultW,CultW,CultW,meta-EDTz4Udwrnk1.json,ED,RREEPPLLAACCEE/ED/Tz/EDTz4Udwrnk1.mp4,RREEPPLLAACCEE/ED/Tz/EDTz4Udwrnk1_small.mp4
Daniel,0,0,0,Unavailable,2020-12-11,21:59:02,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-EDitjhmz6Vkl.json,ED,RREEPPLLAACCEE/ED/it/EDitjhmz6Vkl.mp4,RREEPPLLAACCEE/ED/it/EDitjhmz6Vkl_small.mp4
gavinmcinnes,0,0,0,Unavailable,2020-11-17,00:14:56,Unavailable,Unavailable,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-EdomJ8xhDWUz.json,Ed,RREEPPLLAACCEE/Ed/om/EdomJ8xhDWUz.mp4,RREEPPLLAACCEE/Ed/om/EdomJ8xhDWUz_small.mp4
Daniel,0,0,0,Unavailable,2020-09-22,00:46:56,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-eDO5HSKdBTc1.json,eD,RREEPPLLAACCEE/eD/O5/eDO5HSKdBTc1.mp4,RREEPPLLAACCEE/eD/O5/eDO5HSKdBTc1_small.mp4
Edit3,0,0,0,Unavailable,2020-11-16,21:27:39,Unavailable,Unavailable,Unavailable,Unavailable,Edit3,Edit3,Edit3,meta-eDjL7HTdwCIo.json,eD,RREEPPLLAACCEE/eD/jL/eDjL7HTdwCIo.mp4,RREEPPLLAACCEE/eD/jL/eDjL7HTdwCIo_small.mp4
Unavailable,34.1156,117.8216,279.752,Above Sea Level,2020-09-30,01:29:53,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ED0RHZzhbqpt.json,ED,RREEPPLLAACCEE/ED/0R/ED0RHZzhbqpt.mp4,RREEPPLLAACCEE/ED/0R/ED0RHZzhbqpt_small.mp4
Unavailable,47.5379,121.8577,248.043,Above Sea Level,2021-01-08,01:24:32,Apple,iPad (7th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ED38D49tdOC3.json,ED,RREEPPLLAACCEE/ED/38/ED38D49tdOC3.mp4,RREEPPLLAACCEE/ED/38/ED38D49tdOC3_small.mp4
Unavailable,33.4508,91.0426,38.833,Above Sea Level,2020-08-14,16:07:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ED7t6OSZDrhf.json,ED,RREEPPLLAACCEE/ED/7t/ED7t6OSZDrhf.mp4,RREEPPLLAACCEE/ED/7t/ED7t6OSZDrhf_small.mp4
Unavailable,60.5149,150.9071,79.743,Above Sea Level,2020-11-18,00:22:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EDCiiqr6GJJh.json,ED,RREEPPLLAACCEE/ED/Ci/EDCiiqr6GJJh.mp4,RREEPPLLAACCEE/ED/Ci/EDCiiqr6GJJh_small.mp4
Unavailable,32.4336,99.7748,531.582,Above Sea Level,2020-10-31,23:31:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EDIU1G9j8vfM.json,ED,RREEPPLLAACCEE/ED/IU/EDIU1G9j8vfM.mp4,RREEPPLLAACCEE/ED/IU/EDIU1G9j8vfM_small.mp4
Unavailable,35.5755,78.7963,109.769,Above Sea Level,2020-11-19,14:18:28,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EDIfP1WfpRk3.json,ED,RREEPPLLAACCEE/ED/If/EDIfP1WfpRk3.mp4,RREEPPLLAACCEE/ED/If/EDIfP1WfpRk3_small.mp4
Unavailable,39.7880,74.2262,20.173,Above Sea Level,2020-07-26,14:46:37,Apple,iPad Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EDJGO6W7mH1Q.json,ED,RREEPPLLAACCEE/ED/JG/EDJGO6W7mH1Q.mp4,RREEPPLLAACCEE/ED/JG/EDJGO6W7mH1Q_small.mp4
