Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
matthew,0,0,0,Unavailable,2020-11-19,21:12:19,Canon,,,,matthew,matthew,matthew,meta-BTnaeKmTeN6v.json,BT,RREEPPLLAACCEE/BT/na/BTnaeKmTeN6v.mp4,RREEPPLLAACCEE/BT/na/BTnaeKmTeN6v_small.mp4
stock,0,0,0,Unavailable,2020-11-23,05:45:29,Unavailable,Unavailable,Unavailable,Unavailable,stock,stock,stock,meta-bTzuhWC23Tn0.json,bT,RREEPPLLAACCEE/bT/zu/bTzuhWC23Tn0.mp4,RREEPPLLAACCEE/bT/zu/bTzuhWC23Tn0_small.mp4
jordi,0,0,0,Unavailable,2020-08-19,11:18:19,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-bt65IXUx4Uad.json,bt,RREEPPLLAACCEE/bt/65/bt65IXUx4Uad.mp4,RREEPPLLAACCEE/bt/65/bt65IXUx4Uad_small.mp4
sergiorodriquez,0,0,0,Unavailable,2020-12-12,05:42:27,Unavailable,Unavailable,Unavailable,Unavailable,sergiorodriquez,sergiorodriquez,sergiorodriquez,meta-bttULEBSF97k.json,bt,RREEPPLLAACCEE/bt/tU/bttULEBSF97k.mp4,RREEPPLLAACCEE/bt/tU/bttULEBSF97k_small.mp4
Unavailable,33.0013,96.6360,148.437,Above Sea Level,2020-09-29,03:51:54,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BT8xkifDC3Tf.json,BT,RREEPPLLAACCEE/BT/8x/BT8xkifDC3Tf.mp4,RREEPPLLAACCEE/BT/8x/BT8xkifDC3Tf_small.mp4
Unavailable,45.2637,122.6919,0,Unavailable,2021-01-06,22:09:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTCFukjH1kAW.json,BT,RREEPPLLAACCEE/BT/CF/BTCFukjH1kAW.mp4,RREEPPLLAACCEE/BT/CF/BTCFukjH1kAW_small.mp4
Unavailable,42.8066,84.3755,269.564,Above Sea Level,2020-09-05,19:13:08,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTCqHL2k03BB.json,BT,RREEPPLLAACCEE/BT/Cq/BTCqHL2k03BB.mp4,RREEPPLLAACCEE/BT/Cq/BTCqHL2k03BB_small.mp4
Unavailable,21.2918,157.8411,4.505,Above Sea Level,2021-01-03,09:26:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTEH6OC31bgz.json,BT,RREEPPLLAACCEE/BT/EH/BTEH6OC31bgz.mp4,RREEPPLLAACCEE/BT/EH/BTEH6OC31bgz_small.mp4
Unavailable,38.0687,85.6862,164.169,Above Sea Level,2021-01-02,20:10:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTG6gfAebMSw.json,BT,RREEPPLLAACCEE/BT/G6/BTG6gfAebMSw.mp4,RREEPPLLAACCEE/BT/G6/BTG6gfAebMSw_small.mp4
Unavailable,40.6564,73.6617,9.62,Above Sea Level,2018-08-06,14:32:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTGd33UBxSEu.json,BT,RREEPPLLAACCEE/BT/Gd/BTGd33UBxSEu.mp4,RREEPPLLAACCEE/BT/Gd/BTGd33UBxSEu_small.mp4
Unavailable,45.4630,9.1276,115.84,Above Sea Level,2020-04-26,18:06:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTHoXKGQnWar.json,BT,RREEPPLLAACCEE/BT/Ho/BTHoXKGQnWar.mp4,RREEPPLLAACCEE/BT/Ho/BTHoXKGQnWar_small.mp4
Unavailable,32.4409,93.7189,50.091,Above Sea Level,2020-07-08,14:32:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTQDKbAeHAUt.json,BT,RREEPPLLAACCEE/BT/QD/BTQDKbAeHAUt.mp4,RREEPPLLAACCEE/BT/QD/BTQDKbAeHAUt_small.mp4
Unavailable,39.9869,76.2854,0,Unavailable,2019-08-04,16:43:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTRCJtnBSdC8.json,BT,RREEPPLLAACCEE/BT/RC/BTRCJtnBSdC8.mp4,RREEPPLLAACCEE/BT/RC/BTRCJtnBSdC8_small.mp4
Unavailable,34.1449,84.2972,329.396,Above Sea Level,2020-12-05,18:37:28,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTU7yuoiNDcg.json,BT,RREEPPLLAACCEE/BT/U7/BTU7yuoiNDcg.mp4,RREEPPLLAACCEE/BT/U7/BTU7yuoiNDcg_small.mp4
Unavailable,39.6430,106.3792,2487.025,Above Sea Level,2020-12-13,23:28:37,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTXTvDcHKfJC.json,BT,RREEPPLLAACCEE/BT/XT/BTXTvDcHKfJC.mp4,RREEPPLLAACCEE/BT/XT/BTXTvDcHKfJC_small.mp4
Unavailable,38.0578,97.6260,0,Unavailable,2020-11-14,23:25:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTdK6oh4N3hJ.json,BT,RREEPPLLAACCEE/BT/dK/BTdK6oh4N3hJ.mp4,RREEPPLLAACCEE/BT/dK/BTdK6oh4N3hJ_small.mp4
Unavailable,29.8791,98.4581,306.933,Above Sea Level,2020-11-19,21:55:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTedHZMxrpHD.json,BT,RREEPPLLAACCEE/BT/ed/BTedHZMxrpHD.mp4,RREEPPLLAACCEE/BT/ed/BTedHZMxrpHD_small.mp4
Unavailable,40.2700,73.9961,13.97,Above Sea Level,2020-10-27,20:02:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BThEe2jAZp6k.json,BT,RREEPPLLAACCEE/BT/hE/BThEe2jAZp6k.mp4,RREEPPLLAACCEE/BT/hE/BThEe2jAZp6k_small.mp4
Unavailable,42.5522,113.4849,1359.3,Above Sea Level,2020-06-10,20:26:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BThYoMnBOnzE.json,BT,RREEPPLLAACCEE/BT/hY/BThYoMnBOnzE.mp4,RREEPPLLAACCEE/BT/hY/BThYoMnBOnzE_small.mp4
Unavailable,36.1408,95.9941,207.561,Above Sea Level,2020-07-28,03:23:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTmdqDRERROk.json,BT,RREEPPLLAACCEE/BT/md/BTmdqDRERROk.mp4,RREEPPLLAACCEE/BT/md/BTmdqDRERROk_small.mp4
Unavailable,60.9810,25.5348,145.783,Above Sea Level,2020-11-15,07:23:07,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BTsBtXVehPCO.json,BT,RREEPPLLAACCEE/BT/sB/BTsBtXVehPCO.mp4,RREEPPLLAACCEE/BT/sB/BTsBtXVehPCO_small.mp4
