Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vladyslavstarozhylov,0,0,0,Unavailable,2020-10-03,07:19:30,Leaf,,,,tirsoluis,tirsoluis,tirsoluis,meta-7XAy1xdUjO7W.json,7X,RREEPPLLAACCEE/7X/Ay/7XAy1xdUjO7W.mp4,RREEPPLLAACCEE/7X/Ay/7XAy1xdUjO7W_small.mp4
paulo,0,0,0,Unavailable,2020-06-02,02:17:49,Unavailable,Unavailable,Unavailable,Unavailable,paulo,paulo,paulo,meta-7XEMdFfIXE83.json,7X,RREEPPLLAACCEE/7X/EM/7XEMdFfIXE83.mp4,RREEPPLLAACCEE/7X/EM/7XEMdFfIXE83_small.mp4
paulg,0,0,0,Unavailable,2021-01-07,20:40:52,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-7Xlmv4Jujp1d.json,7X,RREEPPLLAACCEE/7X/lm/7Xlmv4Jujp1d.mp4,RREEPPLLAACCEE/7X/lm/7Xlmv4Jujp1d_small.mp4
cyclo,0,0,0,Unavailable,2020-11-09,17:51:35,Unavailable,Unavailable,Unavailable,Unavailable,cyclo,cyclo,cyclo,meta-7Xu4ZYv69lUQ.json,7X,RREEPPLLAACCEE/7X/u4/7Xu4ZYv69lUQ.mp4,RREEPPLLAACCEE/7X/u4/7Xu4ZYv69lUQ_small.mp4
Chadwick,0,0,0,Unavailable,2020-08-04,05:38:43,Unavailable,Unavailable,Unavailable,Unavailable,Chadwick,Chadwick,Chadwick,meta-7xdGXEOfZmkh.json,7x,RREEPPLLAACCEE/7x/dG/7xdGXEOfZmkh.mp4,RREEPPLLAACCEE/7x/dG/7xdGXEOfZmkh_small.mp4
Unavailable,36.6139,119.7723,86.082,Above Sea Level,2020-10-02,04:06:56,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7X2EXG59BiTp.json,7X,RREEPPLLAACCEE/7X/2E/7X2EXG59BiTp.mp4,RREEPPLLAACCEE/7X/2E/7X2EXG59BiTp_small.mp4
Unavailable,28.1013,82.7623,7.771,Above Sea Level,2020-09-11,02:27:06,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7X2Y9Kd7ikr2.json,7X,RREEPPLLAACCEE/7X/2Y/7X2Y9Kd7ikr2.mp4,RREEPPLLAACCEE/7X/2Y/7X2Y9Kd7ikr2_small.mp4
Unavailable,33.8391,118.0593,11.034,Above Sea Level,2021-01-07,18:36:11,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7X5KDKLpbMzk.json,7X,RREEPPLLAACCEE/7X/5K/7X5KDKLpbMzk.mp4,RREEPPLLAACCEE/7X/5K/7X5KDKLpbMzk_small.mp4
Unavailable,36.1197,79.8780,232.882,Above Sea Level,2020-11-03,21:54:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XA5mGo5Ij7k.json,7X,RREEPPLLAACCEE/7X/A5/7XA5mGo5Ij7k.mp4,RREEPPLLAACCEE/7X/A5/7XA5mGo5Ij7k_small.mp4
Unavailable,38.9424,104.8503,1993.049,Above Sea Level,2020-11-08,22:34:47,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XLRe1ctlHPl.json,7X,RREEPPLLAACCEE/7X/LR/7XLRe1ctlHPl.mp4,RREEPPLLAACCEE/7X/LR/7XLRe1ctlHPl_small.mp4
Unavailable,32.1470,82.9071,67.74,Above Sea Level,2016-04-10,16:30:18,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XW1FuNyjNIQ.json,7X,RREEPPLLAACCEE/7X/W1/7XW1FuNyjNIQ.mp4,RREEPPLLAACCEE/7X/W1/7XW1FuNyjNIQ_small.mp4
Unavailable,40.1315,74.8680,14.579,Above Sea Level,2020-09-10,13:26:18,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XeJraoVdJaX.json,7X,RREEPPLLAACCEE/7X/eJ/7XeJraoVdJaX.mp4,RREEPPLLAACCEE/7X/eJ/7XeJraoVdJaX_small.mp4
Unavailable,40.7618,73.9692,74.85,Above Sea Level,2020-11-04,01:35:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7Xf2HXohIfdI.json,7X,RREEPPLLAACCEE/7X/f2/7Xf2HXohIfdI.mp4,RREEPPLLAACCEE/7X/f2/7Xf2HXohIfdI_small.mp4
Unavailable,42.4231,123.3357,287.559,Above Sea Level,2020-11-07,19:58:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XgTHFdj2uiZ.json,7X,RREEPPLLAACCEE/7X/gT/7XgTHFdj2uiZ.mp4,RREEPPLLAACCEE/7X/gT/7XgTHFdj2uiZ_small.mp4
Unavailable,40.1352,88.2638,235.145,Above Sea Level,2020-09-27,15:07:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XlFDF6a4Jk4.json,7X,RREEPPLLAACCEE/7X/lF/7XlFDF6a4Jk4.mp4,RREEPPLLAACCEE/7X/lF/7XlFDF6a4Jk4_small.mp4
Unavailable,40.7452,73.2587,14.7,Above Sea Level,2020-11-17,15:49:11,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7XpipJnA7DET.json,7X,RREEPPLLAACCEE/7X/pi/7XpipJnA7DET.mp4,RREEPPLLAACCEE/7X/pi/7XpipJnA7DET_small.mp4
Unavailable,40.6028,74.3149,28.265,Above Sea Level,2020-10-14,14:55:45,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7x3VqcgV4Sgl.json,7x,RREEPPLLAACCEE/7x/3V/7x3VqcgV4Sgl.mp4,RREEPPLLAACCEE/7x/3V/7x3VqcgV4Sgl_small.mp4
Unavailable,40.7055,74.0081,0,Unavailable,2021-01-07,01:41:35,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7x4T9XQZsO3N.json,7x,RREEPPLLAACCEE/7x/4T/7x4T9XQZsO3N.mp4,RREEPPLLAACCEE/7x/4T/7x4T9XQZsO3N_small.mp4
Unavailable,29.8276,95.0441,22.775,Above Sea Level,2020-11-07,12:05:54,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7x4qQYi2YEDO.json,7x,RREEPPLLAACCEE/7x/4q/7x4qQYi2YEDO.mp4,RREEPPLLAACCEE/7x/4q/7x4qQYi2YEDO_small.mp4
Unavailable,33.2181,87.5446,66.763,Above Sea Level,2020-07-20,17:36:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7x51mzFB4x3v.json,7x,RREEPPLLAACCEE/7x/51/7x51mzFB4x3v.mp4,RREEPPLLAACCEE/7x/51/7x51mzFB4x3v_small.mp4
Unavailable,28.6169,81.4490,21.423,Above Sea Level,2020-12-11,17:57:39,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xA1pZw9PpyF.json,7x,RREEPPLLAACCEE/7x/A1/7xA1pZw9PpyF.mp4,RREEPPLLAACCEE/7x/A1/7xA1pZw9PpyF_small.mp4
Unavailable,34.5407,94.1669,309.858,Above Sea Level,2020-12-06,16:19:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xDE9T7XGm38.json,7x,RREEPPLLAACCEE/7x/DE/7xDE9T7XGm38.mp4,RREEPPLLAACCEE/7x/DE/7xDE9T7XGm38_small.mp4
Unavailable,43.7205,79.5552,136.82,Above Sea Level,2020-07-21,23:37:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xTxRcn6oc5B.json,7x,RREEPPLLAACCEE/7x/Tx/7xTxRcn6oc5B.mp4,RREEPPLLAACCEE/7x/Tx/7xTxRcn6oc5B_small.mp4
Unavailable,38.8958,77.0306,7.503,Above Sea Level,2021-01-05,18:42:59,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xcHzeYFmH5J.json,7x,RREEPPLLAACCEE/7x/cH/7xcHzeYFmH5J.mp4,RREEPPLLAACCEE/7x/cH/7xcHzeYFmH5J_small.mp4
Unavailable,26.5628,81.9844,8.157,Above Sea Level,2020-11-01,18:31:52,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xirO9G2ssCJ.json,7x,RREEPPLLAACCEE/7x/ir/7xirO9G2ssCJ.mp4,RREEPPLLAACCEE/7x/ir/7xirO9G2ssCJ_small.mp4
Unavailable,33.7724,117.1448,523.454,Above Sea Level,2020-10-11,02:26:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7xlimUoXsOlS.json,7x,RREEPPLLAACCEE/7x/li/7xlimUoXsOlS.mp4,RREEPPLLAACCEE/7x/li/7xlimUoXsOlS_small.mp4
