Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
JSirok,0,0,0,Unavailable,2020-12-05,12:53:33,Panasonic,,,Unavailable,danielsmith,danielsmith,danielsmith,meta-QGbWs3nFXFE5.json,QG,RREEPPLLAACCEE/QG/bW/QGbWs3nFXFE5.mp4,RREEPPLLAACCEE/QG/bW/QGbWs3nFXFE5_small.mp4
zsr9c,0,0,0,Unavailable,2020-12-26,01:20:34,Unavailable,Unavailable,Unavailable,Unavailable,zsr9c,zsr9c,zsr9c,meta-QgDWrl6ydKoS.json,Qg,RREEPPLLAACCEE/Qg/DW/QgDWrl6ydKoS.mp4,RREEPPLLAACCEE/Qg/DW/QgDWrl6ydKoS_small.mp4
Ling,0,0,0,Unavailable,2020-11-22,14:22:23,Unavailable,Unavailable,Unavailable,Unavailable,Ling,Ling,Ling,meta-qGPlAHt19nAE.json,qG,RREEPPLLAACCEE/qG/Pl/qGPlAHt19nAE.mp4,RREEPPLLAACCEE/qG/Pl/qGPlAHt19nAE_small.mp4
americansforlimitedgovernment,0,0,0,Unavailable,2020-10-15,15:02:59,Unavailable,Unavailable,Unavailable,Unavailable,americansforlimitedgovernment,americansforlimitedgovernment,americansforlimitedgovernment,meta-qg6kW6rT0qpm.json,qg,RREEPPLLAACCEE/qg/6k/qg6kW6rT0qpm.mp4,RREEPPLLAACCEE/qg/6k/qg6kW6rT0qpm_small.mp4
asomoskey,0,0,0,Unavailable,2019-11-14,18:21:12,Unavailable,Unavailable,Unavailable,Unavailable,asomoskey,asomoskey,asomoskey,meta-qgJGFB70nKhG.json,qg,RREEPPLLAACCEE/qg/JG/qgJGFB70nKhG.mp4,RREEPPLLAACCEE/qg/JG/qgJGFB70nKhG_small.mp4
Unavailable,26.0026,80.1776,3.618,Above Sea Level,2020-08-07,01:48:57,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QG611474Dx4S.json,QG,RREEPPLLAACCEE/QG/61/QG611474Dx4S.mp4,RREEPPLLAACCEE/QG/61/QG611474Dx4S_small.mp4
Unavailable,39.0544,94.6869,297.843,Above Sea Level,2020-07-04,22:49:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGCcAtrdqjPn.json,QG,RREEPPLLAACCEE/QG/Cc/QGCcAtrdqjPn.mp4,RREEPPLLAACCEE/QG/Cc/QGCcAtrdqjPn_small.mp4
Unavailable,39.1506,76.6389,27.347,Above Sea Level,2020-11-14,01:48:48,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGFxktHVzV1V.json,QG,RREEPPLLAACCEE/QG/Fx/QGFxktHVzV1V.mp4,RREEPPLLAACCEE/QG/Fx/QGFxktHVzV1V_small.mp4
Unavailable,39.9268,105.0185,0,Unavailable,2020-07-04,03:12:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGLGNGkNslCs.json,QG,RREEPPLLAACCEE/QG/LG/QGLGNGkNslCs.mp4,RREEPPLLAACCEE/QG/LG/QGLGNGkNslCs_small.mp4
Unavailable,33.7851,116.2876,34.135,Above Sea Level,2020-12-11,19:07:01,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGNDV5CdMojX.json,QG,RREEPPLLAACCEE/QG/ND/QGNDV5CdMojX.mp4,RREEPPLLAACCEE/QG/ND/QGNDV5CdMojX_small.mp4
Unavailable,52.5150,13.3606,33.473,Above Sea Level,2020-08-01,13:33:25,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGNH2Tp6p32U.json,QG,RREEPPLLAACCEE/QG/NH/QGNH2Tp6p32U.mp4,RREEPPLLAACCEE/QG/NH/QGNH2Tp6p32U_small.mp4
Unavailable,37.1359,76.4988,11.121,Above Sea Level,2020-09-25,23:07:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QGPm6OCBbf4t.json,QG,RREEPPLLAACCEE/QG/Pm/QGPm6OCBbf4t.mp4,RREEPPLLAACCEE/QG/Pm/QGPm6OCBbf4t_small.mp4
