Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
katherinelee,0,0,0,Unavailable,2020-08-12,15:02:31,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-MVbK3jH4GQ5H.json,MV,RREEPPLLAACCEE/MV/bK/MVbK3jH4GQ5H.mp4,RREEPPLLAACCEE/MV/bK/MVbK3jH4GQ5H_small.mp4
Aaron,0,0,0,Unavailable,2020-07-05,08:25:56,LEICA CAMERA AG,,,,Aaron,Aaron,Aaron,meta-MVeUwvIJZWpL.json,MV,RREEPPLLAACCEE/MV/eU/MVeUwvIJZWpL.mp4,RREEPPLLAACCEE/MV/eU/MVeUwvIJZWpL_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-03,17:12:03,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-MVrxRmeoQrQu.json,MV,RREEPPLLAACCEE/MV/rx/MVrxRmeoQrQu.mp4,RREEPPLLAACCEE/MV/rx/MVrxRmeoQrQu_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-14,16:00:30,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-Mv7sOtyiAtN6.json,Mv,RREEPPLLAACCEE/Mv/7s/Mv7sOtyiAtN6.mp4,RREEPPLLAACCEE/Mv/7s/Mv7sOtyiAtN6_small.mp4
joebiggs,0,0,0,Unavailable,2020-07-17,19:15:57,Canon,,,,joebiggs,joebiggs,joebiggs,meta-MvEN5LI2IKoG.json,Mv,RREEPPLLAACCEE/Mv/EN/MvEN5LI2IKoG.mp4,RREEPPLLAACCEE/Mv/EN/MvEN5LI2IKoG_small.mp4
Admin,0,0,0,Unavailable,2020-12-16,08:44:50,NIKON CORPORATION,,,,Admin,Admin,Admin,meta-MvklqG1Va0l7.json,Mv,RREEPPLLAACCEE/Mv/kl/MvklqG1Va0l7.mp4,RREEPPLLAACCEE/Mv/kl/MvklqG1Va0l7_small.mp4
matthewmarkanson,0,0,0,Unavailable,2020-06-28,02:18:57,Unavailable,Unavailable,Unavailable,Unavailable,matthewmarkanson,matthewmarkanson,matthewmarkanson,meta-mVJvgJZhyaXm.json,mV,RREEPPLLAACCEE/mV/Jv/mVJvgJZhyaXm.mp4,RREEPPLLAACCEE/mV/Jv/mVJvgJZhyaXm_small.mp4
evanb,0,0,0,Unavailable,2020-06-29,22:42:29,Unavailable,Unavailable,Unavailable,Unavailable,evanb,evanb,evanb,meta-mVMytgHQFqmU.json,mV,RREEPPLLAACCEE/mV/My/mVMytgHQFqmU.mp4,RREEPPLLAACCEE/mV/My/mVMytgHQFqmU_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-28,14:43:40,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-mVNUZ5b8jpQ4.json,mV,RREEPPLLAACCEE/mV/NU/mVNUZ5b8jpQ4.mp4,RREEPPLLAACCEE/mV/NU/mVNUZ5b8jpQ4_small.mp4
ryanclo,0,0,0,Unavailable,2020-08-18,20:55:01,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-mVZ4QsgBeFU0.json,mV,RREEPPLLAACCEE/mV/Z4/mVZ4QsgBeFU0.mp4,RREEPPLLAACCEE/mV/Z4/mVZ4QsgBeFU0_small.mp4
jerem,0,0,0,Unavailable,2020-02-28,22:16:46,Unavailable,Unavailable,Unavailable,Unavailable,jerem,jerem,jerem,meta-mVwZsYo7qjer.json,mV,RREEPPLLAACCEE/mV/wZ/mVwZsYo7qjer.mp4,RREEPPLLAACCEE/mV/wZ/mVwZsYo7qjer_small.mp4
