Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
admin,0,0,0,Unavailable,2021-01-07,13:50:43,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-V1OnR0sKJ2ZL.json,V1,RREEPPLLAACCEE/V1/On/V1OnR0sKJ2ZL.mp4,RREEPPLLAACCEE/V1/On/V1OnR0sKJ2ZL_small.mp4
setayesh,0,0,0,Unavailable,2020-11-13,11:51:29,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-V1Qbdau2uyYk.json,V1,RREEPPLLAACCEE/V1/Qb/V1Qbdau2uyYk.mp4,RREEPPLLAACCEE/V1/Qb/V1Qbdau2uyYk_small.mp4
admin,0,0,0,Unavailable,2020-03-31,23:34:41,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-V1VcISa4rHlJ.json,V1,RREEPPLLAACCEE/V1/Vc/V1VcISa4rHlJ.mp4,RREEPPLLAACCEE/V1/Vc/V1VcISa4rHlJ_small.mp4
crtv-ubedit_01,0,0,0,Unavailable,2020-11-13,14:27:24,Unavailable,Unavailable,Unavailable,Unavailable,crtv-ubedit_01,crtv-ubedit_01,crtv-ubedit_01,meta-V1oWGqZQrjms.json,V1,RREEPPLLAACCEE/V1/oW/V1oWGqZQrjms.mp4,RREEPPLLAACCEE/V1/oW/V1oWGqZQrjms_small.mp4
KCCProduction,0,0,0,Unavailable,2020-11-24,20:23:07,Unavailable,Unavailable,Unavailable,Unavailable,KCCProduction,KCCProduction,KCCProduction,meta-v1GIMMLQ9u8J.json,v1,RREEPPLLAACCEE/v1/GI/v1GIMMLQ9u8J.mp4,RREEPPLLAACCEE/v1/GI/v1GIMMLQ9u8J_small.mp4
joshallen,0,0,0,Unavailable,2020-11-12,21:37:32,Unavailable,,Unavailable,Unavailable,joshallen,joshallen,joshallen,meta-v1UZeCbhQfTy.json,v1,RREEPPLLAACCEE/v1/UZ/v1UZeCbhQfTy.mp4,RREEPPLLAACCEE/v1/UZ/v1UZeCbhQfTy_small.mp4
Bojan,0,0,0,Unavailable,2021-01-06,00:15:53,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-v1ps0JRQpSzg.json,v1,RREEPPLLAACCEE/v1/ps/v1ps0JRQpSzg.mp4,RREEPPLLAACCEE/v1/ps/v1ps0JRQpSzg_small.mp4
Unavailable,53.3519,6.3535,0,Unavailable,2020-09-14,10:22:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V10Pg3uHUBsf.json,V1,RREEPPLLAACCEE/V1/0P/V10Pg3uHUBsf.mp4,RREEPPLLAACCEE/V1/0P/V10Pg3uHUBsf_small.mp4
Unavailable,40.7796,73.9528,24.958,Above Sea Level,2020-11-08,21:58:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V11oc7JRp4rQ.json,V1,RREEPPLLAACCEE/V1/1o/V11oc7JRp4rQ.mp4,RREEPPLLAACCEE/V1/1o/V11oc7JRp4rQ_small.mp4
Unavailable,33.5797,117.9540,1.293,Above Sea Level,2020-07-24,19:07:41,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1AM2qxK4WCG.json,V1,RREEPPLLAACCEE/V1/AM/V1AM2qxK4WCG.mp4,RREEPPLLAACCEE/V1/AM/V1AM2qxK4WCG_small.mp4
Unavailable,40.6471,75.0813,173.541,Above Sea Level,2020-10-19,14:06:36,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1D3M7xJDsFx.json,V1,RREEPPLLAACCEE/V1/D3/V1D3M7xJDsFx.mp4,RREEPPLLAACCEE/V1/D3/V1D3M7xJDsFx_small.mp4
Unavailable,41.5040,87.9768,212.487,Above Sea Level,2020-12-13,03:17:20,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1GlZw2o4KVC.json,V1,RREEPPLLAACCEE/V1/Gl/V1GlZw2o4KVC.mp4,RREEPPLLAACCEE/V1/Gl/V1GlZw2o4KVC_small.mp4
Unavailable,39.9667,75.1768,23.391,Above Sea Level,2020-11-01,23:41:12,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1IVDkiecA1D.json,V1,RREEPPLLAACCEE/V1/IV/V1IVDkiecA1D.mp4,RREEPPLLAACCEE/V1/IV/V1IVDkiecA1D_small.mp4
Unavailable,26.8532,81.9855,7.61,Above Sea Level,2020-12-31,20:07:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1LfuurZR6yj.json,V1,RREEPPLLAACCEE/V1/Lf/V1LfuurZR6yj.mp4,RREEPPLLAACCEE/V1/Lf/V1LfuurZR6yj_small.mp4
Unavailable,44.4074,96.9479,0,Unavailable,2020-12-04,22:29:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-V1Mf3oANKNsJ.json,V1,RREEPPLLAACCEE/V1/Mf/V1Mf3oANKNsJ.mp4,RREEPPLLAACCEE/V1/Mf/V1Mf3oANKNsJ_small.mp4
