Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
hernandez,0,0,0,Unavailable,2020-11-12,20:58:11,Unavailable,,Unavailable,Unavailable,hernandez,hernandez,hernandez,meta-DU0r7OI1oG1b.json,DU,RREEPPLLAACCEE/DU/0r/DU0r7OI1oG1b.mp4,RREEPPLLAACCEE/DU/0r/DU0r7OI1oG1b_small.mp4
Miki,0,0,0,Unavailable,2020-10-23,19:41:29,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-DUYFuYFoDAE2.json,DU,RREEPPLLAACCEE/DU/YF/DUYFuYFoDAE2.mp4,RREEPPLLAACCEE/DU/YF/DUYFuYFoDAE2_small.mp4
pc,0,0,0,Unavailable,2020-12-16,17:38:52,Unavailable,Unavailable,Unavailable,Unavailable,pc,pc,pc,meta-Du3XS05A625J.json,Du,RREEPPLLAACCEE/Du/3X/Du3XS05A625J.mp4,RREEPPLLAACCEE/Du/3X/Du3XS05A625J_small.mp4
GerardReyes,0,0,0,Unavailable,2020-10-19,14:32:03,Unavailable,Unavailable,Unavailable,Unavailable,GerardReyes,GerardReyes,GerardReyes,meta-DuN00rQ3EZ61.json,Du,RREEPPLLAACCEE/Du/N0/DuN00rQ3EZ61.mp4,RREEPPLLAACCEE/Du/N0/DuN00rQ3EZ61_small.mp4
cedricmueller,0,0,0,Unavailable,2020-12-11,13:35:57,Unavailable,Unavailable,Unavailable,Unavailable,cedricmueller,cedricmueller,cedricmueller,meta-dU0Bzwj0k5xr.json,dU,RREEPPLLAACCEE/dU/0B/dU0Bzwj0k5xr.mp4,RREEPPLLAACCEE/dU/0B/dU0Bzwj0k5xr_small.mp4
andre,0,0,0,Unavailable,2020-12-01,21:59:38,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-dUHUcCWyxX5d.json,dU,RREEPPLLAACCEE/dU/HU/dUHUcCWyxX5d.mp4,RREEPPLLAACCEE/dU/HU/dUHUcCWyxX5d_small.mp4
jamesgavin,0,0,0,Unavailable,2020-06-09,21:06:54,Unavailable,Unavailable,Unavailable,Unavailable,jamesgavin,jamesgavin,jamesgavin,meta-dUMCGuHvWQoY.json,dU,RREEPPLLAACCEE/dU/MC/dUMCGuHvWQoY.mp4,RREEPPLLAACCEE/dU/MC/dUMCGuHvWQoY_small.mp4
njsno,0,0,0,Unavailable,2020-08-13,22:30:04,Unavailable,Unavailable,Unavailable,Unavailable,njsno,njsno,njsno,meta-du9oQv25unFA.json,du,RREEPPLLAACCEE/du/9o/du9oQv25unFA.mp4,RREEPPLLAACCEE/du/9o/du9oQv25unFA_small.mp4
Unavailable,40.3197,79.9065,311.12,Above Sea Level,2020-11-12,17:45:12,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DU3OXAvmwJ9q.json,DU,RREEPPLLAACCEE/DU/3O/DU3OXAvmwJ9q.mp4,RREEPPLLAACCEE/DU/3O/DU3OXAvmwJ9q_small.mp4
Unavailable,33.9509,84.5392,348.57,Above Sea Level,2020-09-19,23:29:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DU65soeO3nxY.json,DU,RREEPPLLAACCEE/DU/65/DU65soeO3nxY.mp4,RREEPPLLAACCEE/DU/65/DU65soeO3nxY_small.mp4
Unavailable,36.2373,115.1931,669.573,Above Sea Level,2021-01-06,05:04:20,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DU8WutVLdcqg.json,DU,RREEPPLLAACCEE/DU/8W/DU8WutVLdcqg.mp4,RREEPPLLAACCEE/DU/8W/DU8WutVLdcqg_small.mp4
Unavailable,43.0548,88.0150,0,Unavailable,2020-09-27,13:10:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DU9nCCjSZ7Rb.json,DU,RREEPPLLAACCEE/DU/9n/DU9nCCjSZ7Rb.mp4,RREEPPLLAACCEE/DU/9n/DU9nCCjSZ7Rb_small.mp4
Unavailable,35.4889,84.6233,0,Unavailable,2021-01-07,06:56:03,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUBPTtcdwMJG.json,DU,RREEPPLLAACCEE/DU/BP/DUBPTtcdwMJG.mp4,RREEPPLLAACCEE/DU/BP/DUBPTtcdwMJG_small.mp4
Unavailable,43.0272,85.4900,251.997,Above Sea Level,2020-07-04,15:01:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUCdLXmwrHvk.json,DU,RREEPPLLAACCEE/DU/Cd/DUCdLXmwrHvk.mp4,RREEPPLLAACCEE/DU/Cd/DUCdLXmwrHvk_small.mp4
Unavailable,40.8571,82.2017,343.867,Above Sea Level,2019-04-26,02:40:24,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUErM7YBPZQE.json,DU,RREEPPLLAACCEE/DU/Er/DUErM7YBPZQE.mp4,RREEPPLLAACCEE/DU/Er/DUErM7YBPZQE_small.mp4
Unavailable,51.5062,.1469,15.962,Above Sea Level,2020-11-15,21:56:34,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DULt2SMFc4HA.json,DU,RREEPPLLAACCEE/DU/Lt/DULt2SMFc4HA.mp4,RREEPPLLAACCEE/DU/Lt/DULt2SMFc4HA_small.mp4
Unavailable,46.9926,123.5776,31.142,Above Sea Level,2020-03-06,01:55:21,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUPoMCNWjsQS.json,DU,RREEPPLLAACCEE/DU/Po/DUPoMCNWjsQS.mp4,RREEPPLLAACCEE/DU/Po/DUPoMCNWjsQS_small.mp4
Unavailable,40.0117,75.2879,103.565,Above Sea Level,2020-08-28,23:30:26,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUTHw25DHH7K.json,DU,RREEPPLLAACCEE/DU/TH/DUTHw25DHH7K.mp4,RREEPPLLAACCEE/DU/TH/DUTHw25DHH7K_small.mp4
Unavailable,40.9953,75.1837,130.231,Above Sea Level,2020-11-11,13:07:38,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUan9HjZmVWh.json,DU,RREEPPLLAACCEE/DU/an/DUan9HjZmVWh.mp4,RREEPPLLAACCEE/DU/an/DUan9HjZmVWh_small.mp4
Unavailable,29.1720,82.2206,24.914,Above Sea Level,2020-10-16,20:31:26,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUhzWBcArGmo.json,DU,RREEPPLLAACCEE/DU/hz/DUhzWBcArGmo.mp4,RREEPPLLAACCEE/DU/hz/DUhzWBcArGmo_small.mp4
Unavailable,35.2019,106.6293,1525.652,Above Sea Level,2020-12-02,01:21:14,Apple,iPad mini (5th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUl2YES4YijA.json,DU,RREEPPLLAACCEE/DU/l2/DUl2YES4YijA.mp4,RREEPPLLAACCEE/DU/l2/DUl2YES4YijA_small.mp4
Unavailable,28.8747,82.0108,34.627,Above Sea Level,2020-10-11,12:47:17,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DUrzimPNYsW2.json,DU,RREEPPLLAACCEE/DU/rz/DUrzimPNYsW2.mp4,RREEPPLLAACCEE/DU/rz/DUrzimPNYsW2_small.mp4
