Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
macbook,0,0,0,Unavailable,2020-08-22,12:27:29,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-WYWESOZ59eMH.json,WY,RREEPPLLAACCEE/WY/WE/WYWESOZ59eMH.mp4,RREEPPLLAACCEE/WY/WE/WYWESOZ59eMH_small.mp4
tades,0,0,0,Unavailable,2021-01-07,08:31:44,Unavailable,Unavailable,Unavailable,Unavailable,tades,tades,tades,meta-WyOBFkkgrOUI.json,Wy,RREEPPLLAACCEE/Wy/OB/WyOBFkkgrOUI.mp4,RREEPPLLAACCEE/Wy/OB/WyOBFkkgrOUI_small.mp4
johnwatts,0,0,0,Unavailable,2020-12-27,06:01:21,Synthetic Camera,,Unavailable,Unavailable,johnwatts,johnwatts,johnwatts,meta-Wyu7ijkR0rR8.json,Wy,RREEPPLLAACCEE/Wy/u7/Wyu7ijkR0rR8.mp4,RREEPPLLAACCEE/Wy/u7/Wyu7ijkR0rR8_small.mp4
cjanderson,0,0,0,Unavailable,2020-12-04,00:08:44,Unavailable,Unavailable,Unavailable,Unavailable,cjanderson,cjanderson,cjanderson,meta-WyxPAw2K9AJQ.json,Wy,RREEPPLLAACCEE/Wy/xP/WyxPAw2K9AJQ.mp4,RREEPPLLAACCEE/Wy/xP/WyxPAw2K9AJQ_small.mp4
GIANELLA,0,0,0,Unavailable,2020-03-19,07:12:17,Unavailable,Unavailable,Unavailable,Unavailable,GIANELLA,GIANELLA,GIANELLA,meta-wY9rve2a366Q.json,wY,RREEPPLLAACCEE/wY/9r/wY9rve2a366Q.mp4,RREEPPLLAACCEE/wY/9r/wY9rve2a366Q_small.mp4
Unavailable,33.5012,83.9906,193.301,Above Sea Level,2020-11-19,00:59:12,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WY30ZDONMIhd.json,WY,RREEPPLLAACCEE/WY/30/WY30ZDONMIhd.mp4,RREEPPLLAACCEE/WY/30/WY30ZDONMIhd_small.mp4
Unavailable,38.6758,90.4648,171.675,Above Sea Level,2020-11-04,22:52:28,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WY82braETRne.json,WY,RREEPPLLAACCEE/WY/82/WY82braETRne.mp4,RREEPPLLAACCEE/WY/82/WY82braETRne_small.mp4
Unavailable,40.6030,74.3151,19.26,Above Sea Level,2020-09-29,09:50:11,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYAjGZA33eZi.json,WY,RREEPPLLAACCEE/WY/Aj/WYAjGZA33eZi.mp4,RREEPPLLAACCEE/WY/Aj/WYAjGZA33eZi_small.mp4
Unavailable,42.0640,72.5790,47.793,Above Sea Level,2020-11-07,18:41:33,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYCjXNeVt43v.json,WY,RREEPPLLAACCEE/WY/Cj/WYCjXNeVt43v.mp4,RREEPPLLAACCEE/WY/Cj/WYCjXNeVt43v_small.mp4
Unavailable,34.0515,118.3801,45.181,Above Sea Level,2020-11-11,01:47:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYIc0Sjoo3UK.json,WY,RREEPPLLAACCEE/WY/Ic/WYIc0Sjoo3UK.mp4,RREEPPLLAACCEE/WY/Ic/WYIc0Sjoo3UK_small.mp4
Unavailable,39.7619,86.3573,0,Unavailable,2020-12-24,10:47:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYN5toUnB2Du.json,WY,RREEPPLLAACCEE/WY/N5/WYN5toUnB2Du.mp4,RREEPPLLAACCEE/WY/N5/WYN5toUnB2Du_small.mp4
Unavailable,36.0027,96.7723,279.888,Above Sea Level,2020-07-03,22:28:20,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYVPoOXRtVNg.json,WY,RREEPPLLAACCEE/WY/VP/WYVPoOXRtVNg.mp4,RREEPPLLAACCEE/WY/VP/WYVPoOXRtVNg_small.mp4
Unavailable,32.4706,97.7122,0,Unavailable,2020-06-13,20:03:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYYCUqBiuhHQ.json,WY,RREEPPLLAACCEE/WY/YC/WYYCUqBiuhHQ.mp4,RREEPPLLAACCEE/WY/YC/WYYCUqBiuhHQ_small.mp4
Unavailable,39.9231,75.1825,10.91,Above Sea Level,2020-12-02,18:39:46,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYaWgUH85R92.json,WY,RREEPPLLAACCEE/WY/aW/WYaWgUH85R92.mp4,RREEPPLLAACCEE/WY/aW/WYaWgUH85R92_small.mp4
Unavailable,33.3757,86.8026,160.338,Above Sea Level,2020-11-09,15:38:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYbTsLKwAOWP.json,WY,RREEPPLLAACCEE/WY/bT/WYbTsLKwAOWP.mp4,RREEPPLLAACCEE/WY/bT/WYbTsLKwAOWP_small.mp4
Unavailable,40.7515,73.9909,14.681,Above Sea Level,2020-08-12,14:40:43,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYbh7qpnM4M0.json,WY,RREEPPLLAACCEE/WY/bh/WYbh7qpnM4M0.mp4,RREEPPLLAACCEE/WY/bh/WYbh7qpnM4M0_small.mp4
Unavailable,34.3198,79.8985,0,Unavailable,2020-06-30,13:23:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYdwWVWNUYxJ.json,WY,RREEPPLLAACCEE/WY/dw/WYdwWVWNUYxJ.mp4,RREEPPLLAACCEE/WY/dw/WYdwWVWNUYxJ_small.mp4
Unavailable,15.7990,47.8679,0,Unavailable,2020-07-19,14:39:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYhhwzxYgjfQ.json,WY,RREEPPLLAACCEE/WY/hh/WYhhwzxYgjfQ.mp4,RREEPPLLAACCEE/WY/hh/WYhhwzxYgjfQ_small.mp4
Unavailable,38.8915,77.0333,8.145,Above Sea Level,2021-01-06,22:43:12,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYjnUo2eH87P.json,WY,RREEPPLLAACCEE/WY/jn/WYjnUo2eH87P.mp4,RREEPPLLAACCEE/WY/jn/WYjnUo2eH87P_small.mp4
Unavailable,38.8903,77.0117,6.667,Above Sea Level,2021-01-06,19:30:47,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYkjlMj5VqBl.json,WY,RREEPPLLAACCEE/WY/kj/WYkjlMj5VqBl.mp4,RREEPPLLAACCEE/WY/kj/WYkjlMj5VqBl_small.mp4
Unavailable,26.6425,81.8701,30.296,Above Sea Level,2020-11-15,18:19:41,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYn7XtK2JBXg.json,WY,RREEPPLLAACCEE/WY/n7/WYn7XtK2JBXg.mp4,RREEPPLLAACCEE/WY/n7/WYn7XtK2JBXg_small.mp4
Unavailable,40.8898,74.2166,57.187,Above Sea Level,2020-06-26,14:16:30,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WYndnpvukOko.json,WY,RREEPPLLAACCEE/WY/nd/WYndnpvukOko.mp4,RREEPPLLAACCEE/WY/nd/WYndnpvukOko_small.mp4
