Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
lilyzhou,0,0,0,Unavailable,2020-12-15,17:31:04,Unavailable,Unavailable,Unavailable,Unavailable,FENG,FENG,FENG,meta-JPXggjpHv0wa.json,JP,RREEPPLLAACCEE/JP/Xg/JPXggjpHv0wa.mp4,RREEPPLLAACCEE/JP/Xg/JPXggjpHv0wa_small.mp4
matt.burks,0,0,0,Unavailable,2020-12-18,21:07:33,Unavailable,Unavailable,Unavailable,Unavailable,matt.burks,mattburks,mattburks,meta-JPy1Dq8uaIJg.json,JP,RREEPPLLAACCEE/JP/y1/JPy1Dq8uaIJg.mp4,RREEPPLLAACCEE/JP/y1/JPy1Dq8uaIJg_small.mp4
Dalton Burrow,0,0,0,Unavailable,2020-10-12,23:25:43,Unavailable,Unavailable,Unavailable,Unavailable,Dalton Burrow,Dalton Burrow,Dalton Burrow,meta-Jp12vM0qP6gG.json,Jp,RREEPPLLAACCEE/Jp/12/Jp12vM0qP6gG.mp4,RREEPPLLAACCEE/Jp/12/Jp12vM0qP6gG_small.mp4
Magne,0,0,0,Unavailable,2020-11-18,21:50:31,Unavailable,Unavailable,Unavailable,Unavailable,Magne,Magne,Magne,meta-Jp4o23a1gSfS.json,Jp,RREEPPLLAACCEE/Jp/4o/Jp4o23a1gSfS.mp4,RREEPPLLAACCEE/Jp/4o/Jp4o23a1gSfS_small.mp4
jordi,0,0,0,Unavailable,2020-08-21,07:03:07,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-JpRGH7gLH7nj.json,Jp,RREEPPLLAACCEE/Jp/RG/JpRGH7gLH7nj.mp4,RREEPPLLAACCEE/Jp/RG/JpRGH7gLH7nj_small.mp4
seth,0,0,0,Unavailable,2021-01-04,19:28:11,Unavailable,Unavailable,Unavailable,Unavailable,seth,seth,seth,meta-jP2AEbr7G6RU.json,jP,RREEPPLLAACCEE/jP/2A/jP2AEbr7G6RU.mp4,RREEPPLLAACCEE/jP/2A/jP2AEbr7G6RU_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-30,14:46:39,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-jPIlFXextbLr.json,jP,RREEPPLLAACCEE/jP/Il/jPIlFXextbLr.mp4,RREEPPLLAACCEE/jP/Il/jPIlFXextbLr_small.mp4
michaelguenoun,0,0,0,Unavailable,2019-04-11,12:20:38,Unavailable,Unavailable,Unavailable,Unavailable,michaelguenoun,michaelguenoun,michaelguenoun,meta-jPlFlWAyxLIR.json,jP,RREEPPLLAACCEE/jP/lF/jPlFlWAyxLIR.mp4,RREEPPLLAACCEE/jP/lF/jPlFlWAyxLIR_small.mp4
codyt,0,0,0,Unavailable,2020-07-17,22:25:27,Unavailable,Unavailable,Unavailable,Unavailable,codyt,codyt,codyt,meta-jp0kzGDzDYkr.json,jp,RREEPPLLAACCEE/jp/0k/jp0kzGDzDYkr.mp4,RREEPPLLAACCEE/jp/0k/jp0kzGDzDYkr_small.mp4
Bill,0,0,0,Unavailable,2020-12-09,16:47:47,Unavailable,Unavailable,Unavailable,Unavailable,Bill,Bill,Bill,meta-jpEfcU46w6nO.json,jp,RREEPPLLAACCEE/jp/Ef/jpEfcU46w6nO.mp4,RREEPPLLAACCEE/jp/Ef/jpEfcU46w6nO_small.mp4
