Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jilrock,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Jilrock,Jilrock,Jilrock,meta-MLGbiEy0z9WP.json,ML,RREEPPLLAACCEE/ML/Gb/MLGbiEy0z9WP.mp4,RREEPPLLAACCEE/ML/Gb/MLGbiEy0z9WP_small.mp4
Sameer,0,0,0,Unavailable,2020-07-23,20:43:35,Unavailable,Unavailable,Unavailable,Unavailable,Sameer,Sameer,Sameer,meta-MlAJ7LoPsXyR.json,Ml,RREEPPLLAACCEE/Ml/AJ/MlAJ7LoPsXyR.mp4,RREEPPLLAACCEE/Ml/AJ/MlAJ7LoPsXyR_small.mp4
ericj,0,0,0,Unavailable,2020-08-31,22:28:31,Unavailable,Unavailable,Unavailable,Unavailable,ericj,ericj,ericj,meta-MlKctxmNAs78.json,Ml,RREEPPLLAACCEE/Ml/Kc/MlKctxmNAs78.mp4,RREEPPLLAACCEE/Ml/Kc/MlKctxmNAs78_small.mp4
hanso,0,0,0,Unavailable,2020-12-22,00:50:01,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-MlqPnSQWuFzs.json,Ml,RREEPPLLAACCEE/Ml/qP/MlqPnSQWuFzs.mp4,RREEPPLLAACCEE/Ml/qP/MlqPnSQWuFzs_small.mp4
uif,0,0,0,Unavailable,2020-12-03,16:14:08,Unavailable,Unavailable,Unavailable,Unavailable,uif,uif,uif,meta-ml9I8Cy9fHJg.json,ml,RREEPPLLAACCEE/ml/9I/ml9I8Cy9fHJg.mp4,RREEPPLLAACCEE/ml/9I/ml9I8Cy9fHJg_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-07,15:30:47,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-mldxrnBYKpE3.json,ml,RREEPPLLAACCEE/ml/dx/mldxrnBYKpE3.mp4,RREEPPLLAACCEE/ml/dx/mldxrnBYKpE3_small.mp4
MacBook,0,0,0,Unavailable,2020-10-25,19:07:19,Unavailable,,Unavailable,Unavailable,brandonortiz,brandonortiz,brandonortiz,meta-mluFTiBJYfYv.json,ml,RREEPPLLAACCEE/ml/uF/mluFTiBJYfYv.mp4,RREEPPLLAACCEE/ml/uF/mluFTiBJYfYv_small.mp4
Unavailable,39.2224,94.6494,311.444,Above Sea Level,2020-11-02,13:22:32,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ML9TzkK2JoJr.json,ML,RREEPPLLAACCEE/ML/9T/ML9TzkK2JoJr.mp4,RREEPPLLAACCEE/ML/9T/ML9TzkK2JoJr_small.mp4
Unavailable,36.1408,95.9941,207.561,Above Sea Level,2020-07-28,03:23:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ML9y7M6lz3Od.json,ML,RREEPPLLAACCEE/ML/9y/ML9y7M6lz3Od.mp4,RREEPPLLAACCEE/ML/9y/ML9y7M6lz3Od_small.mp4
Unavailable,43.0840,75.4088,180.229,Above Sea Level,2020-09-19,20:44:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MLFSnqXvb3I9.json,ML,RREEPPLLAACCEE/ML/FS/MLFSnqXvb3I9.mp4,RREEPPLLAACCEE/ML/FS/MLFSnqXvb3I9_small.mp4
Unavailable,25.7329,80.3344,3.589,Above Sea Level,2020-11-08,21:36:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MLJUJ6Hxpzmf.json,ML,RREEPPLLAACCEE/ML/JU/MLJUJ6Hxpzmf.mp4,RREEPPLLAACCEE/ML/JU/MLJUJ6Hxpzmf_small.mp4
Unavailable,37.2965,121.9481,55.139,Above Sea Level,2020-10-20,04:34:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MLKmVFeoCZqS.json,ML,RREEPPLLAACCEE/ML/Km/MLKmVFeoCZqS.mp4,RREEPPLLAACCEE/ML/Km/MLKmVFeoCZqS_small.mp4
