Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Courtney Quintero,0,0,0,Unavailable,2020-09-15,17:26:01,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-HNyP4Wh7JDup.json,HN,RREEPPLLAACCEE/HN/yP/HNyP4Wh7JDup.mp4,RREEPPLLAACCEE/HN/yP/HNyP4Wh7JDup_small.mp4
rebelnews,0,0,0,Unavailable,2020-11-10,16:54:23,Unavailable,Unavailable,Unavailable,Unavailable,rebelnews,rebelnews,rebelnews,meta-Hn1KjQ6do9rK.json,Hn,RREEPPLLAACCEE/Hn/1K/Hn1KjQ6do9rK.mp4,RREEPPLLAACCEE/Hn/1K/Hn1KjQ6do9rK_small.mp4
Rumen,0,0,0,Unavailable,2020-09-10,02:51:48,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-HnXheZYngQ3n.json,Hn,RREEPPLLAACCEE/Hn/Xh/HnXheZYngQ3n.mp4,RREEPPLLAACCEE/Hn/Xh/HnXheZYngQ3n_small.mp4
Viktor,0,0,0,Unavailable,2020-08-19,07:06:14,Unavailable,Unavailable,Unavailable,Unavailable,Viktor,Viktor,Viktor,meta-hNF0Mpu7RRBE.json,hN,RREEPPLLAACCEE/hN/F0/hNF0Mpu7RRBE.mp4,RREEPPLLAACCEE/hN/F0/hNF0Mpu7RRBE_small.mp4
Miles,0,0,0,Unavailable,2020-11-12,17:27:58,Apple,,Unavailable,Unavailable,Miles,Miles,Miles,meta-hn2MCql335L2.json,hn,RREEPPLLAACCEE/hn/2M/hn2MCql335L2.mp4,RREEPPLLAACCEE/hn/2M/hn2MCql335L2_small.mp4
Jonathan,0,0,0,Unavailable,2020-11-21,18:43:13,Unavailable,Unavailable,Unavailable,Unavailable,Jonathan,Jonathan,Jonathan,meta-hn6NBO1AM4I9.json,hn,RREEPPLLAACCEE/hn/6N/hn6NBO1AM4I9.mp4,RREEPPLLAACCEE/hn/6N/hn6NBO1AM4I9_small.mp4
rebelnews,0,0,0,Unavailable,2020-11-19,19:40:40,Unavailable,Unavailable,Unavailable,Unavailable,Yanky,Yanky,Yanky,meta-hnY8rU9K0IBp.json,hn,RREEPPLLAACCEE/hn/Y8/hnY8rU9K0IBp.mp4,RREEPPLLAACCEE/hn/Y8/hnY8rU9K0IBp_small.mp4
Unavailable,26.4168,80.0764,6.18,Above Sea Level,2020-11-14,16:58:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HN3FT0uZif4k.json,HN,RREEPPLLAACCEE/HN/3F/HN3FT0uZif4k.mp4,RREEPPLLAACCEE/HN/3F/HN3FT0uZif4k_small.mp4
Unavailable,38.7835,121.2993,47.477,Above Sea Level,2020-09-05,01:05:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HN78cxR3gQwK.json,HN,RREEPPLLAACCEE/HN/78/HN78cxR3gQwK.mp4,RREEPPLLAACCEE/HN/78/HN78cxR3gQwK_small.mp4
Unavailable,32.0282,101.9510,842.817,Above Sea Level,2020-09-08,07:06:10,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HN88MglLx1A7.json,HN,RREEPPLLAACCEE/HN/88/HN88MglLx1A7.mp4,RREEPPLLAACCEE/HN/88/HN88MglLx1A7_small.mp4
Unavailable,32.7895,97.3474,0,Unavailable,2020-08-30,01:13:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HNAenMaStyGk.json,HN,RREEPPLLAACCEE/HN/Ae/HNAenMaStyGk.mp4,RREEPPLLAACCEE/HN/Ae/HNAenMaStyGk_small.mp4
