Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
joebasrawi,0,0,0,Unavailable,2020-08-12,18:48:35,Unavailable,Unavailable,Unavailable,Unavailable,joebasrawi,joebasrawi,joebasrawi,meta-AOD8PzRQTaAP.json,AO,RREEPPLLAACCEE/AO/D8/AOD8PzRQTaAP.mp4,RREEPPLLAACCEE/AO/D8/AOD8PzRQTaAP_small.mp4
F8005,0,0,0,Unavailable,2020-11-29,14:48:46,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-AOE0TUptLRBo.json,AO,RREEPPLLAACCEE/AO/E0/AOE0TUptLRBo.mp4,RREEPPLLAACCEE/AO/E0/AOE0TUptLRBo_small.mp4
Rumen,0,0,0,Unavailable,2020-09-02,21:41:56,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-AOOEytSZqHBD.json,AO,RREEPPLLAACCEE/AO/OE/AOOEytSZqHBD.mp4,RREEPPLLAACCEE/AO/OE/AOOEytSZqHBD_small.mp4
NEW,0,0,0,Unavailable,2020-12-30,12:19:16,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-AonUvQt0gVDO.json,Ao,RREEPPLLAACCEE/Ao/nU/AonUvQt0gVDO.mp4,RREEPPLLAACCEE/Ao/nU/AonUvQt0gVDO_small.mp4
offli,0,0,0,Unavailable,2020-11-06,23:02:03,Unavailable,Unavailable,Unavailable,Unavailable,offli,offli,offli,meta-aODsDE7J8SUK.json,aO,RREEPPLLAACCEE/aO/Ds/aODsDE7J8SUK.mp4,RREEPPLLAACCEE/aO/Ds/aODsDE7J8SUK_small.mp4
lafem,0,0,0,Unavailable,2020-11-24,05:21:07,Unavailable,Unavailable,Unavailable,Unavailable,lafem,lafem,lafem,meta-aoZoBG3DRi5I.json,ao,RREEPPLLAACCEE/ao/Zo/aoZoBG3DRi5I.mp4,RREEPPLLAACCEE/ao/Zo/aoZoBG3DRi5I_small.mp4
niggo,0,0,0,Unavailable,2020-12-29,02:16:31,Canon,,Unavailable,Unavailable,niggo,niggo,niggo,meta-aol5rUUmzsXY.json,ao,RREEPPLLAACCEE/ao/l5/aol5rUUmzsXY.mp4,RREEPPLLAACCEE/ao/l5/aol5rUUmzsXY_small.mp4
Unavailable,40.3196,79.9065,286,Above Sea Level,2020-07-14,20:28:21,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AO1GYv08aH48.json,AO,RREEPPLLAACCEE/AO/1G/AO1GYv08aH48.mp4,RREEPPLLAACCEE/AO/1G/AO1GYv08aH48_small.mp4
Unavailable,29.4934,98.6587,0,Unavailable,2020-08-06,21:26:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOBd7dKZBIPZ.json,AO,RREEPPLLAACCEE/AO/Bd/AOBd7dKZBIPZ.mp4,RREEPPLLAACCEE/AO/Bd/AOBd7dKZBIPZ_small.mp4
Unavailable,2.8133,40.4115,0,Unavailable,2020-12-26,18:18:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AODBJhxl6vaY.json,AO,RREEPPLLAACCEE/AO/DB/AODBJhxl6vaY.mp4,RREEPPLLAACCEE/AO/DB/AODBJhxl6vaY_small.mp4
Unavailable,39.7451,104.9923,0,Unavailable,2020-05-30,05:02:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOEFxnsAlizl.json,AO,RREEPPLLAACCEE/AO/EF/AOEFxnsAlizl.mp4,RREEPPLLAACCEE/AO/EF/AOEFxnsAlizl_small.mp4
Unavailable,39.7993,104.9039,1592.34,Above Sea Level,2020-06-18,12:15:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOJiDHvtttCm.json,AO,RREEPPLLAACCEE/AO/Ji/AOJiDHvtttCm.mp4,RREEPPLLAACCEE/AO/Ji/AOJiDHvtttCm_small.mp4
Unavailable,51.3597,.4080,149.899,Above Sea Level,2020-07-05,09:09:29,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOPAVFBcUlzN.json,AO,RREEPPLLAACCEE/AO/PA/AOPAVFBcUlzN.mp4,RREEPPLLAACCEE/AO/PA/AOPAVFBcUlzN_small.mp4
Unavailable,26.5553,82.0224,2.302,Above Sea Level,2020-11-10,22:20:01,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOQf6iRbBNmU.json,AO,RREEPPLLAACCEE/AO/Qf/AOQf6iRbBNmU.mp4,RREEPPLLAACCEE/AO/Qf/AOQf6iRbBNmU_small.mp4
Unavailable,38.6713,121.0616,245.814,Above Sea Level,2020-11-22,09:08:21,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOhYxdRz9ps3.json,AO,RREEPPLLAACCEE/AO/hY/AOhYxdRz9ps3.mp4,RREEPPLLAACCEE/AO/hY/AOhYxdRz9ps3_small.mp4
Unavailable,28.1689,82.5821,19.523,Above Sea Level,2020-07-25,21:10:37,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOqpHoes2P2q.json,AO,RREEPPLLAACCEE/AO/qp/AOqpHoes2P2q.mp4,RREEPPLLAACCEE/AO/qp/AOqpHoes2P2q_small.mp4
Unavailable,35.6995,51.4106,1194.53,Above Sea Level,2020-05-13,19:19:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AOsmQauJqgTT.json,AO,RREEPPLLAACCEE/AO/sm/AOsmQauJqgTT.mp4,RREEPPLLAACCEE/AO/sm/AOsmQauJqgTT_small.mp4
Unavailable,34.9916,78.8842,55.38,Above Sea Level,2020-09-19,19:49:50,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ao0nt5EFRkfH.json,Ao,RREEPPLLAACCEE/Ao/0n/Ao0nt5EFRkfH.mp4,RREEPPLLAACCEE/Ao/0n/Ao0nt5EFRkfH_small.mp4
