Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
cartermahnke,0,0,0,Unavailable,2020-11-16,21:34:01,Unavailable,Unavailable,Unavailable,Unavailable,cartermahnke,cartermahnke,cartermahnke,meta-SlouiPbGOrLH.json,Sl,RREEPPLLAACCEE/Sl/ou/SlouiPbGOrLH.mp4,RREEPPLLAACCEE/Sl/ou/SlouiPbGOrLH_small.mp4
emilyjiao,0,0,0,Unavailable,2020-10-02,00:13:35,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-slM6Bxr4ACer.json,sl,RREEPPLLAACCEE/sl/M6/slM6Bxr4ACer.mp4,RREEPPLLAACCEE/sl/M6/slM6Bxr4ACer_small.mp4
Unavailable,33.5714,84.2943,247.315,Above Sea Level,2020-11-25,17:05:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL01EIBVzyI1.json,SL,RREEPPLLAACCEE/SL/01/SL01EIBVzyI1.mp4,RREEPPLLAACCEE/SL/01/SL01EIBVzyI1_small.mp4
Unavailable,30.3093,81.6630,3.3,Above Sea Level,2020-12-28,04:25:15,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL2kW1cm1NYC.json,SL,RREEPPLLAACCEE/SL/2k/SL2kW1cm1NYC.mp4,RREEPPLLAACCEE/SL/2k/SL2kW1cm1NYC_small.mp4
Unavailable,38.8918,77.0333,4.409,Above Sea Level,2021-01-06,18:26:20,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL3WGc6e6Wtw.json,SL,RREEPPLLAACCEE/SL/3W/SL3WGc6e6Wtw.mp4,RREEPPLLAACCEE/SL/3W/SL3WGc6e6Wtw_small.mp4
Unavailable,38.4171,82.1138,211.88,Above Sea Level,2020-08-17,18:10:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL4BgTocLKqy.json,SL,RREEPPLLAACCEE/SL/4B/SL4BgTocLKqy.mp4,RREEPPLLAACCEE/SL/4B/SL4BgTocLKqy_small.mp4
Unavailable,26.2082,50.6183,0.712,Above Sea Level,2020-09-23,13:31:44,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL7md9ZcDfKv.json,SL,RREEPPLLAACCEE/SL/7m/SL7md9ZcDfKv.mp4,RREEPPLLAACCEE/SL/7m/SL7md9ZcDfKv_small.mp4
Unavailable,37.7158,122.0197,266.622,Above Sea Level,2020-11-11,01:41:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL7qrpSwD0rM.json,SL,RREEPPLLAACCEE/SL/7q/SL7qrpSwD0rM.mp4,RREEPPLLAACCEE/SL/7q/SL7qrpSwD0rM_small.mp4
Unavailable,29.8817,97.8292,180.246,Above Sea Level,2020-11-21,23:30:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SL9QnVRCWTpB.json,SL,RREEPPLLAACCEE/SL/9Q/SL9QnVRCWTpB.mp4,RREEPPLLAACCEE/SL/9Q/SL9QnVRCWTpB_small.mp4
Unavailable,44.8702,76.2357,0,Above Sea Level,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SLGWpyhejKLz.json,SL,RREEPPLLAACCEE/SL/GW/SLGWpyhejKLz.mp4,RREEPPLLAACCEE/SL/GW/SLGWpyhejKLz_small.mp4
Unavailable,40.6803,73.6217,0,Unavailable,2020-11-02,02:00:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SLJ733NOu07n.json,SL,RREEPPLLAACCEE/SL/J7/SLJ733NOu07n.mp4,RREEPPLLAACCEE/SL/J7/SLJ733NOu07n_small.mp4
Unavailable,44.6955,93.2420,317.67,Above Sea Level,2020-09-02,23:17:09,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SLJhJbU7op2k.json,SL,RREEPPLLAACCEE/SL/Jh/SLJhJbU7op2k.mp4,RREEPPLLAACCEE/SL/Jh/SLJhJbU7op2k_small.mp4
Unavailable,33.1876,96.6962,210.185,Above Sea Level,2020-11-09,03:51:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SLKEF0I0S6L2.json,SL,RREEPPLLAACCEE/SL/KE/SLKEF0I0S6L2.mp4,RREEPPLLAACCEE/SL/KE/SLKEF0I0S6L2_small.mp4
