Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
anthony072420,0,0,0,Unavailable,2020-12-11,14:30:21,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-I87528mPOku2.json,I8,RREEPPLLAACCEE/I8/75/I87528mPOku2.mp4,RREEPPLLAACCEE/I8/75/I87528mPOku2_small.mp4
8365,0,0,0,Unavailable,2020-12-15,09:45:34,Unavailable,Unavailable,Unavailable,Unavailable,spring,spring,spring,meta-i8m1t4NRBP5C.json,i8,RREEPPLLAACCEE/i8/m1/i8m1t4NRBP5C.mp4,RREEPPLLAACCEE/i8/m1/i8m1t4NRBP5C_small.mp4
Rumen,0,0,0,Unavailable,2020-08-19,02:34:16,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-i8zbmuU7VImT.json,i8,RREEPPLLAACCEE/i8/zb/i8zbmuU7VImT.mp4,RREEPPLLAACCEE/i8/zb/i8zbmuU7VImT_small.mp4
Unavailable,38.3852,120.6705,651.952,Above Sea Level,2020-11-08,18:23:49,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8Dp4iLtRlyQ.json,I8,RREEPPLLAACCEE/I8/Dp/I8Dp4iLtRlyQ.mp4,RREEPPLLAACCEE/I8/Dp/I8Dp4iLtRlyQ_small.mp4
Unavailable,42.3388,71.0475,4.635,Above Sea Level,2020-12-15,05:56:48,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8FzDbAwVBkE.json,I8,RREEPPLLAACCEE/I8/Fz/I8FzDbAwVBkE.mp4,RREEPPLLAACCEE/I8/Fz/I8FzDbAwVBkE_small.mp4
Unavailable,28.9565,80.9064,3.241,Above Sea Level,2020-11-21,03:47:45,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8J4u0LtWHMP.json,I8,RREEPPLLAACCEE/I8/J4/I8J4u0LtWHMP.mp4,RREEPPLLAACCEE/I8/J4/I8J4u0LtWHMP_small.mp4
Unavailable,32.9169,96.7509,165.714,Above Sea Level,2021-01-06,07:37:44,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8JAqZtn5nc7.json,I8,RREEPPLLAACCEE/I8/JA/I8JAqZtn5nc7.mp4,RREEPPLLAACCEE/I8/JA/I8JAqZtn5nc7_small.mp4
Unavailable,31.5632,97.1955,167.965,Above Sea Level,2020-11-25,08:21:35,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8LzaZfq9iGU.json,I8,RREEPPLLAACCEE/I8/Lz/I8LzaZfq9iGU.mp4,RREEPPLLAACCEE/I8/Lz/I8LzaZfq9iGU_small.mp4
Unavailable,40.7577,73.9854,16.337,Above Sea Level,2020-11-03,05:09:34,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8MLH1DZrvE5.json,I8,RREEPPLLAACCEE/I8/ML/I8MLH1DZrvE5.mp4,RREEPPLLAACCEE/I8/ML/I8MLH1DZrvE5_small.mp4
Unavailable,26.3730,50.1044,0,Unavailable,2019-01-04,11:06:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8OCHd6leWeF.json,I8,RREEPPLLAACCEE/I8/OC/I8OCHd6leWeF.mp4,RREEPPLLAACCEE/I8/OC/I8OCHd6leWeF_small.mp4
Unavailable,31.0635,97.6910,242.438,Above Sea Level,2020-11-14,23:50:51,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-I8VFe61c1moQ.json,I8,RREEPPLLAACCEE/I8/VF/I8VFe61c1moQ.mp4,RREEPPLLAACCEE/I8/VF/I8VFe61c1moQ_small.mp4
