Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Social Media,0,0,0,Unavailable,2020-12-16,16:48:14,Unavailable,,Unavailable,Unavailable,Social Media,Social Media,Social Media,meta-7sGGMaWl90CL.json,7s,RREEPPLLAACCEE/7s/GG/7sGGMaWl90CL.mp4,RREEPPLLAACCEE/7s/GG/7sGGMaWl90CL_small.mp4
Billy,0,0,0,Unavailable,2019-05-25,17:14:39,Unavailable,Unavailable,Unavailable,Unavailable,Billy,Billy,Billy,meta-7scR5qsGrWcG.json,7s,RREEPPLLAACCEE/7s/cR/7scR5qsGrWcG.mp4,RREEPPLLAACCEE/7s/cR/7scR5qsGrWcG_small.mp4
emery,0,0,0,Unavailable,2020-10-03,05:11:34,Unavailable,Unavailable,Unavailable,Unavailable,emery,emery,emery,meta-7srvQEtZsZmZ.json,7s,RREEPPLLAACCEE/7s/rv/7srvQEtZsZmZ.mp4,RREEPPLLAACCEE/7s/rv/7srvQEtZsZmZ_small.mp4
Unavailable,40.7011,73.3518,5.196,Above Sea Level,2020-09-26,19:54:39,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S1czXodRzui.json,7S,RREEPPLLAACCEE/7S/1c/7S1czXodRzui.mp4,RREEPPLLAACCEE/7S/1c/7S1czXodRzui_small.mp4
Unavailable,29.9279,96.2522,57.005,Above Sea Level,2020-11-12,20:51:24,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S48kduGxTHb.json,7S,RREEPPLLAACCEE/7S/48/7S48kduGxTHb.mp4,RREEPPLLAACCEE/7S/48/7S48kduGxTHb_small.mp4
Unavailable,36.0793,115.3082,801.699,Above Sea Level,2020-09-29,02:48:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S7ZkBy2U9FI.json,7S,RREEPPLLAACCEE/7S/7Z/7S7ZkBy2U9FI.mp4,RREEPPLLAACCEE/7S/7Z/7S7ZkBy2U9FI_small.mp4
Unavailable,26.3220,80.0899,2.776,Above Sea Level,2020-11-08,10:12:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S7bXpc3PlWP.json,7S,RREEPPLLAACCEE/7S/7b/7S7bXpc3PlWP.mp4,RREEPPLLAACCEE/7S/7b/7S7bXpc3PlWP_small.mp4
Unavailable,31.3082,89.2982,0,Unavailable,2020-07-13,12:15:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S8HElSkN8AK.json,7S,RREEPPLLAACCEE/7S/8H/7S8HElSkN8AK.mp4,RREEPPLLAACCEE/7S/8H/7S8HElSkN8AK_small.mp4
Unavailable,39.5631,76.1449,115.758,Above Sea Level,2020-11-01,19:26:43,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7S8guWxm3rtu.json,7S,RREEPPLLAACCEE/7S/8g/7S8guWxm3rtu.mp4,RREEPPLLAACCEE/7S/8g/7S8guWxm3rtu_small.mp4
Unavailable,39.5820,107.2011,0,Unavailable,2020-12-21,16:30:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-7SAoBLnqHa54.json,7S,RREEPPLLAACCEE/7S/Ao/7SAoBLnqHa54.mp4,RREEPPLLAACCEE/7S/Ao/7SAoBLnqHa54_small.mp4
