Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Bgregg,0,0,0,Unavailable,2020-10-25,04:51:41,Unavailable,,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-R07xZazDeKU4.json,R0,RREEPPLLAACCEE/R0/7x/R07xZazDeKU4.mp4,RREEPPLLAACCEE/R0/7x/R07xZazDeKU4_small.mp4
chidinmasarpong,0,0,0,Unavailable,2020-11-09,21:06:37,Unavailable,Unavailable,Unavailable,Unavailable,chidinmasarpong,chidinmasarpong,chidinmasarpong,meta-r01Jdn4Qj1qg.json,r0,RREEPPLLAACCEE/r0/1J/r01Jdn4Qj1qg.mp4,RREEPPLLAACCEE/r0/1J/r01Jdn4Qj1qg_small.mp4
santo,0,0,0,Unavailable,2020-08-11,14:02:42,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-r0TD7bef1erH.json,r0,RREEPPLLAACCEE/r0/TD/r0TD7bef1erH.mp4,RREEPPLLAACCEE/r0/TD/r0TD7bef1erH_small.mp4
Unavailable,40.6745,73.4888,8.292,Above Sea Level,2020-10-18,14:10:45,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R00LUwJip7FU.json,R0,RREEPPLLAACCEE/R0/0L/R00LUwJip7FU.mp4,RREEPPLLAACCEE/R0/0L/R00LUwJip7FU_small.mp4
Unavailable,41.3381,73.3015,182.761,Above Sea Level,2020-11-11,04:24:35,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R02mdxgtEHHr.json,R0,RREEPPLLAACCEE/R0/2m/R02mdxgtEHHr.mp4,RREEPPLLAACCEE/R0/2m/R02mdxgtEHHr_small.mp4
Unavailable,28.4481,81.5628,34.165,Above Sea Level,2020-10-29,00:01:59,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0I2Qe8jzL2G.json,R0,RREEPPLLAACCEE/R0/I2/R0I2Qe8jzL2G.mp4,RREEPPLLAACCEE/R0/I2/R0I2Qe8jzL2G_small.mp4
Unavailable,40.7054,74.0081,0,Unavailable,2020-08-23,14:40:19,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0L2uPPrLhz4.json,R0,RREEPPLLAACCEE/R0/L2/R0L2uPPrLhz4.mp4,RREEPPLLAACCEE/R0/L2/R0L2uPPrLhz4_small.mp4
Unavailable,38.8961,77.0296,6.281,Above Sea Level,2020-11-14,18:18:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0N3bJpnb7IM.json,R0,RREEPPLLAACCEE/R0/N3/R0N3bJpnb7IM.mp4,RREEPPLLAACCEE/R0/N3/R0N3bJpnb7IM_small.mp4
Unavailable,34.7561,89.9538,85.043,Above Sea Level,2020-01-30,21:38:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0NONNSwX7UJ.json,R0,RREEPPLLAACCEE/R0/NO/R0NONNSwX7UJ.mp4,RREEPPLLAACCEE/R0/NO/R0NONNSwX7UJ_small.mp4
Unavailable,32.8824,97.2551,199.123,Above Sea Level,2020-11-20,07:55:57,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0VtVYC27b2P.json,R0,RREEPPLLAACCEE/R0/Vt/R0VtVYC27b2P.mp4,RREEPPLLAACCEE/R0/Vt/R0VtVYC27b2P_small.mp4
Unavailable,35.4857,97.5917,386.77,Above Sea Level,2020-12-08,23:48:18,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0WStmtsZ2pR.json,R0,RREEPPLLAACCEE/R0/WS/R0WStmtsZ2pR.mp4,RREEPPLLAACCEE/R0/WS/R0WStmtsZ2pR_small.mp4
Unavailable,38.8896,77.0105,12.53,Above Sea Level,2021-01-07,20:24:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R0dVgBQd3c3U.json,R0,RREEPPLLAACCEE/R0/dV/R0dVgBQd3c3U.mp4,RREEPPLLAACCEE/R0/dV/R0dVgBQd3c3U_small.mp4
