Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Bojan,0,0,0,Unavailable,2021-01-08,13:57:32,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-NCH5J1i525tw.json,NC,RREEPPLLAACCEE/NC/H5/NCH5J1i525tw.mp4,RREEPPLLAACCEE/NC/H5/NCH5J1i525tw_small.mp4
HinesleyFamily,0,0,0,Unavailable,2018-02-06,23:34:59,Unavailable,Unavailable,Unavailable,Unavailable,HinesleyFamily,HinesleyFamily,HinesleyFamily,meta-NCRrS0fT06wp.json,NC,RREEPPLLAACCEE/NC/Rr/NCRrS0fT06wp.mp4,RREEPPLLAACCEE/NC/Rr/NCRrS0fT06wp_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-09,15:38:21,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-NCYYNuUAO49u.json,NC,RREEPPLLAACCEE/NC/YY/NCYYNuUAO49u.mp4,RREEPPLLAACCEE/NC/YY/NCYYNuUAO49u_small.mp4
templ,0,0,0,Unavailable,2020-07-30,22:16:09,Unavailable,Unavailable,Unavailable,Unavailable,templ,templ,templ,meta-NcqmDvpZg53P.json,Nc,RREEPPLLAACCEE/Nc/qm/NcqmDvpZg53P.mp4,RREEPPLLAACCEE/Nc/qm/NcqmDvpZg53P_small.mp4
davidfillingim,0,0,0,Unavailable,2020-11-14,17:39:54,Unavailable,Unavailable,Unavailable,Unavailable,davidfillingim,davidfillingim,davidfillingim,meta-ncIxtK4n09xJ.json,nc,RREEPPLLAACCEE/nc/Ix/ncIxtK4n09xJ.mp4,RREEPPLLAACCEE/nc/Ix/ncIxtK4n09xJ_small.mp4
Unavailable,33.7901,117.8518,0,Unavailable,2020-11-13,01:42:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NC0R719RhneG.json,NC,RREEPPLLAACCEE/NC/0R/NC0R719RhneG.mp4,RREEPPLLAACCEE/NC/0R/NC0R719RhneG_small.mp4
Unavailable,54.7157,68.0585,0,Unavailable,2020-11-10,19:52:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NC3HlSflusOm.json,NC,RREEPPLLAACCEE/NC/3H/NC3HlSflusOm.mp4,RREEPPLLAACCEE/NC/3H/NC3HlSflusOm_small.mp4
Unavailable,34.2160,119.0926,23.195,Above Sea Level,2020-11-13,03:30:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NC7pA8QvMaJC.json,NC,RREEPPLLAACCEE/NC/7p/NC7pA8QvMaJC.mp4,RREEPPLLAACCEE/NC/7p/NC7pA8QvMaJC_small.mp4
Unavailable,32.9288,97.1402,187.835,Above Sea Level,2020-10-10,00:39:02,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NC9N7L12RiNO.json,NC,RREEPPLLAACCEE/NC/9N/NC9N7L12RiNO.mp4,RREEPPLLAACCEE/NC/9N/NC9N7L12RiNO_small.mp4
Unavailable,21.3957,157.9700,0,Unavailable,2020-08-23,10:44:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCBMCSVnqAdn.json,NC,RREEPPLLAACCEE/NC/BM/NCBMCSVnqAdn.mp4,RREEPPLLAACCEE/NC/BM/NCBMCSVnqAdn_small.mp4
Unavailable,38.8903,77.0103,14.462,Above Sea Level,2021-01-06,19:57:52,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCHvDSEn4XFl.json,NC,RREEPPLLAACCEE/NC/Hv/NCHvDSEn4XFl.mp4,RREEPPLLAACCEE/NC/Hv/NCHvDSEn4XFl_small.mp4
Unavailable,35.5972,80.8003,267.41,Above Sea Level,2020-10-31,23:46:05,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCIR8hy7XJ3Q.json,NC,RREEPPLLAACCEE/NC/IR/NCIR8hy7XJ3Q.mp4,RREEPPLLAACCEE/NC/IR/NCIR8hy7XJ3Q_small.mp4
Unavailable,32.5527,93.6089,60,Above Sea Level,2020-06-24,11:01:14,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCNIQLnULdtT.json,NC,RREEPPLLAACCEE/NC/NI/NCNIQLnULdtT.mp4,RREEPPLLAACCEE/NC/NI/NCNIQLnULdtT_small.mp4
Unavailable,41.2513,73.9298,50.11,Above Sea Level,2020-09-09,23:03:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCOXY2cIxuCT.json,NC,RREEPPLLAACCEE/NC/OX/NCOXY2cIxuCT.mp4,RREEPPLLAACCEE/NC/OX/NCOXY2cIxuCT_small.mp4
Unavailable,33.6238,101.8466,1018.546,Above Sea Level,2020-10-08,01:25:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCRE3IHo8cmO.json,NC,RREEPPLLAACCEE/NC/RE/NCRE3IHo8cmO.mp4,RREEPPLLAACCEE/NC/RE/NCRE3IHo8cmO_small.mp4
Unavailable,35.1937,89.8470,95,Above Sea Level,2019-10-26,15:07:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCl2vKQE24lq.json,NC,RREEPPLLAACCEE/NC/l2/NCl2vKQE24lq.mp4,RREEPPLLAACCEE/NC/l2/NCl2vKQE24lq_small.mp4
Unavailable,36.0488,95.7987,0,Unavailable,2020-12-06,14:51:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCmHqCRv7V4K.json,NC,RREEPPLLAACCEE/NC/mH/NCmHqCRv7V4K.mp4,RREEPPLLAACCEE/NC/mH/NCmHqCRv7V4K_small.mp4
Unavailable,35.1055,82.0696,284.327,Above Sea Level,2020-06-28,16:19:20,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCmZFFumwVDU.json,NC,RREEPPLLAACCEE/NC/mZ/NCmZFFumwVDU.mp4,RREEPPLLAACCEE/NC/mZ/NCmZFFumwVDU_small.mp4
Unavailable,40.3195,79.9068,295.989,Above Sea Level,2020-11-08,00:46:50,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NCqxoPVVRR95.json,NC,RREEPPLLAACCEE/NC/qx/NCqxoPVVRR95.mp4,RREEPPLLAACCEE/NC/qx/NCqxoPVVRR95_small.mp4
Unavailable,39.0928,77.5891,125.89,Above Sea Level,2020-11-19,01:02:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nc2VpG9JZOOO.json,Nc,RREEPPLLAACCEE/Nc/2V/Nc2VpG9JZOOO.mp4,RREEPPLLAACCEE/Nc/2V/Nc2VpG9JZOOO_small.mp4
Unavailable,39.0109,74.9265,0.599,Above Sea Level,2019-04-29,17:56:20,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nc8ko5qkAaSB.json,Nc,RREEPPLLAACCEE/Nc/8k/Nc8ko5qkAaSB.mp4,RREEPPLLAACCEE/Nc/8k/Nc8ko5qkAaSB_small.mp4
Unavailable,32.8621,97.1067,183.4,Above Sea Level,2020-12-07,21:24:54,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NcARrRMGt161.json,Nc,RREEPPLLAACCEE/Nc/AR/NcARrRMGt161.mp4,RREEPPLLAACCEE/Nc/AR/NcARrRMGt161_small.mp4
Unavailable,26.5969,80.0500,2.167,Above Sea Level,2020-10-17,21:53:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NcLItGslLruj.json,Nc,RREEPPLLAACCEE/Nc/LI/NcLItGslLruj.mp4,RREEPPLLAACCEE/Nc/LI/NcLItGslLruj_small.mp4
Unavailable,30.5258,97.8193,325.497,Above Sea Level,2020-03-06,16:50:23,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NcUbDSos2j0Y.json,Nc,RREEPPLLAACCEE/Nc/Ub/NcUbDSos2j0Y.mp4,RREEPPLLAACCEE/Nc/Ub/NcUbDSos2j0Y_small.mp4
Unavailable,34.3242,84.4135,336.114,Above Sea Level,2020-11-14,22:48:24,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NcUnL5CRCHPf.json,Nc,RREEPPLLAACCEE/Nc/Un/NcUnL5CRCHPf.mp4,RREEPPLLAACCEE/Nc/Un/NcUnL5CRCHPf_small.mp4
Unavailable,38.2461,77.4816,0,Unavailable,2020-06-16,19:35:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NceNXObDYXgw.json,Nc,RREEPPLLAACCEE/Nc/eN/NceNXObDYXgw.mp4,RREEPPLLAACCEE/Nc/eN/NceNXObDYXgw_small.mp4
Unavailable,43.8877,103.4255,1356.482,Above Sea Level,2020-07-04,03:35:17,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NcipwvDGQAmM.json,Nc,RREEPPLLAACCEE/Nc/ip/NcipwvDGQAmM.mp4,RREEPPLLAACCEE/Nc/ip/NcipwvDGQAmM_small.mp4
Unavailable,38.0606,93.2706,294.302,Above Sea Level,2020-12-20,19:51:10,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nciqf2ClNySb.json,Nc,RREEPPLLAACCEE/Nc/iq/Nciqf2ClNySb.mp4,RREEPPLLAACCEE/Nc/iq/Nciqf2ClNySb_small.mp4
Unavailable,31.2563,89.2751,65.717,Above Sea Level,2020-11-13,00:45:06,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ncjp2u2Mwtff.json,Nc,RREEPPLLAACCEE/Nc/jp/Ncjp2u2Mwtff.mp4,RREEPPLLAACCEE/Nc/jp/Ncjp2u2Mwtff_small.mp4
Unavailable,34.2103,118.5897,246.204,Above Sea Level,2020-12-26,07:51:19,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NckPkp5DjrtD.json,Nc,RREEPPLLAACCEE/Nc/kP/NckPkp5DjrtD.mp4,RREEPPLLAACCEE/Nc/kP/NckPkp5DjrtD_small.mp4
