Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Tommy,0,0,0,Unavailable,2020-07-09,02:49:57,Unavailable,Unavailable,Unavailable,Unavailable,Tommy,Tommy,Tommy,meta-GHlzjjZmDeJi.json,GH,RREEPPLLAACCEE/GH/lz/GHlzjjZmDeJi.mp4,RREEPPLLAACCEE/GH/lz/GHlzjjZmDeJi_small.mp4
davidoliver,0,0,0,Unavailable,2021-01-09,00:16:45,Unavailable,Unavailable,Unavailable,Unavailable,davidoliver,davidoliver,davidoliver,meta-GHv01fvWNg3T.json,GH,RREEPPLLAACCEE/GH/v0/GHv01fvWNg3T.mp4,RREEPPLLAACCEE/GH/v0/GHv01fvWNg3T_small.mp4
Robert1,0,0,0,Unavailable,2020-11-22,02:36:38,Unavailable,Unavailable,Unavailable,Unavailable,Robert1,Robert1,Robert1,meta-GhkBciJMTFQN.json,Gh,RREEPPLLAACCEE/Gh/kB/GhkBciJMTFQN.mp4,RREEPPLLAACCEE/Gh/kB/GhkBciJMTFQN_small.mp4
Wayne.Stender,0,0,0,Unavailable,2020-09-07,12:22:28,Unavailable,Unavailable,Unavailable,Unavailable,Wayne.Stender,Wayne.Stender,Wayne.Stender,meta-gHUSVsAnJ6A4.json,gH,RREEPPLLAACCEE/gH/US/gHUSVsAnJ6A4.mp4,RREEPPLLAACCEE/gH/US/gHUSVsAnJ6A4_small.mp4
Unavailable,26.2963,81.5664,5.508,Above Sea Level,2020-11-10,20:22:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GH6TN8fh7MYZ.json,GH,RREEPPLLAACCEE/GH/6T/GH6TN8fh7MYZ.mp4,RREEPPLLAACCEE/GH/6T/GH6TN8fh7MYZ_small.mp4
Unavailable,33.6269,117.6307,283.004,Above Sea Level,2020-09-23,00:32:15,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GH6vZaUJ45y9.json,GH,RREEPPLLAACCEE/GH/6v/GH6vZaUJ45y9.mp4,RREEPPLLAACCEE/GH/6v/GH6vZaUJ45y9_small.mp4
Unavailable,38.8905,77.0341,8.053,Above Sea Level,2021-01-06,13:50:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GH8KUbewL0sH.json,GH,RREEPPLLAACCEE/GH/8K/GH8KUbewL0sH.mp4,RREEPPLLAACCEE/GH/8K/GH8KUbewL0sH_small.mp4
Unavailable,38.7333,90.5880,165.039,Above Sea Level,2020-11-16,23:51:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GH8doIcXWCiV.json,GH,RREEPPLLAACCEE/GH/8d/GH8doIcXWCiV.mp4,RREEPPLLAACCEE/GH/8d/GH8doIcXWCiV_small.mp4
Unavailable,40.3225,94.7927,329.278,Above Sea Level,2020-11-23,21:42:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GH95uGxAg7T9.json,GH,RREEPPLLAACCEE/GH/95/GH95uGxAg7T9.mp4,RREEPPLLAACCEE/GH/95/GH95uGxAg7T9_small.mp4
Unavailable,36.2489,91.7756,0,Unavailable,2021-01-08,15:21:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHNZyh7U88IQ.json,GH,RREEPPLLAACCEE/GH/NZ/GHNZyh7U88IQ.mp4,RREEPPLLAACCEE/GH/NZ/GHNZyh7U88IQ_small.mp4
Unavailable,29.3772,81.1734,10.976,Above Sea Level,2020-09-23,00:04:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHWS9mIM696A.json,GH,RREEPPLLAACCEE/GH/WS/GHWS9mIM696A.mp4,RREEPPLLAACCEE/GH/WS/GHWS9mIM696A_small.mp4
Unavailable,39.0534,84.4395,190.36,Above Sea Level,2020-09-12,14:13:40,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHYYc70incdm.json,GH,RREEPPLLAACCEE/GH/YY/GHYYc70incdm.mp4,RREEPPLLAACCEE/GH/YY/GHYYc70incdm_small.mp4
Unavailable,43.5326,116.3050,0,Unavailable,2020-05-02,22:06:00,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHYgVpPZgxTx.json,GH,RREEPPLLAACCEE/GH/Yg/GHYgVpPZgxTx.mp4,RREEPPLLAACCEE/GH/Yg/GHYgVpPZgxTx_small.mp4
Unavailable,28.3409,80.7501,5.901,Above Sea Level,2020-10-08,02:35:19,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHeN7LWwzE01.json,GH,RREEPPLLAACCEE/GH/eN/GHeN7LWwzE01.mp4,RREEPPLLAACCEE/GH/eN/GHeN7LWwzE01_small.mp4
Unavailable,40.7276,74.4155,78.263,Above Sea Level,2020-12-10,18:28:53,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHfkWyenYwEd.json,GH,RREEPPLLAACCEE/GH/fk/GHfkWyenYwEd.mp4,RREEPPLLAACCEE/GH/fk/GHfkWyenYwEd_small.mp4
Unavailable,41.1415,73.4939,89.16,Above Sea Level,2020-04-07,16:55:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHoAxjRKxwYQ.json,GH,RREEPPLLAACCEE/GH/oA/GHoAxjRKxwYQ.mp4,RREEPPLLAACCEE/GH/oA/GHoAxjRKxwYQ_small.mp4
Unavailable,32.3655,90.1536,88.474,Above Sea Level,2020-11-02,21:53:22,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GHpTfrYnIhqw.json,GH,RREEPPLLAACCEE/GH/pT/GHpTfrYnIhqw.mp4,RREEPPLLAACCEE/GH/pT/GHpTfrYnIhqw_small.mp4
Unavailable,38.7176,87.5063,146.461,Above Sea Level,2020-12-09,07:19:34,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gh2Ms2IAViPD.json,Gh,RREEPPLLAACCEE/Gh/2M/Gh2Ms2IAViPD.mp4,RREEPPLLAACCEE/Gh/2M/Gh2Ms2IAViPD_small.mp4
Unavailable,29.8792,98.4577,331.62,Above Sea Level,2020-11-08,17:47:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gh55SOFFTWJi.json,Gh,RREEPPLLAACCEE/Gh/55/Gh55SOFFTWJi.mp4,RREEPPLLAACCEE/Gh/55/Gh55SOFFTWJi_small.mp4
Unavailable,13.2595,16.6417,0,Unavailable,2020-07-15,08:50:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gh6K3WCdEoX2.json,Gh,RREEPPLLAACCEE/Gh/6K/Gh6K3WCdEoX2.mp4,RREEPPLLAACCEE/Gh/6K/Gh6K3WCdEoX2_small.mp4
Unavailable,40.7578,73.5246,41.275,Above Sea Level,2020-11-11,17:07:44,Apple,iPad Air 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gh7T5cEDg921.json,Gh,RREEPPLLAACCEE/Gh/7T/Gh7T5cEDg921.mp4,RREEPPLLAACCEE/Gh/7T/Gh7T5cEDg921_small.mp4
Unavailable,37.2759,80.0959,354.711,Above Sea Level,2020-11-15,16:50:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gh8561Nrb0Tg.json,Gh,RREEPPLLAACCEE/Gh/85/Gh8561Nrb0Tg.mp4,RREEPPLLAACCEE/Gh/85/Gh8561Nrb0Tg_small.mp4
Unavailable,29.1969,82.1509,24.314,Above Sea Level,2020-11-08,23:04:30,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhCHPWbefT81.json,Gh,RREEPPLLAACCEE/Gh/CH/GhCHPWbefT81.mp4,RREEPPLLAACCEE/Gh/CH/GhCHPWbefT81_small.mp4
Unavailable,40.1749,122.2303,0,Unavailable,2021-01-09,14:25:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhCf7NOXlKAa.json,Gh,RREEPPLLAACCEE/Gh/Cf/GhCf7NOXlKAa.mp4,RREEPPLLAACCEE/Gh/Cf/GhCf7NOXlKAa_small.mp4
Unavailable,36.3925,119.9179,0,Unavailable,2019-10-07,02:11:42,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhCrPRMoVFhu.json,Gh,RREEPPLLAACCEE/Gh/Cr/GhCrPRMoVFhu.mp4,RREEPPLLAACCEE/Gh/Cr/GhCrPRMoVFhu_small.mp4
Unavailable,48.7534,116.1871,792.478,Above Sea Level,2020-10-02,00:39:45,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhGyNEnwn3Kx.json,Gh,RREEPPLLAACCEE/Gh/Gy/GhGyNEnwn3Kx.mp4,RREEPPLLAACCEE/Gh/Gy/GhGyNEnwn3Kx_small.mp4
Unavailable,32.7197,117.2203,3.262,Above Sea Level,2020-09-06,19:30:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhKIYB1Pb7KC.json,Gh,RREEPPLLAACCEE/Gh/KI/GhKIYB1Pb7KC.mp4,RREEPPLLAACCEE/Gh/KI/GhKIYB1Pb7KC_small.mp4
Unavailable,39.1554,76.7246,0,Unavailable,2020-11-27,18:07:51,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhLuNMQ2gOWg.json,Gh,RREEPPLLAACCEE/Gh/Lu/GhLuNMQ2gOWg.mp4,RREEPPLLAACCEE/Gh/Lu/GhLuNMQ2gOWg_small.mp4
Unavailable,40.3196,79.9065,286.131,Above Sea Level,2020-06-29,17:11:49,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhLzBYewhhAH.json,Gh,RREEPPLLAACCEE/Gh/Lz/GhLzBYewhhAH.mp4,RREEPPLLAACCEE/Gh/Lz/GhLzBYewhhAH_small.mp4
Unavailable,37.1298,113.6263,853.129,Above Sea Level,2020-11-12,02:47:13,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhM89hx034U4.json,Gh,RREEPPLLAACCEE/Gh/M8/GhM89hx034U4.mp4,RREEPPLLAACCEE/Gh/M8/GhM89hx034U4_small.mp4
Unavailable,47.8567,122.2206,92.976,Above Sea Level,2020-11-22,22:28:51,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhMJ6g0HOOR7.json,Gh,RREEPPLLAACCEE/Gh/MJ/GhMJ6g0HOOR7.mp4,RREEPPLLAACCEE/Gh/MJ/GhMJ6g0HOOR7_small.mp4
Unavailable,45.4944,73.6545,0,Unavailable,2020-08-14,07:18:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhOC8f5IXV4p.json,Gh,RREEPPLLAACCEE/Gh/OC/GhOC8f5IXV4p.mp4,RREEPPLLAACCEE/Gh/OC/GhOC8f5IXV4p_small.mp4
Unavailable,33.3986,111.5672,0,Unavailable,2020-08-20,16:12:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GhPAdyZ2c55z.json,Gh,RREEPPLLAACCEE/Gh/PA/GhPAdyZ2c55z.mp4,RREEPPLLAACCEE/Gh/PA/GhPAdyZ2c55z_small.mp4
