Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
roman,0,0,0,Unavailable,2020-09-30,13:10:58,Canon,,,,Andis,Andis,Andis,meta-xXFzr5Hl60nK.json,xX,RREEPPLLAACCEE/xX/Fz/xXFzr5Hl60nK.mp4,RREEPPLLAACCEE/xX/Fz/xXFzr5Hl60nK_small.mp4
F8005,0,0,0,Unavailable,2020-09-18,06:58:34,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-xXrZH7hvZIdG.json,xX,RREEPPLLAACCEE/xX/rZ/xXrZH7hvZIdG.mp4,RREEPPLLAACCEE/xX/rZ/xXrZH7hvZIdG_small.mp4
One,0,0,0,Unavailable,2020-12-29,21:56:34,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-xxojhP2FUjb1.json,xx,RREEPPLLAACCEE/xx/oj/xxojhP2FUjb1.mp4,RREEPPLLAACCEE/xx/oj/xxojhP2FUjb1_small.mp4
Daniel Tucker,0,0,0,Unavailable,2020-11-13,14:18:06,Unavailable,Unavailable,Unavailable,Unavailable,Daniel Tucker,Daniel Tucker,Daniel Tucker,meta-xxuw46KXft8G.json,xx,RREEPPLLAACCEE/xx/uw/xxuw46KXft8G.mp4,RREEPPLLAACCEE/xx/uw/xxuw46KXft8G_small.mp4
Unavailable,47.5126,111.2933,1018.691,Above Sea Level,2020-11-09,19:08:45,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XX1xDAPZkd9e.json,XX,RREEPPLLAACCEE/XX/1x/XX1xDAPZkd9e.mp4,RREEPPLLAACCEE/XX/1x/XX1xDAPZkd9e_small.mp4
Unavailable,43.0098,94.8813,413.72,Above Sea Level,2020-11-16,13:39:47,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XX250H50xqrL.json,XX,RREEPPLLAACCEE/XX/25/XX250H50xqrL.mp4,RREEPPLLAACCEE/XX/25/XX250H50xqrL_small.mp4
Unavailable,40.7452,73.2587,14.7,Above Sea Level,2020-08-06,02:00:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XX3SVSfJwSH4.json,XX,RREEPPLLAACCEE/XX/3S/XX3SVSfJwSH4.mp4,RREEPPLLAACCEE/XX/3S/XX3SVSfJwSH4_small.mp4
Unavailable,33.2541,111.5681,450.497,Above Sea Level,2020-11-17,19:53:41,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XX7MlqSMyNqo.json,XX,RREEPPLLAACCEE/XX/7M/XX7MlqSMyNqo.mp4,RREEPPLLAACCEE/XX/7M/XX7MlqSMyNqo_small.mp4
Unavailable,35.4275,83.4452,527.62,Above Sea Level,2020-11-09,04:08:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XXA3jP5pnd50.json,XX,RREEPPLLAACCEE/XX/A3/XXA3jP5pnd50.mp4,RREEPPLLAACCEE/XX/A3/XXA3jP5pnd50_small.mp4
Unavailable,50.8076,4.3537,132.6,Above Sea Level,2020-11-26,23:24:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XXC7aZsx79vb.json,XX,RREEPPLLAACCEE/XX/C7/XXC7aZsx79vb.mp4,RREEPPLLAACCEE/XX/C7/XXC7aZsx79vb_small.mp4
Unavailable,33.7857,101.3723,954.787,Above Sea Level,2020-11-07,22:59:30,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XXDPDvC8SBZJ.json,XX,RREEPPLLAACCEE/XX/DP/XXDPDvC8SBZJ.mp4,RREEPPLLAACCEE/XX/DP/XXDPDvC8SBZJ_small.mp4
Unavailable,41.1416,73.4937,92.42,Above Sea Level,2020-06-20,22:20:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XXGmCFlicNUp.json,XX,RREEPPLLAACCEE/XX/Gm/XXGmCFlicNUp.mp4,RREEPPLLAACCEE/XX/Gm/XXGmCFlicNUp_small.mp4
