Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Bojan,0,0,0,Unavailable,2021-01-05,17:45:52,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-OO0TYdYmm0fm.json,OO,RREEPPLLAACCEE/OO/0T/OO0TYdYmm0fm.mp4,RREEPPLLAACCEE/OO/0T/OO0TYdYmm0fm_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-08,16:26:41,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-OOf2nEmqVIek.json,OO,RREEPPLLAACCEE/OO/f2/OOf2nEmqVIek.mp4,RREEPPLLAACCEE/OO/f2/OOf2nEmqVIek_small.mp4
benja,0,0,0,Unavailable,2021-01-06,22:11:57,Panasonic,,Unavailable,Unavailable,benja,benja,benja,meta-OopLzDzPogHX.json,Oo,RREEPPLLAACCEE/Oo/pL/OopLzDzPogHX.mp4,RREEPPLLAACCEE/Oo/pL/OopLzDzPogHX_small.mp4
andre,0,0,0,Unavailable,2020-11-16,22:37:21,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-oOEkH2SRanes.json,oO,RREEPPLLAACCEE/oO/Ek/oOEkH2SRanes.mp4,RREEPPLLAACCEE/oO/Ek/oOEkH2SRanes_small.mp4
emery,0,0,0,Unavailable,2020-10-03,05:11:34,Unavailable,Unavailable,Unavailable,Unavailable,emery,emery,emery,meta-oOZbJhUiLq6h.json,oO,RREEPPLLAACCEE/oO/Zb/oOZbJhUiLq6h.mp4,RREEPPLLAACCEE/oO/Zb/oOZbJhUiLq6h_small.mp4
emilyjiao,0,0,0,Unavailable,2020-09-24,22:48:18,NIKON CORPORATION,,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-oo5FvbCZdeTD.json,oo,RREEPPLLAACCEE/oo/5F/oo5FvbCZdeTD.mp4,RREEPPLLAACCEE/oo/5F/oo5FvbCZdeTD_small.mp4
Lucy,0,0,0,Unavailable,2020-11-08,19:28:21,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-ooNk36Js3NHf.json,oo,RREEPPLLAACCEE/oo/Nk/ooNk36Js3NHf.mp4,RREEPPLLAACCEE/oo/Nk/ooNk36Js3NHf_small.mp4
hernandez,0,0,0,Unavailable,2020-11-10,21:38:04,Unavailable,Unavailable,Unavailable,Unavailable,hernandez,hernandez,hernandez,meta-ooj1IZWudVDJ.json,oo,RREEPPLLAACCEE/oo/j1/ooj1IZWudVDJ.mp4,RREEPPLLAACCEE/oo/j1/ooj1IZWudVDJ_small.mp4
Unavailable,33.6540,117.8893,24.118,Above Sea Level,2021-01-04,18:41:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OO3HWVqyjs4S.json,OO,RREEPPLLAACCEE/OO/3H/OO3HWVqyjs4S.mp4,RREEPPLLAACCEE/OO/3H/OO3HWVqyjs4S_small.mp4
Unavailable,35.6128,97.5575,0,Unavailable,2020-11-28,20:00:20,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OO5OQcceaItO.json,OO,RREEPPLLAACCEE/OO/5O/OO5OQcceaItO.mp4,RREEPPLLAACCEE/OO/5O/OO5OQcceaItO_small.mp4
Unavailable,40.1857,74.2413,0,Unavailable,2020-12-10,11:19:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OO9MCUucPRzk.json,OO,RREEPPLLAACCEE/OO/9M/OO9MCUucPRzk.mp4,RREEPPLLAACCEE/OO/9M/OO9MCUucPRzk_small.mp4
Unavailable,38.8920,77.0166,4.241,Above Sea Level,2020-11-14,17:33:16,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OOEhHCAPKlfq.json,OO,RREEPPLLAACCEE/OO/Eh/OOEhHCAPKlfq.mp4,RREEPPLLAACCEE/OO/Eh/OOEhHCAPKlfq_small.mp4
