Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
trist,0,0,0,Unavailable,2020-08-10,05:25:00,Unavailable,Unavailable,Unavailable,Unavailable,trist,trist,trist,meta-DLgW0ryhKRmm.json,DL,RREEPPLLAACCEE/DL/gW/DLgW0ryhKRmm.mp4,RREEPPLLAACCEE/DL/gW/DLgW0ryhKRmm_small.mp4
kristen,0,0,0,Unavailable,2021-01-06,02:57:56,Unavailable,,Unavailable,Unavailable,kristen,kristen,kristen,meta-DlSg4LtLN50G.json,Dl,RREEPPLLAACCEE/Dl/Sg/DlSg4LtLN50G.mp4,RREEPPLLAACCEE/Dl/Sg/DlSg4LtLN50G_small.mp4
dad,0,0,0,Unavailable,2020-11-14,21:42:37,Unavailable,Unavailable,Unavailable,Unavailable,dad,dad,dad,meta-DliQBI1ztKKE.json,Dl,RREEPPLLAACCEE/Dl/iQ/DliQBI1ztKKE.mp4,RREEPPLLAACCEE/Dl/iQ/DliQBI1ztKKE_small.mp4
alexander.tolmachyov,0,0,0,Unavailable,2020-11-02,17:14:03,Unavailable,Unavailable,Unavailable,Unavailable,alexander.tolmachyov,alexander.tolmachyov,alexander.tolmachyov,meta-DlzgtHXeWyuY.json,Dl,RREEPPLLAACCEE/Dl/zg/DlzgtHXeWyuY.mp4,RREEPPLLAACCEE/Dl/zg/DlzgtHXeWyuY_small.mp4
Matt,0,0,0,Unavailable,2020-08-11,20:06:13,Canon,,,,Matt,Matt,Matt,meta-dLE7G48m5nXM.json,dL,RREEPPLLAACCEE/dL/E7/dLE7G48m5nXM.mp4,RREEPPLLAACCEE/dL/E7/dLE7G48m5nXM_small.mp4
adammoore,0,0,0,Unavailable,2020-11-14,04:43:21,Unavailable,Unavailable,Unavailable,Unavailable,adammoore,adammoore,adammoore,meta-dLvV4x4V0Nq3.json,dL,RREEPPLLAACCEE/dL/vV/dLvV4x4V0Nq3.mp4,RREEPPLLAACCEE/dL/vV/dLvV4x4V0Nq3_small.mp4
calvin,0,0,0,Unavailable,2020-11-11,22:01:07,Unavailable,Unavailable,Unavailable,Unavailable,calvin,calvin,calvin,meta-dlD89t1LJzvp.json,dl,RREEPPLLAACCEE/dl/D8/dlD89t1LJzvp.mp4,RREEPPLLAACCEE/dl/D8/dlD89t1LJzvp_small.mp4
johnny,0,0,0,Unavailable,2020-12-06,18:15:44,Unavailable,,Unavailable,Unavailable,djadillo,djadillo,djadillo,meta-dlG6ZXV4BQ6u.json,dl,RREEPPLLAACCEE/dl/G6/dlG6ZXV4BQ6u.mp4,RREEPPLLAACCEE/dl/G6/dlG6ZXV4BQ6u_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-09-22,17:54:20,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-dlGNy2YASRfA.json,dl,RREEPPLLAACCEE/dl/GN/dlGNy2YASRfA.mp4,RREEPPLLAACCEE/dl/GN/dlGNy2YASRfA_small.mp4
Heather,0,0,0,Unavailable,2018-12-04,21:42:16,Unavailable,Unavailable,Unavailable,Unavailable,Heather,Heather,Heather,meta-dlwXBVETT7g7.json,dl,RREEPPLLAACCEE/dl/wX/dlwXBVETT7g7.mp4,RREEPPLLAACCEE/dl/wX/dlwXBVETT7g7_small.mp4
