Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Production,0,0,0,Unavailable,2020-08-13,19:09:29,Unavailable,Unavailable,Unavailable,Unavailable,Production,Production,Production,meta-EZQdKLEmQdD3.json,EZ,RREEPPLLAACCEE/EZ/Qd/EZQdKLEmQdD3.mp4,RREEPPLLAACCEE/EZ/Qd/EZQdKLEmQdD3_small.mp4
Joska,0,0,0,Unavailable,2020-10-12,14:44:42,Canon,,,,Phil,Phil,Phil,meta-EZYGMxmWClLI.json,EZ,RREEPPLLAACCEE/EZ/YG/EZYGMxmWClLI.mp4,RREEPPLLAACCEE/EZ/YG/EZYGMxmWClLI_small.mp4
Administrator,0,0,0,Unavailable,2020-11-03,04:16:06,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-eZKeRwxvgCY9.json,eZ,RREEPPLLAACCEE/eZ/Ke/eZKeRwxvgCY9.mp4,RREEPPLLAACCEE/eZ/Ke/eZKeRwxvgCY9_small.mp4
sejzelleerastus,0,0,0,Unavailable,2020-11-13,21:51:50,Unavailable,Unavailable,Unavailable,Unavailable,sejzelleerastus,sejzelleerastus,sejzelleerastus,meta-eZQBy6fqqGh3.json,eZ,RREEPPLLAACCEE/eZ/QB/eZQBy6fqqGh3.mp4,RREEPPLLAACCEE/eZ/QB/eZQBy6fqqGh3_small.mp4
Miki,0,0,0,Unavailable,2020-10-23,19:05:24,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-ez2NuRsBclDn.json,ez,RREEPPLLAACCEE/ez/2N/ez2NuRsBclDn.mp4,RREEPPLLAACCEE/ez/2N/ez2NuRsBclDn_small.mp4
Unavailable,35.7351,83.7625,435,Above Sea Level,2020-11-03,03:29:31,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZ0StwTWJatS.json,EZ,RREEPPLLAACCEE/EZ/0S/EZ0StwTWJatS.mp4,RREEPPLLAACCEE/EZ/0S/EZ0StwTWJatS_small.mp4
Unavailable,31.2231,81.3561,3.025,Above Sea Level,2020-11-09,16:42:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZ5SAHIRec7n.json,EZ,RREEPPLLAACCEE/EZ/5S/EZ5SAHIRec7n.mp4,RREEPPLLAACCEE/EZ/5S/EZ5SAHIRec7n_small.mp4
Unavailable,33.2700,97.5393,276.706,Above Sea Level,2021-01-10,05:15:54,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZ8VvWH8ADdn.json,EZ,RREEPPLLAACCEE/EZ/8V/EZ8VvWH8ADdn.mp4,RREEPPLLAACCEE/EZ/8V/EZ8VvWH8ADdn_small.mp4
Unavailable,40.4313,74.2267,23.536,Above Sea Level,2020-06-26,22:14:35,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZATOoxrQqQZ.json,EZ,RREEPPLLAACCEE/EZ/AT/EZATOoxrQqQZ.mp4,RREEPPLLAACCEE/EZ/AT/EZATOoxrQqQZ_small.mp4
Unavailable,29.7453,95.4813,21.335,Above Sea Level,2020-11-27,19:48:14,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZBKC0PkDJMZ.json,EZ,RREEPPLLAACCEE/EZ/BK/EZBKC0PkDJMZ.mp4,RREEPPLLAACCEE/EZ/BK/EZBKC0PkDJMZ_small.mp4
Unavailable,33.0072,117.0549,195.268,Above Sea Level,2020-11-06,23:04:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZCBW15IPUpK.json,EZ,RREEPPLLAACCEE/EZ/CB/EZCBW15IPUpK.mp4,RREEPPLLAACCEE/EZ/CB/EZCBW15IPUpK_small.mp4
Unavailable,47.5795,122.4091,4.28,Above Sea Level,2020-07-05,20:26:16,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZCDsJrwurXx.json,EZ,RREEPPLLAACCEE/EZ/CD/EZCDsJrwurXx.mp4,RREEPPLLAACCEE/EZ/CD/EZCDsJrwurXx_small.mp4
Unavailable,35.6623,121.2562,4.565,Above Sea Level,2020-08-16,21:12:47,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZCkPqIrvERV.json,EZ,RREEPPLLAACCEE/EZ/Ck/EZCkPqIrvERV.mp4,RREEPPLLAACCEE/EZ/Ck/EZCkPqIrvERV_small.mp4
Unavailable,30.4576,95.5544,60.111,Above Sea Level,2020-10-04,21:27:34,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZHOs75iH0qB.json,EZ,RREEPPLLAACCEE/EZ/HO/EZHOs75iH0qB.mp4,RREEPPLLAACCEE/EZ/HO/EZHOs75iH0qB_small.mp4
Unavailable,65.1528,149.3410,121,Above Sea Level,2019-04-08,15:25:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EZJFxISOTnVQ.json,EZ,RREEPPLLAACCEE/EZ/JF/EZJFxISOTnVQ.mp4,RREEPPLLAACCEE/EZ/JF/EZJFxISOTnVQ_small.mp4
