Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
NEW,0,0,0,Unavailable,2020-12-03,11:26:57,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-Q4jfveWp0eT2.json,Q4,RREEPPLLAACCEE/Q4/jf/Q4jfveWp0eT2.mp4,RREEPPLLAACCEE/Q4/jf/Q4jfveWp0eT2_small.mp4
paulg,0,0,0,Unavailable,2020-12-06,19:53:28,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-q4NLuuN0LgET.json,q4,RREEPPLLAACCEE/q4/NL/q4NLuuN0LgET.mp4,RREEPPLLAACCEE/q4/NL/q4NLuuN0LgET_small.mp4
Unavailable,37.7849,121.2404,2.052,Above Sea Level,2021-01-07,00:40:17,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q402OGwazp68.json,Q4,RREEPPLLAACCEE/Q4/02/Q402OGwazp68.mp4,RREEPPLLAACCEE/Q4/02/Q402OGwazp68_small.mp4
Unavailable,36.3941,86.4387,0,Unavailable,2020-10-31,15:33:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q42G90JoYwlw.json,Q4,RREEPPLLAACCEE/Q4/2G/Q42G90JoYwlw.mp4,RREEPPLLAACCEE/Q4/2G/Q42G90JoYwlw_small.mp4
Unavailable,39.9520,94.4089,291.823,Above Sea Level,2020-11-12,20:56:32,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q48ZRR4zRUQN.json,Q4,RREEPPLLAACCEE/Q4/8Z/Q48ZRR4zRUQN.mp4,RREEPPLLAACCEE/Q4/8Z/Q48ZRR4zRUQN_small.mp4
Unavailable,33.2483,117.3215,19.862,Above Sea Level,2020-10-10,18:30:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q48mxvqaAPOt.json,Q4,RREEPPLLAACCEE/Q4/8m/Q48mxvqaAPOt.mp4,RREEPPLLAACCEE/Q4/8m/Q48mxvqaAPOt_small.mp4
Unavailable,30.3056,81.5928,5.232,Above Sea Level,2020-11-11,02:54:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4EvfsS08nP3.json,Q4,RREEPPLLAACCEE/Q4/Ev/Q4EvfsS08nP3.mp4,RREEPPLLAACCEE/Q4/Ev/Q4EvfsS08nP3_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-11-13,22:46:34,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4G3bietksYf.json,Q4,RREEPPLLAACCEE/Q4/G3/Q4G3bietksYf.mp4,RREEPPLLAACCEE/Q4/G3/Q4G3bietksYf_small.mp4
Unavailable,33.7401,117.1269,474.923,Above Sea Level,2020-09-09,20:32:46,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4HQSjGQ2Y66.json,Q4,RREEPPLLAACCEE/Q4/HQ/Q4HQSjGQ2Y66.mp4,RREEPPLLAACCEE/Q4/HQ/Q4HQSjGQ2Y66_small.mp4
Unavailable,38.9030,95.8197,318.438,Above Sea Level,2020-11-04,05:31:42,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4OARWEaAtaV.json,Q4,RREEPPLLAACCEE/Q4/OA/Q4OARWEaAtaV.mp4,RREEPPLLAACCEE/Q4/OA/Q4OARWEaAtaV_small.mp4
Unavailable,38.8955,77.0392,12.943,Above Sea Level,2021-01-05,16:24:42,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4OHWxX7WE9Z.json,Q4,RREEPPLLAACCEE/Q4/OH/Q4OHWxX7WE9Z.mp4,RREEPPLLAACCEE/Q4/OH/Q4OHWxX7WE9Z_small.mp4
Unavailable,42.0061,72.5940,0,Unavailable,2020-11-19,16:53:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4QXmtUrlDVs.json,Q4,RREEPPLLAACCEE/Q4/QX/Q4QXmtUrlDVs.mp4,RREEPPLLAACCEE/Q4/QX/Q4QXmtUrlDVs_small.mp4
Unavailable,34.0720,118.4033,86.674,Above Sea Level,2020-11-01,00:16:17,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4RYyFkQJvt0.json,Q4,RREEPPLLAACCEE/Q4/RY/Q4RYyFkQJvt0.mp4,RREEPPLLAACCEE/Q4/RY/Q4RYyFkQJvt0_small.mp4
Unavailable,33.7850,116.2877,34.237,Above Sea Level,2020-12-08,23:08:17,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4WJYHZ1RkUV.json,Q4,RREEPPLLAACCEE/Q4/WJ/Q4WJYHZ1RkUV.mp4,RREEPPLLAACCEE/Q4/WJ/Q4WJYHZ1RkUV_small.mp4
Unavailable,38.8962,77.0315,6.786,Above Sea Level,2020-11-14,15:05:02,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4a86m9tkwoD.json,Q4,RREEPPLLAACCEE/Q4/a8/Q4a86m9tkwoD.mp4,RREEPPLLAACCEE/Q4/a8/Q4a86m9tkwoD_small.mp4
Unavailable,38.8793,104.7381,1975.842,Above Sea Level,2020-11-25,15:21:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4aA4HgZH7aO.json,Q4,RREEPPLLAACCEE/Q4/aA/Q4aA4HgZH7aO.mp4,RREEPPLLAACCEE/Q4/aA/Q4aA4HgZH7aO_small.mp4
Unavailable,47.1209,121.5304,749.261,Above Sea Level,2020-10-08,03:58:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4bFLAZp9R9z.json,Q4,RREEPPLLAACCEE/Q4/bF/Q4bFLAZp9R9z.mp4,RREEPPLLAACCEE/Q4/bF/Q4bFLAZp9R9z_small.mp4
Unavailable,30.4131,91.0749,0,Unavailable,2020-12-12,19:09:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Q4cFYwVQGYEg.json,Q4,RREEPPLLAACCEE/Q4/cF/Q4cFYwVQGYEg.mp4,RREEPPLLAACCEE/Q4/cF/Q4cFYwVQGYEg_small.mp4
