Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
kylemaier,0,0,0,Unavailable,2019-02-25,21:58:50,Unavailable,Unavailable,Unavailable,Unavailable,kylemaier,kylemaier,kylemaier,meta-RVEd2xwxOqFi.json,RV,RREEPPLLAACCEE/RV/Ed/RVEd2xwxOqFi.mp4,RREEPPLLAACCEE/RV/Ed/RVEd2xwxOqFi_small.mp4
Daniel Gullo,0,0,0,Unavailable,2020-09-03,12:17:55,Unavailable,Unavailable,Unavailable,Unavailable,Daniel Gullo,Daniel Gullo,Daniel Gullo,meta-RvnZER7f3qdv.json,Rv,RREEPPLLAACCEE/Rv/nZ/RvnZER7f3qdv.mp4,RREEPPLLAACCEE/Rv/nZ/RvnZER7f3qdv_small.mp4
hanso,0,0,0,Unavailable,2021-01-04,23:57:36,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-rV1PC4UAMleF.json,rV,RREEPPLLAACCEE/rV/1P/rV1PC4UAMleF.mp4,RREEPPLLAACCEE/rV/1P/rV1PC4UAMleF_small.mp4
F6903,0,0,0,Unavailable,2020-12-22,15:05:01,Unavailable,Unavailable,Unavailable,Unavailable,F6903,F6903,F6903,meta-rVLbV0Pf85bC.json,rV,RREEPPLLAACCEE/rV/Lb/rVLbV0Pf85bC.mp4,RREEPPLLAACCEE/rV/Lb/rVLbV0Pf85bC_small.mp4
Admin,0,0,0,Unavailable,2020-12-11,15:37:39,Unavailable,Unavailable,Unavailable,Unavailable,jamforce2,jamforce2,jamforce2,meta-rvD615VG9jpe.json,rv,RREEPPLLAACCEE/rv/D6/rvD615VG9jpe.mp4,RREEPPLLAACCEE/rv/D6/rvD615VG9jpe_small.mp4
samiraharger,0,0,0,Unavailable,2020-12-24,01:11:36,Unavailable,Unavailable,Unavailable,Unavailable,samiraharger,samiraharger,samiraharger,meta-rvinjnTXmH11.json,rv,RREEPPLLAACCEE/rv/in/rvinjnTXmH11.mp4,RREEPPLLAACCEE/rv/in/rvinjnTXmH11_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-16,06:13:05,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-rvztcizEGbS8.json,rv,RREEPPLLAACCEE/rv/zt/rvztcizEGbS8.mp4,RREEPPLLAACCEE/rv/zt/rvztcizEGbS8_small.mp4
Unavailable,41.1142,85.0936,241.666,Above Sea Level,2021-01-08,18:40:59,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RV1XNau3dNsv.json,RV,RREEPPLLAACCEE/RV/1X/RV1XNau3dNsv.mp4,RREEPPLLAACCEE/RV/1X/RV1XNau3dNsv_small.mp4
Unavailable,42.3537,71.1489,13.985,Above Sea Level,2020-12-01,14:55:03,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RV2U64PV5BOY.json,RV,RREEPPLLAACCEE/RV/2U/RV2U64PV5BOY.mp4,RREEPPLLAACCEE/RV/2U/RV2U64PV5BOY_small.mp4
Unavailable,40.7451,73.2587,14.7,Above Sea Level,2020-10-18,18:53:50,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RVGSfpKH8pwO.json,RV,RREEPPLLAACCEE/RV/GS/RVGSfpKH8pwO.mp4,RREEPPLLAACCEE/RV/GS/RVGSfpKH8pwO_small.mp4
Unavailable,47.0594,122.2251,266.709,Above Sea Level,2020-07-05,05:44:28,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RVIfdWsdVTZj.json,RV,RREEPPLLAACCEE/RV/If/RVIfdWsdVTZj.mp4,RREEPPLLAACCEE/RV/If/RVIfdWsdVTZj_small.mp4
