Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Adam,0,0,0,Unavailable,2018-10-18,18:28:57,Apple,,Unavailable,Unavailable,Adam,Adam,Adam,meta-PvQ2MrPiLHxO.json,Pv,RREEPPLLAACCEE/Pv/Q2/PvQ2MrPiLHxO.mp4,RREEPPLLAACCEE/Pv/Q2/PvQ2MrPiLHxO_small.mp4
Miki,0,0,0,Unavailable,2020-10-23,19:12:25,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-PvWDAifxZz9a.json,Pv,RREEPPLLAACCEE/Pv/WD/PvWDAifxZz9a.mp4,RREEPPLLAACCEE/Pv/WD/PvWDAifxZz9a_small.mp4
gregg,0,0,0,Unavailable,2020-09-10,20:12:18,Unavailable,,Unavailable,Unavailable,gregg,gregg,gregg,meta-Pvbvza0S5mox.json,Pv,RREEPPLLAACCEE/Pv/bv/Pvbvza0S5mox.mp4,RREEPPLLAACCEE/Pv/bv/Pvbvza0S5mox_small.mp4
Daniel,0,0,0,Unavailable,2020-09-12,14:34:00,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-pV3VawrtJOzF.json,pV,RREEPPLLAACCEE/pV/3V/pV3VawrtJOzF.mp4,RREEPPLLAACCEE/pV/3V/pV3VawrtJOzF_small.mp4
Owner,0,0,0,Unavailable,2020-12-15,21:25:08,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-pvGhYcmiJI7j.json,pv,RREEPPLLAACCEE/pv/Gh/pvGhYcmiJI7j.mp4,RREEPPLLAACCEE/pv/Gh/pvGhYcmiJI7j_small.mp4
Vakars,0,0,0,Unavailable,2020-08-03,08:17:21,Unavailable,Unavailable,Unavailable,Unavailable,Vakars,Vakars,Vakars,meta-pvlMAm71OkLt.json,pv,RREEPPLLAACCEE/pv/lM/pvlMAm71OkLt.mp4,RREEPPLLAACCEE/pv/lM/pvlMAm71OkLt_small.mp4
Richard,0,0,0,Unavailable,2020-04-15,19:24:27,Unavailable,Unavailable,Unavailable,Unavailable,Richard,Richard,Richard,meta-pvm8Zrnnu3Yc.json,pv,RREEPPLLAACCEE/pv/m8/pvm8Zrnnu3Yc.mp4,RREEPPLLAACCEE/pv/m8/pvm8Zrnnu3Yc_small.mp4
Unavailable,49.8983,119.4110,352.539,Above Sea Level,2020-05-13,14:41:59,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PV0ZS7J4iGFz.json,PV,RREEPPLLAACCEE/PV/0Z/PV0ZS7J4iGFz.mp4,RREEPPLLAACCEE/PV/0Z/PV0ZS7J4iGFz_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:54:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PV0b9XiP3zC0.json,PV,RREEPPLLAACCEE/PV/0b/PV0b9XiP3zC0.mp4,RREEPPLLAACCEE/PV/0b/PV0b9XiP3zC0_small.mp4
Unavailable,38.0340,84.4994,298.153,Above Sea Level,2020-08-05,14:42:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PV19T5RCPP32.json,PV,RREEPPLLAACCEE/PV/19/PV19T5RCPP32.mp4,RREEPPLLAACCEE/PV/19/PV19T5RCPP32_small.mp4
