Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
coglebay,0,0,0,Unavailable,2020-11-17,20:27:05,Canon,,,,coglebay,coglebay,coglebay,meta-t07YMjRh8mw5.json,t0,RREEPPLLAACCEE/t0/7Y/t07YMjRh8mw5.mp4,RREEPPLLAACCEE/t0/7Y/t07YMjRh8mw5_small.mp4
willwitt,0,0,0,Unavailable,2020-11-09,20:40:59,Unavailable,,Unavailable,Unavailable,willwitt,willwitt,willwitt,meta-t0GAi6YESLTE.json,t0,RREEPPLLAACCEE/t0/GA/t0GAi6YESLTE.mp4,RREEPPLLAACCEE/t0/GA/t0GAi6YESLTE_small.mp4
Unavailable,39.9941,74.7631,19.97,Above Sea Level,2020-11-15,02:07:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T07aYJAxVfVA.json,T0,RREEPPLLAACCEE/T0/7a/T07aYJAxVfVA.mp4,RREEPPLLAACCEE/T0/7a/T07aYJAxVfVA_small.mp4
Unavailable,33.9682,117.5941,193.636,Above Sea Level,2020-11-08,16:51:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T07g2QFyYGCp.json,T0,RREEPPLLAACCEE/T0/7g/T07g2QFyYGCp.mp4,RREEPPLLAACCEE/T0/7g/T07g2QFyYGCp_small.mp4
Unavailable,33.8136,84.3405,289.901,Above Sea Level,2021-01-07,02:52:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0DJJGbiHPgn.json,T0,RREEPPLLAACCEE/T0/DJ/T0DJJGbiHPgn.mp4,RREEPPLLAACCEE/T0/DJ/T0DJJGbiHPgn_small.mp4
Unavailable,33.0087,96.8926,0,Unavailable,2020-10-24,22:46:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0J4plaR9uFr.json,T0,RREEPPLLAACCEE/T0/J4/T0J4plaR9uFr.mp4,RREEPPLLAACCEE/T0/J4/T0J4plaR9uFr_small.mp4
Unavailable,42.8179,78.7581,203.236,Above Sea Level,2020-11-10,23:07:00,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0JL3K6OkOIb.json,T0,RREEPPLLAACCEE/T0/JL/T0JL3K6OkOIb.mp4,RREEPPLLAACCEE/T0/JL/T0JL3K6OkOIb_small.mp4
Unavailable,40.1364,85.9603,248.216,Above Sea Level,2020-11-06,00:11:37,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0LRRh48B4un.json,T0,RREEPPLLAACCEE/T0/LR/T0LRRh48B4un.mp4,RREEPPLLAACCEE/T0/LR/T0LRRh48B4un_small.mp4
Unavailable,39.0089,94.7680,0,Unavailable,2020-11-14,18:49:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0QBf6ar0V0v.json,T0,RREEPPLLAACCEE/T0/QB/T0QBf6ar0V0v.mp4,RREEPPLLAACCEE/T0/QB/T0QBf6ar0V0v_small.mp4
Unavailable,36.8468,75.9741,5.087,Above Sea Level,2020-11-10,11:34:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T0ShiuMmYcsQ.json,T0,RREEPPLLAACCEE/T0/Sh/T0ShiuMmYcsQ.mp4,RREEPPLLAACCEE/T0/Sh/T0ShiuMmYcsQ_small.mp4
