Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulfisher,0,0,0,Unavailable,2020-06-16,16:05:55,Unavailable,Unavailable,Unavailable,Unavailable,paulfisher,paulfisher,paulfisher,meta-ImjuwduORalA.json,Im,RREEPPLLAACCEE/Im/ju/ImjuwduORalA.mp4,RREEPPLLAACCEE/Im/ju/ImjuwduORalA_small.mp4
PremiumBeat,0,0,0,Unavailable,2020-06-26,14:01:47,Unavailable,Unavailable,Unavailable,Unavailable,PremiumBeat,PremiumBeat,PremiumBeat,meta-imbXYkkaBkvB.json,im,RREEPPLLAACCEE/im/bX/imbXYkkaBkvB.mp4,RREEPPLLAACCEE/im/bX/imbXYkkaBkvB_small.mp4
nicka,0,0,0,Unavailable,2020-12-14,02:38:42,Unavailable,Unavailable,Unavailable,Unavailable,nicka,nicka,nicka,meta-imqpgGt6sdAu.json,im,RREEPPLLAACCEE/im/qp/imqpgGt6sdAu.mp4,RREEPPLLAACCEE/im/qp/imqpgGt6sdAu_small.mp4
liamnahill,0,0,0,Unavailable,2020-10-29,21:40:41,Unavailable,Unavailable,Unavailable,Unavailable,liamnahill,liamnahill,liamnahill,meta-imru718WLZ4z.json,im,RREEPPLLAACCEE/im/ru/imru718WLZ4z.mp4,RREEPPLLAACCEE/im/ru/imru718WLZ4z_small.mp4
Unavailable,26.2114,80.1199,2.426,Above Sea Level,2020-09-03,22:44:39,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IM59WNyDIpUW.json,IM,RREEPPLLAACCEE/IM/59/IM59WNyDIpUW.mp4,RREEPPLLAACCEE/IM/59/IM59WNyDIpUW_small.mp4
Unavailable,27.9581,82.7881,8.969,Above Sea Level,2020-11-10,22:12:34,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMBkNhmXbje3.json,IM,RREEPPLLAACCEE/IM/Bk/IMBkNhmXbje3.mp4,RREEPPLLAACCEE/IM/Bk/IMBkNhmXbje3_small.mp4
Unavailable,47.8306,115.5876,722.113,Above Sea Level,2020-12-07,18:56:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMGjoY0zdCvT.json,IM,RREEPPLLAACCEE/IM/Gj/IMGjoY0zdCvT.mp4,RREEPPLLAACCEE/IM/Gj/IMGjoY0zdCvT_small.mp4
Unavailable,35.4037,97.6663,398.555,Above Sea Level,2020-11-10,02:22:41,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMIhynG2MmFT.json,IM,RREEPPLLAACCEE/IM/Ih/IMIhynG2MmFT.mp4,RREEPPLLAACCEE/IM/Ih/IMIhynG2MmFT_small.mp4
Unavailable,34.2715,118.3153,396.768,Above Sea Level,2020-08-18,05:11:52,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMJUGNqt6iYO.json,IM,RREEPPLLAACCEE/IM/JU/IMJUGNqt6iYO.mp4,RREEPPLLAACCEE/IM/JU/IMJUGNqt6iYO_small.mp4
Unavailable,34.6241,92.4665,115.713,Above Sea Level,2020-11-21,06:49:54,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMNq5cddR32K.json,IM,RREEPPLLAACCEE/IM/Nq/IMNq5cddR32K.mp4,RREEPPLLAACCEE/IM/Nq/IMNq5cddR32K_small.mp4
Unavailable,32.5299,97.3216,212.469,Above Sea Level,2020-11-18,14:55:19,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMUBQwSHJ2zx.json,IM,RREEPPLLAACCEE/IM/UB/IMUBQwSHJ2zx.mp4,RREEPPLLAACCEE/IM/UB/IMUBQwSHJ2zx_small.mp4
Unavailable,33.6572,118.0022,13.587,Above Sea Level,2020-12-12,23:18:42,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMXvtrnlYi33.json,IM,RREEPPLLAACCEE/IM/Xv/IMXvtrnlYi33.mp4,RREEPPLLAACCEE/IM/Xv/IMXvtrnlYi33_small.mp4
Unavailable,34.3286,79.3372,33.97,Above Sea Level,2019-07-20,17:24:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMZalvjCxKxr.json,IM,RREEPPLLAACCEE/IM/Za/IMZalvjCxKxr.mp4,RREEPPLLAACCEE/IM/Za/IMZalvjCxKxr_small.mp4
Unavailable,39.3432,104.8355,1967.082,Above Sea Level,2021-01-09,05:50:17,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMh0vI163PTH.json,IM,RREEPPLLAACCEE/IM/h0/IMh0vI163PTH.mp4,RREEPPLLAACCEE/IM/h0/IMh0vI163PTH_small.mp4
Unavailable,39.5649,104.9081,0,Unavailable,2020-05-31,01:34:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMmqOPsnFUyD.json,IM,RREEPPLLAACCEE/IM/mq/IMmqOPsnFUyD.mp4,RREEPPLLAACCEE/IM/mq/IMmqOPsnFUyD_small.mp4
Unavailable,28.0484,82.5956,6.445,Above Sea Level,2020-06-30,19:07:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMmsmCwbZPHs.json,IM,RREEPPLLAACCEE/IM/ms/IMmsmCwbZPHs.mp4,RREEPPLLAACCEE/IM/ms/IMmsmCwbZPHs_small.mp4
Unavailable,36.8885,93.4601,0,Unavailable,2020-08-01,19:20:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMn0bTKpt7HA.json,IM,RREEPPLLAACCEE/IM/n0/IMn0bTKpt7HA.mp4,RREEPPLLAACCEE/IM/n0/IMn0bTKpt7HA_small.mp4
Unavailable,40.7452,73.2588,16.411,Above Sea Level,2020-12-09,22:00:55,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IMnK38upcRG1.json,IM,RREEPPLLAACCEE/IM/nK/IMnK38upcRG1.mp4,RREEPPLLAACCEE/IM/nK/IMnK38upcRG1_small.mp4
