Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
apple,0,0,0,Unavailable,2020-10-05,14:09:38,Unavailable,Unavailable,Unavailable,Unavailable,apple,apple,apple,meta-FK5InrTGNsyM.json,FK,RREEPPLLAACCEE/FK/5I/FK5InrTGNsyM.mp4,RREEPPLLAACCEE/FK/5I/FK5InrTGNsyM_small.mp4
michelcardon,0,0,0,Unavailable,2020-06-29,16:50:25,Unavailable,,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-FKsMtoUfgcgp.json,FK,RREEPPLLAACCEE/FK/sM/FKsMtoUfgcgp.mp4,RREEPPLLAACCEE/FK/sM/FKsMtoUfgcgp_small.mp4
Luciano,0,0,0,Unavailable,2020-10-09,00:15:01,Canon,,,,Luciano,Luciano,Luciano,meta-Fkgfe4P5UHxF.json,Fk,RREEPPLLAACCEE/Fk/gf/Fkgfe4P5UHxF.mp4,RREEPPLLAACCEE/Fk/gf/Fkgfe4P5UHxF_small.mp4
julianlloyd,0,0,0,Unavailable,2020-12-19,22:38:39,Unavailable,,Unavailable,Unavailable,julianlloyd,julianlloyd,julianlloyd,meta-FkxdkYtZYKTk.json,Fk,RREEPPLLAACCEE/Fk/xd/FkxdkYtZYKTk.mp4,RREEPPLLAACCEE/Fk/xd/FkxdkYtZYKTk_small.mp4
Cody Alexander,0,0,0,Unavailable,2020-12-21,02:57:11,Unavailable,Unavailable,Unavailable,Unavailable,Cody Alexander,Cody Alexander,Cody Alexander,meta-fkTp6ISCL14o.json,fk,RREEPPLLAACCEE/fk/Tp/fkTp6ISCL14o.mp4,RREEPPLLAACCEE/fk/Tp/fkTp6ISCL14o_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-31,16:26:11,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-fkaeRLJaZSRa.json,fk,RREEPPLLAACCEE/fk/ae/fkaeRLJaZSRa.mp4,RREEPPLLAACCEE/fk/ae/fkaeRLJaZSRa_small.mp4
Unavailable,28.9072,81.9787,22.311,Above Sea Level,2020-11-08,20:15:57,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FK0RdgBOJjos.json,FK,RREEPPLLAACCEE/FK/0R/FK0RdgBOJjos.mp4,RREEPPLLAACCEE/FK/0R/FK0RdgBOJjos_small.mp4
Unavailable,36.5983,82.1853,527.52,Above Sea Level,2020-11-03,17:50:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FK3IXJPhVk14.json,FK,RREEPPLLAACCEE/FK/3I/FK3IXJPhVk14.mp4,RREEPPLLAACCEE/FK/3I/FK3IXJPhVk14_small.mp4
Unavailable,37.0205,88.5917,102.842,Above Sea Level,2020-11-26,03:07:41,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FK55LMg06MDZ.json,FK,RREEPPLLAACCEE/FK/55/FK55LMg06MDZ.mp4,RREEPPLLAACCEE/FK/55/FK55LMg06MDZ_small.mp4
Unavailable,34.6760,135.5003,19.415,Above Sea Level,2020-12-20,06:17:17,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FK5BD5H4r53o.json,FK,RREEPPLLAACCEE/FK/5B/FK5BD5H4r53o.mp4,RREEPPLLAACCEE/FK/5B/FK5BD5H4r53o_small.mp4
