Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Boots,0,0,0,Unavailable,2020-12-01,20:13:32,Panasonic,,Unavailable,Unavailable,Boots,Boots,Boots,meta-NBC6fX07Nv78.json,NB,RREEPPLLAACCEE/NB/C6/NBC6fX07Nv78.mp4,RREEPPLLAACCEE/NB/C6/NBC6fX07Nv78_small.mp4
bensp,0,0,0,Unavailable,2020-08-09,05:44:49,Unavailable,Unavailable,Unavailable,Unavailable,bensp,bensp,bensp,meta-NbXW6HCwNHoG.json,Nb,RREEPPLLAACCEE/Nb/XW/NbXW6HCwNHoG.mp4,RREEPPLLAACCEE/Nb/XW/NbXW6HCwNHoG_small.mp4
production,0,0,0,Unavailable,2020-07-10,00:33:54,Unavailable,Unavailable,Unavailable,Unavailable,production,production,production,meta-nB9DhleW7GV5.json,nB,RREEPPLLAACCEE/nB/9D/nB9DhleW7GV5.mp4,RREEPPLLAACCEE/nB/9D/nB9DhleW7GV5_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-08,12:50:39,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-nbqFxf9QKu8M.json,nb,RREEPPLLAACCEE/nb/qF/nbqFxf9QKu8M.mp4,RREEPPLLAACCEE/nb/qF/nbqFxf9QKu8M_small.mp4
Unavailable,39.6508,105.0324,1622.161,Above Sea Level,2020-07-08,23:50:59,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NB2A5y6QU879.json,NB,RREEPPLLAACCEE/NB/2A/NB2A5y6QU879.mp4,RREEPPLLAACCEE/NB/2A/NB2A5y6QU879_small.mp4
Unavailable,27.0135,82.1426,4.658,Above Sea Level,2020-09-04,19:00:14,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBGZOI7Grk4p.json,NB,RREEPPLLAACCEE/NB/GZ/NBGZOI7Grk4p.mp4,RREEPPLLAACCEE/NB/GZ/NBGZOI7Grk4p_small.mp4
Unavailable,30.7377,90.3391,52.116,Above Sea Level,2020-11-05,13:59:39,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBLfcMI7AmRB.json,NB,RREEPPLLAACCEE/NB/Lf/NBLfcMI7AmRB.mp4,RREEPPLLAACCEE/NB/Lf/NBLfcMI7AmRB_small.mp4
Unavailable,38.8947,77.0274,5.304,Above Sea Level,2020-11-14,17:12:33,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBQVyKXWQsQl.json,NB,RREEPPLLAACCEE/NB/QV/NBQVyKXWQsQl.mp4,RREEPPLLAACCEE/NB/QV/NBQVyKXWQsQl_small.mp4
Unavailable,37.7482,121.9346,131.513,Above Sea Level,2020-07-02,00:22:06,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBYoifycMNPK.json,NB,RREEPPLLAACCEE/NB/Yo/NBYoifycMNPK.mp4,RREEPPLLAACCEE/NB/Yo/NBYoifycMNPK_small.mp4
Unavailable,25.7796,80.1308,2.882,Above Sea Level,2018-12-20,08:23:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBflc030OgJs.json,NB,RREEPPLLAACCEE/NB/fl/NBflc030OgJs.mp4,RREEPPLLAACCEE/NB/fl/NBflc030OgJs_small.mp4
Unavailable,26.1861,81.7145,0,Unavailable,2020-05-05,14:35:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBrrom9qen52.json,NB,RREEPPLLAACCEE/NB/rr/NBrrom9qen52.mp4,RREEPPLLAACCEE/NB/rr/NBrrom9qen52_small.mp4
Unavailable,35.3098,108.1687,2283.811,Above Sea Level,2020-11-27,19:52:24,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBto8Jm03KtK.json,NB,RREEPPLLAACCEE/NB/to/NBto8Jm03KtK.mp4,RREEPPLLAACCEE/NB/to/NBto8Jm03KtK_small.mp4
Unavailable,40.7452,73.2587,14.7,Above Sea Level,2020-11-02,00:35:04,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NBvz4nmdJx86.json,NB,RREEPPLLAACCEE/NB/vz/NBvz4nmdJx86.mp4,RREEPPLLAACCEE/NB/vz/NBvz4nmdJx86_small.mp4
Unavailable,41.4159,87.1018,215.827,Above Sea Level,2020-06-22,02:41:15,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NByTFweN5hfB.json,NB,RREEPPLLAACCEE/NB/yT/NByTFweN5hfB.mp4,RREEPPLLAACCEE/NB/yT/NByTFweN5hfB_small.mp4
Unavailable,42.5655,87.8790,214.338,Above Sea Level,2020-08-16,20:49:07,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nb3IWvuxGkfp.json,Nb,RREEPPLLAACCEE/Nb/3I/Nb3IWvuxGkfp.mp4,RREEPPLLAACCEE/Nb/3I/Nb3IWvuxGkfp_small.mp4
Unavailable,36.2360,91.5995,183.535,Above Sea Level,2020-11-09,22:43:00,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nb4McEQPO8dq.json,Nb,RREEPPLLAACCEE/Nb/4M/Nb4McEQPO8dq.mp4,RREEPPLLAACCEE/Nb/4M/Nb4McEQPO8dq_small.mp4
Unavailable,35.6268,139.7217,25.405,Above Sea Level,2020-12-02,23:13:10,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nb6wBpfjf2Z1.json,Nb,RREEPPLLAACCEE/Nb/6w/Nb6wBpfjf2Z1.mp4,RREEPPLLAACCEE/Nb/6w/Nb6wBpfjf2Z1_small.mp4
Unavailable,40.6199,74.0162,29.58,Above Sea Level,2020-12-09,20:37:09,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Nb8z2W77Jam4.json,Nb,RREEPPLLAACCEE/Nb/8z/Nb8z2W77Jam4.mp4,RREEPPLLAACCEE/Nb/8z/Nb8z2W77Jam4_small.mp4
Unavailable,44.4960,124.0843,5.418,Above Sea Level,2020-09-02,22:12:31,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbP3h3wzmkTO.json,Nb,RREEPPLLAACCEE/Nb/P3/NbP3h3wzmkTO.mp4,RREEPPLLAACCEE/Nb/P3/NbP3h3wzmkTO_small.mp4
Unavailable,53.8014,1.6527,122.678,Above Sea Level,2020-12-10,09:47:05,Apple,iPad Air (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbR0pEHxl72r.json,Nb,RREEPPLLAACCEE/Nb/R0/NbR0pEHxl72r.mp4,RREEPPLLAACCEE/Nb/R0/NbR0pEHxl72r_small.mp4
Unavailable,39.8613,84.3036,290.981,Above Sea Level,2019-09-12,00:19:07,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbThY76x7LQv.json,Nb,RREEPPLLAACCEE/Nb/Th/NbThY76x7LQv.mp4,RREEPPLLAACCEE/Nb/Th/NbThY76x7LQv_small.mp4
Unavailable,4.3263,74.3767,0,Unavailable,2020-06-21,21:41:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbVLUElOInTJ.json,Nb,RREEPPLLAACCEE/Nb/VL/NbVLUElOInTJ.mp4,RREEPPLLAACCEE/Nb/VL/NbVLUElOInTJ_small.mp4
Unavailable,37.7851,81.1427,731.159,Above Sea Level,2020-11-07,22:09:53,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbXJaaRVBJKd.json,Nb,RREEPPLLAACCEE/Nb/XJ/NbXJaaRVBJKd.mp4,RREEPPLLAACCEE/Nb/XJ/NbXJaaRVBJKd_small.mp4
Unavailable,38.9830,84.0708,269.212,Above Sea Level,2020-10-15,14:46:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NbZ68mo4B6Ul.json,Nb,RREEPPLLAACCEE/Nb/Z6/NbZ68mo4B6Ul.mp4,RREEPPLLAACCEE/Nb/Z6/NbZ68mo4B6Ul_small.mp4
