Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
StephanieBaur,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,benjaminpeltz,benjaminpeltz,benjaminpeltz,meta-AZUEeL4Us4MA.json,AZ,RREEPPLLAACCEE/AZ/UE/AZUEeL4Us4MA.mp4,RREEPPLLAACCEE/AZ/UE/AZUEeL4Us4MA_small.mp4
andre,0,0,0,Unavailable,2020-12-09,00:05:02,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-AZWr2wQPEu0S.json,AZ,RREEPPLLAACCEE/AZ/Wr/AZWr2wQPEu0S.mp4,RREEPPLLAACCEE/AZ/Wr/AZWr2wQPEu0S_small.mp4
Mark,0,0,0,Unavailable,2017-06-17,04:47:32,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-Azn7deP4C2Ro.json,Az,RREEPPLLAACCEE/Az/n7/Azn7deP4C2Ro.mp4,RREEPPLLAACCEE/Az/n7/Azn7deP4C2Ro_small.mp4
Bravo Capitan,0,0,0,Unavailable,2020-12-04,09:30:00,Unavailable,Unavailable,Unavailable,Unavailable,Bravo Capitan,Bravo Capitan,Bravo Capitan,meta-aZGShNNE5Nwz.json,aZ,RREEPPLLAACCEE/aZ/GS/aZGShNNE5Nwz.mp4,RREEPPLLAACCEE/aZ/GS/aZGShNNE5Nwz_small.mp4
NEW,0,0,0,Unavailable,2020-12-04,14:02:53,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-aZI7nrWQXJTI.json,aZ,RREEPPLLAACCEE/aZ/I7/aZI7nrWQXJTI.mp4,RREEPPLLAACCEE/aZ/I7/aZI7nrWQXJTI_small.mp4
victorcastaneda,0,0,0,Unavailable,2020-12-04,19:23:24,Unavailable,Unavailable,Unavailable,Unavailable,victorcastaneda,victorcastaneda,victorcastaneda,meta-aZUv8iJVR25j.json,aZ,RREEPPLLAACCEE/aZ/Uv/aZUv8iJVR25j.mp4,RREEPPLLAACCEE/aZ/Uv/aZUv8iJVR25j_small.mp4
RDH,0,0,0,Unavailable,2020-08-03,19:48:11,Unavailable,Unavailable,Unavailable,Unavailable,RDH,RDH,RDH,meta-aZg852BnZgWc.json,aZ,RREEPPLLAACCEE/aZ/g8/aZg852BnZgWc.mp4,RREEPPLLAACCEE/aZ/g8/aZg852BnZgWc_small.mp4
giray,0,0,0,Unavailable,2020-10-16,21:36:24,Canon,,,Unavailable,giray,giray,giray,meta-aZyAnKLuYoY0.json,aZ,RREEPPLLAACCEE/aZ/yA/aZyAnKLuYoY0.mp4,RREEPPLLAACCEE/aZ/yA/aZyAnKLuYoY0_small.mp4
rebelmedia,0,0,0,Unavailable,2020-11-16,16:13:40,Unavailable,Unavailable,Unavailable,Unavailable,rebelmedia,rebelmedia,rebelmedia,meta-azGJNK8fFeF8.json,az,RREEPPLLAACCEE/az/GJ/azGJNK8fFeF8.mp4,RREEPPLLAACCEE/az/GJ/azGJNK8fFeF8_small.mp4
philk,0,0,0,Unavailable,2020-11-19,23:37:16,Unavailable,Unavailable,Unavailable,Unavailable,philk,philk,philk,meta-azlATw8aOhtX.json,az,RREEPPLLAACCEE/az/lA/azlATw8aOhtX.mp4,RREEPPLLAACCEE/az/lA/azlATw8aOhtX_small.mp4
Unavailable,47.5094,122.1903,93.547,Above Sea Level,2020-11-06,06:04:29,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AZ1teyI0ygJV.json,AZ,RREEPPLLAACCEE/AZ/1t/AZ1teyI0ygJV.mp4,RREEPPLLAACCEE/AZ/1t/AZ1teyI0ygJV_small.mp4
Unavailable,39.5152,119.9035,1479.963,Above Sea Level,2020-11-12,04:15:27,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AZ2nhZyzJVhV.json,AZ,RREEPPLLAACCEE/AZ/2n/AZ2nhZyzJVhV.mp4,RREEPPLLAACCEE/AZ/2n/AZ2nhZyzJVhV_small.mp4
Unavailable,41.5912,81.5520,185.508,Above Sea Level,2020-07-20,05:57:20,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AZBiNBHwvJMA.json,AZ,RREEPPLLAACCEE/AZ/Bi/AZBiNBHwvJMA.mp4,RREEPPLLAACCEE/AZ/Bi/AZBiNBHwvJMA_small.mp4
Unavailable,32.9915,96.6166,186.051,Above Sea Level,2020-07-30,04:45:17,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AZG3EJRkXBov.json,AZ,RREEPPLLAACCEE/AZ/G3/AZG3EJRkXBov.mp4,RREEPPLLAACCEE/AZ/G3/AZG3EJRkXBov_small.mp4
