Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
setayesh,0,0,0,Unavailable,2020-11-14,14:30:01,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-4hA52Jz7vtzT.json,4h,RREEPPLLAACCEE/4h/A5/4hA52Jz7vtzT.mp4,RREEPPLLAACCEE/4h/A5/4hA52Jz7vtzT_small.mp4
Unavailable,27.8359,82.6557,3.613,Above Sea Level,2020-11-26,15:28:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4H1o53vb42EP.json,4H,RREEPPLLAACCEE/4H/1o/4H1o53vb42EP.mp4,RREEPPLLAACCEE/4H/1o/4H1o53vb42EP_small.mp4
Unavailable,39.3182,76.4606,26,Above Sea Level,2020-05-04,18:08:13,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4H2dWhpYKgI8.json,4H,RREEPPLLAACCEE/4H/2d/4H2dWhpYKgI8.mp4,RREEPPLLAACCEE/4H/2d/4H2dWhpYKgI8_small.mp4
Unavailable,40.1595,105.0611,1511.289,Above Sea Level,2020-12-27,19:54:24,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4H6ciaRjk6l7.json,4H,RREEPPLLAACCEE/4H/6c/4H6ciaRjk6l7.mp4,RREEPPLLAACCEE/4H/6c/4H6ciaRjk6l7_small.mp4
Unavailable,30.4617,97.6185,223.195,Above Sea Level,2020-11-27,13:40:36,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HCP4DKLPNJB.json,4H,RREEPPLLAACCEE/4H/CP/4HCP4DKLPNJB.mp4,RREEPPLLAACCEE/4H/CP/4HCP4DKLPNJB_small.mp4
Unavailable,38.7055,77.2562,95.318,Above Sea Level,2020-11-27,01:49:05,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HFrq2dBa8nH.json,4H,RREEPPLLAACCEE/4H/Fr/4HFrq2dBa8nH.mp4,RREEPPLLAACCEE/4H/Fr/4HFrq2dBa8nH_small.mp4
Unavailable,40.2539,75.6731,62.787,Above Sea Level,2020-03-02,00:42:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HJJ58JFr2vV.json,4H,RREEPPLLAACCEE/4H/JJ/4HJJ58JFr2vV.mp4,RREEPPLLAACCEE/4H/JJ/4HJJ58JFr2vV_small.mp4
Unavailable,41.8926,88.2821,234.211,Above Sea Level,2020-11-10,05:39:25,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HL9enudPZsb.json,4H,RREEPPLLAACCEE/4H/L9/4HL9enudPZsb.mp4,RREEPPLLAACCEE/4H/L9/4HL9enudPZsb_small.mp4
Unavailable,32.3831,90.1946,97.696,Above Sea Level,2020-08-30,16:03:31,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HLp6c8SLwkE.json,4H,RREEPPLLAACCEE/4H/Lp/4HLp6c8SLwkE.mp4,RREEPPLLAACCEE/4H/Lp/4HLp6c8SLwkE_small.mp4
Unavailable,34.2027,84.1424,349.312,Above Sea Level,2020-12-21,01:25:34,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-4HZLPUQwUVL9.json,4H,RREEPPLLAACCEE/4H/ZL/4HZLPUQwUVL9.mp4,RREEPPLLAACCEE/4H/ZL/4HZLPUQwUVL9_small.mp4
