Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulg,0,0,0,Unavailable,2020-12-02,21:36:35,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-z6b9hSl1qoMI.json,z6,RREEPPLLAACCEE/z6/b9/z6b9hSl1qoMI.mp4,RREEPPLLAACCEE/z6/b9/z6b9hSl1qoMI_small.mp4
Unavailable,40.6730,75.4215,120.795,Above Sea Level,2020-10-26,16:39:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z62POiZDGYuE.json,Z6,RREEPPLLAACCEE/Z6/2P/Z62POiZDGYuE.mp4,RREEPPLLAACCEE/Z6/2P/Z62POiZDGYuE_small.mp4
Unavailable,32.1849,95.3229,140.627,Above Sea Level,2021-01-09,00:03:45,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z64LEJOO2Xti.json,Z6,RREEPPLLAACCEE/Z6/4L/Z64LEJOO2Xti.mp4,RREEPPLLAACCEE/Z6/4L/Z64LEJOO2Xti_small.mp4
Unavailable,31.5631,97.1953,168.555,Above Sea Level,2020-11-21,22:12:10,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z6532Yad0nWS.json,Z6,RREEPPLLAACCEE/Z6/53/Z6532Yad0nWS.mp4,RREEPPLLAACCEE/Z6/53/Z6532Yad0nWS_small.mp4
Unavailable,41.6702,87.6424,188.394,Above Sea Level,2019-06-29,03:03:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z65eURW1CC72.json,Z6,RREEPPLLAACCEE/Z6/5e/Z65eURW1CC72.mp4,RREEPPLLAACCEE/Z6/5e/Z65eURW1CC72_small.mp4
Unavailable,52.3669,5.1722,2.64,Below Sea Level,2020-11-21,22:28:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z65m7eIJD1uW.json,Z6,RREEPPLLAACCEE/Z6/5m/Z65m7eIJD1uW.mp4,RREEPPLLAACCEE/Z6/5m/Z65m7eIJD1uW_small.mp4
Unavailable,38.7239,90.2940,177.175,Above Sea Level,2020-11-01,21:28:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z670EQVjl6ak.json,Z6,RREEPPLLAACCEE/Z6/70/Z670EQVjl6ak.mp4,RREEPPLLAACCEE/Z6/70/Z670EQVjl6ak_small.mp4
Unavailable,31.0901,87.0544,30.065,Above Sea Level,2020-11-13,00:49:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z6C7150Oh1P5.json,Z6,RREEPPLLAACCEE/Z6/C7/Z6C7150Oh1P5.mp4,RREEPPLLAACCEE/Z6/C7/Z6C7150Oh1P5_small.mp4
Unavailable,41.1969,96.0614,364.648,Above Sea Level,2020-12-12,20:10:25,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z6DlhH8E3ue9.json,Z6,RREEPPLLAACCEE/Z6/Dl/Z6DlhH8E3ue9.mp4,RREEPPLLAACCEE/Z6/Dl/Z6DlhH8E3ue9_small.mp4
Unavailable,54.1777,.3143,51.55,Above Sea Level,2020-11-14,14:40:39,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z6G08e7G36G2.json,Z6,RREEPPLLAACCEE/Z6/G0/Z6G08e7G36G2.mp4,RREEPPLLAACCEE/Z6/G0/Z6G08e7G36G2_small.mp4
