Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Steven,0,0,0,Unavailable,2020-11-05,03:33:30,Unavailable,Unavailable,Unavailable,Unavailable,Steven,Steven,Steven,meta-8K2O4dJdlZ5Q.json,8K,RREEPPLLAACCEE/8K/2O/8K2O4dJdlZ5Q.mp4,RREEPPLLAACCEE/8K/2O/8K2O4dJdlZ5Q_small.mp4
automono,0,0,0,Unavailable,2020-11-28,18:02:32,Unavailable,Unavailable,Unavailable,Unavailable,automono,automono,automono,meta-8KdvHYDQKMnA.json,8K,RREEPPLLAACCEE/8K/dv/8KdvHYDQKMnA.mp4,RREEPPLLAACCEE/8K/dv/8KdvHYDQKMnA_small.mp4
melinachan,0,0,0,Unavailable,2020-08-10,23:50:44,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-8k4HQwT27obX.json,8k,RREEPPLLAACCEE/8k/4H/8k4HQwT27obX.mp4,RREEPPLLAACCEE/8k/4H/8k4HQwT27obX_small.mp4
Unavailable,26.2460,80.0938,2.395,Above Sea Level,2020-11-16,12:31:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8K7o6x3wnP8P.json,8K,RREEPPLLAACCEE/8K/7o/8K7o6x3wnP8P.mp4,RREEPPLLAACCEE/8K/7o/8K7o6x3wnP8P_small.mp4
Unavailable,40.7242,74.0508,0,Unavailable,2020-10-16,23:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8K9QTNiT2TD5.json,8K,RREEPPLLAACCEE/8K/9Q/8K9QTNiT2TD5.mp4,RREEPPLLAACCEE/8K/9Q/8K9QTNiT2TD5_small.mp4
Unavailable,40.1817,75.1154,0,Unavailable,2021-01-10,04:01:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KD7LSZzn0cM.json,8K,RREEPPLLAACCEE/8K/D7/8KD7LSZzn0cM.mp4,RREEPPLLAACCEE/8K/D7/8KD7LSZzn0cM_small.mp4
Unavailable,42.9744,85.6606,210.921,Above Sea Level,2020-12-27,07:10:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KG3BFRDnQ9s.json,8K,RREEPPLLAACCEE/8K/G3/8KG3BFRDnQ9s.mp4,RREEPPLLAACCEE/8K/G3/8KG3BFRDnQ9s_small.mp4
Unavailable,38.7457,91.9018,259.979,Above Sea Level,2020-09-06,20:10:35,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KHIwmSq7cBf.json,8K,RREEPPLLAACCEE/8K/HI/8KHIwmSq7cBf.mp4,RREEPPLLAACCEE/8K/HI/8KHIwmSq7cBf_small.mp4
Unavailable,36.3537,84.5855,0,Unavailable,2021-01-08,01:11:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KVGkru7D5q4.json,8K,RREEPPLLAACCEE/8K/VG/8KVGkru7D5q4.mp4,RREEPPLLAACCEE/8K/VG/8KVGkru7D5q4_small.mp4
Unavailable,35.8422,97.4287,0,Unavailable,2020-10-31,21:33:50,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KXqLuOGqsZF.json,8K,RREEPPLLAACCEE/8K/Xq/8KXqLuOGqsZF.mp4,RREEPPLLAACCEE/8K/Xq/8KXqLuOGqsZF_small.mp4
Unavailable,38.8898,77.0102,16.063,Above Sea Level,2021-01-07,12:28:45,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KdEh2A5hBi1.json,8K,RREEPPLLAACCEE/8K/dE/8KdEh2A5hBi1.mp4,RREEPPLLAACCEE/8K/dE/8KdEh2A5hBi1_small.mp4
Unavailable,47.2078,122.5164,74.855,Above Sea Level,2020-11-18,16:47:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KdnwEgu5Dak.json,8K,RREEPPLLAACCEE/8K/dn/8KdnwEgu5Dak.mp4,RREEPPLLAACCEE/8K/dn/8KdnwEgu5Dak_small.mp4
Unavailable,37.1155,113.4243,902.579,Above Sea Level,2019-09-23,19:53:15,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KkuheeAWTGw.json,8K,RREEPPLLAACCEE/8K/ku/8KkuheeAWTGw.mp4,RREEPPLLAACCEE/8K/ku/8KkuheeAWTGw_small.mp4
Unavailable,40.6960,99.0827,656.037,Above Sea Level,2020-11-07,19:57:43,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8Kl64314hhQJ.json,8K,RREEPPLLAACCEE/8K/l6/8Kl64314hhQJ.mp4,RREEPPLLAACCEE/8K/l6/8Kl64314hhQJ_small.mp4
Unavailable,32.3412,90.1580,0,Unavailable,2020-11-13,17:14:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-8KsMPD6QH4kb.json,8K,RREEPPLLAACCEE/8K/sM/8KsMPD6QH4kb.mp4,RREEPPLLAACCEE/8K/sM/8KsMPD6QH4kb_small.mp4
