Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordi,0,0,0,Unavailable,2020-08-06,17:42:15,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-NYS9ypzA5piI.json,NY,RREEPPLLAACCEE/NY/S9/NYS9ypzA5piI.mp4,RREEPPLLAACCEE/NY/S9/NYS9ypzA5piI_small.mp4
samira,0,0,0,Unavailable,2020-11-20,19:48:42,Unavailable,Unavailable,Unavailable,Unavailable,samira,samira,samira,meta-NyA21FxhvsP4.json,Ny,RREEPPLLAACCEE/Ny/A2/NyA21FxhvsP4.mp4,RREEPPLLAACCEE/Ny/A2/NyA21FxhvsP4_small.mp4
RTX-1,0,0,0,Unavailable,2021-01-01,22:36:22,Unavailable,Unavailable,Unavailable,Unavailable,RTX-1,RTX-1,RTX-1,meta-NyntgoyYltC8.json,Ny,RREEPPLLAACCEE/Ny/nt/NyntgoyYltC8.mp4,RREEPPLLAACCEE/Ny/nt/NyntgoyYltC8_small.mp4
markkavanagh,0,0,0,Unavailable,2020-10-25,19:17:34,Unavailable,Unavailable,Unavailable,Unavailable,markkavanagh,markkavanagh,markkavanagh,meta-nY0Ipgn0xroM.json,nY,RREEPPLLAACCEE/nY/0I/nY0Ipgn0xroM.mp4,RREEPPLLAACCEE/nY/0I/nY0Ipgn0xroM_small.mp4
mac,0,0,0,Unavailable,2020-10-26,03:52:06,Unavailable,,Unavailable,Unavailable,mac,mac,mac,meta-nYr4TkSPbHNm.json,nY,RREEPPLLAACCEE/nY/r4/nYr4TkSPbHNm.mp4,RREEPPLLAACCEE/nY/r4/nYr4TkSPbHNm_small.mp4
Unavailable,42.1609,87.9498,206.888,Above Sea Level,2020-10-02,19:29:58,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NY2Ah7HU1QY0.json,NY,RREEPPLLAACCEE/NY/2A/NY2Ah7HU1QY0.mp4,RREEPPLLAACCEE/NY/2A/NY2Ah7HU1QY0_small.mp4
Unavailable,27.3221,82.4936,2.493,Above Sea Level,2020-12-22,14:28:18,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NY7l9xy9tKiq.json,NY,RREEPPLLAACCEE/NY/7l/NY7l9xy9tKiq.mp4,RREEPPLLAACCEE/NY/7l/NY7l9xy9tKiq_small.mp4
Unavailable,34.1899,86.1824,324.951,Above Sea Level,2020-07-31,04:08:11,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYARXJBxV7D3.json,NY,RREEPPLLAACCEE/NY/AR/NYARXJBxV7D3.mp4,RREEPPLLAACCEE/NY/AR/NYARXJBxV7D3_small.mp4
Unavailable,33.6805,117.8611,0,Unavailable,2020-11-17,15:51:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYD1vf1jqyGW.json,NY,RREEPPLLAACCEE/NY/D1/NYD1vf1jqyGW.mp4,RREEPPLLAACCEE/NY/D1/NYD1vf1jqyGW_small.mp4
Unavailable,40.1862,79.8071,308.581,Above Sea Level,2020-10-10,23:33:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYFhX0yW00iY.json,NY,RREEPPLLAACCEE/NY/Fh/NYFhX0yW00iY.mp4,RREEPPLLAACCEE/NY/Fh/NYFhX0yW00iY_small.mp4
Unavailable,37.1334,113.3474,1006.99,Above Sea Level,2020-05-30,00:11:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYFlQOc0cyD7.json,NY,RREEPPLLAACCEE/NY/Fl/NYFlQOc0cyD7.mp4,RREEPPLLAACCEE/NY/Fl/NYFlQOc0cyD7_small.mp4
Unavailable,42.5939,83.9737,285.356,Above Sea Level,2021-01-06,15:12:44,Apple,iPhone 12 mini,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYLqmAxtGiSh.json,NY,RREEPPLLAACCEE/NY/Lq/NYLqmAxtGiSh.mp4,RREEPPLLAACCEE/NY/Lq/NYLqmAxtGiSh_small.mp4
Unavailable,29.7454,95.4812,20.718,Above Sea Level,2020-11-22,15:33:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYPvrZkDjLEZ.json,NY,RREEPPLLAACCEE/NY/Pv/NYPvrZkDjLEZ.mp4,RREEPPLLAACCEE/NY/Pv/NYPvrZkDjLEZ_small.mp4
Unavailable,33.5855,117.6835,160.851,Above Sea Level,2020-11-24,15:16:15,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYScEQvP4kdN.json,NY,RREEPPLLAACCEE/NY/Sc/NYScEQvP4kdN.mp4,RREEPPLLAACCEE/NY/Sc/NYScEQvP4kdN_small.mp4
Unavailable,36.1470,85.5048,331.803,Above Sea Level,2020-12-21,03:34:07,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYVlme04F1fc.json,NY,RREEPPLLAACCEE/NY/Vl/NYVlme04F1fc.mp4,RREEPPLLAACCEE/NY/Vl/NYVlme04F1fc_small.mp4
Unavailable,37.1498,113.4958,933.03,Above Sea Level,2020-11-01,21:51:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYcr00rGRyb7.json,NY,RREEPPLLAACCEE/NY/cr/NYcr00rGRyb7.mp4,RREEPPLLAACCEE/NY/cr/NYcr00rGRyb7_small.mp4
Unavailable,26.2461,80.0940,3.284,Above Sea Level,2020-12-10,02:51:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYgtUtLHv1YV.json,NY,RREEPPLLAACCEE/NY/gt/NYgtUtLHv1YV.mp4,RREEPPLLAACCEE/NY/gt/NYgtUtLHv1YV_small.mp4
Unavailable,39.6020,119.2540,0,Unavailable,2020-11-26,07:39:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYipGNDcTujx.json,NY,RREEPPLLAACCEE/NY/ip/NYipGNDcTujx.mp4,RREEPPLLAACCEE/NY/ip/NYipGNDcTujx_small.mp4
Unavailable,40.7400,73.9973,11.134,Above Sea Level,2020-11-02,18:34:26,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYkIDgVyww12.json,NY,RREEPPLLAACCEE/NY/kI/NYkIDgVyww12.mp4,RREEPPLLAACCEE/NY/kI/NYkIDgVyww12_small.mp4
Unavailable,50.7080,120.4027,349.527,Above Sea Level,2020-11-04,03:46:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYkrKwb9nk94.json,NY,RREEPPLLAACCEE/NY/kr/NYkrKwb9nk94.mp4,RREEPPLLAACCEE/NY/kr/NYkrKwb9nk94_small.mp4
Unavailable,35.9956,115.2519,786.768,Above Sea Level,2020-11-24,05:52:50,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYp4CtuNHeZj.json,NY,RREEPPLLAACCEE/NY/p4/NYp4CtuNHeZj.mp4,RREEPPLLAACCEE/NY/p4/NYp4CtuNHeZj_small.mp4
Unavailable,27.9212,82.7892,21.1,Above Sea Level,2020-07-26,21:01:59,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYri9PUtSSGB.json,NY,RREEPPLLAACCEE/NY/ri/NYri9PUtSSGB.mp4,RREEPPLLAACCEE/NY/ri/NYri9PUtSSGB_small.mp4
Unavailable,35.1588,129.1546,47.564,Above Sea Level,2020-11-15,22:14:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYs2VUYRGazR.json,NY,RREEPPLLAACCEE/NY/s2/NYs2VUYRGazR.mp4,RREEPPLLAACCEE/NY/s2/NYs2VUYRGazR_small.mp4
Unavailable,35.5033,81.9820,352.392,Above Sea Level,2020-12-12,14:13:13,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYtCzHLyK0Td.json,NY,RREEPPLLAACCEE/NY/tC/NYtCzHLyK0Td.mp4,RREEPPLLAACCEE/NY/tC/NYtCzHLyK0Td_small.mp4
Unavailable,35.8898,78.9474,82.625,Above Sea Level,2020-11-19,13:23:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYwi16Xk22Nc.json,NY,RREEPPLLAACCEE/NY/wi/NYwi16Xk22Nc.mp4,RREEPPLLAACCEE/NY/wi/NYwi16Xk22Nc_small.mp4
Unavailable,38.8945,77.0263,4.945,Above Sea Level,2020-11-14,18:29:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYxG8780xmDw.json,NY,RREEPPLLAACCEE/NY/xG/NYxG8780xmDw.mp4,RREEPPLLAACCEE/NY/xG/NYxG8780xmDw_small.mp4
Unavailable,34.0387,118.2682,71.297,Above Sea Level,2020-07-21,01:23:04,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NYzgbvPzq7Fm.json,NY,RREEPPLLAACCEE/NY/zg/NYzgbvPzq7Fm.mp4,RREEPPLLAACCEE/NY/zg/NYzgbvPzq7Fm_small.mp4
Unavailable,40.3196,79.9065,341.02,Above Sea Level,2020-12-09,00:56:46,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ny4D9UWgVVZ2.json,Ny,RREEPPLLAACCEE/Ny/4D/Ny4D9UWgVVZ2.mp4,RREEPPLLAACCEE/Ny/4D/Ny4D9UWgVVZ2_small.mp4
Unavailable,29.9793,81.7742,0,Unavailable,2020-11-15,01:56:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ny6Syg3Tgvtl.json,Ny,RREEPPLLAACCEE/Ny/6S/Ny6Syg3Tgvtl.mp4,RREEPPLLAACCEE/Ny/6S/Ny6Syg3Tgvtl_small.mp4
Unavailable,39.3073,75.6900,26.678,Above Sea Level,2020-08-28,20:26:02,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ny8HPX8H0Eld.json,Ny,RREEPPLLAACCEE/Ny/8H/Ny8HPX8H0Eld.mp4,RREEPPLLAACCEE/Ny/8H/Ny8HPX8H0Eld_small.mp4
Unavailable,34.2338,118.3739,272.213,Above Sea Level,2020-09-23,17:45:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ny9jh8BqU8Ag.json,Ny,RREEPPLLAACCEE/Ny/9j/Ny9jh8BqU8Ag.mp4,RREEPPLLAACCEE/Ny/9j/Ny9jh8BqU8Ag_small.mp4
Unavailable,47.7885,122.1563,84.87,Above Sea Level,2020-09-27,16:08:46,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyAWQjtz4SKu.json,Ny,RREEPPLLAACCEE/Ny/AW/NyAWQjtz4SKu.mp4,RREEPPLLAACCEE/Ny/AW/NyAWQjtz4SKu_small.mp4
Unavailable,26.4617,80.0607,6.609,Above Sea Level,2020-11-14,19:01:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyBTlZOK0E0C.json,Ny,RREEPPLLAACCEE/Ny/BT/NyBTlZOK0E0C.mp4,RREEPPLLAACCEE/Ny/BT/NyBTlZOK0E0C_small.mp4
Unavailable,30.5281,83.7984,30.021,Above Sea Level,2019-11-30,23:20:17,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyErGCxnNzTS.json,Ny,RREEPPLLAACCEE/Ny/Er/NyErGCxnNzTS.mp4,RREEPPLLAACCEE/Ny/Er/NyErGCxnNzTS_small.mp4
Unavailable,41.6482,86.2129,247.921,Above Sea Level,2019-11-01,05:08:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyFE5M57GNQl.json,Ny,RREEPPLLAACCEE/Ny/FE/NyFE5M57GNQl.mp4,RREEPPLLAACCEE/Ny/FE/NyFE5M57GNQl_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-11-19,19:03:12,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyIFBin8l3WC.json,Ny,RREEPPLLAACCEE/Ny/IF/NyIFBin8l3WC.mp4,RREEPPLLAACCEE/Ny/IF/NyIFBin8l3WC_small.mp4
Unavailable,31.9634,95.1878,179.562,Above Sea Level,2020-07-27,23:18:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyIgCmAF51cK.json,Ny,RREEPPLLAACCEE/Ny/Ig/NyIgCmAF51cK.mp4,RREEPPLLAACCEE/Ny/Ig/NyIgCmAF51cK_small.mp4
Unavailable,35.1267,80.7311,195.523,Above Sea Level,2020-11-13,17:08:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyJN2C8YtDB4.json,Ny,RREEPPLLAACCEE/Ny/JN/NyJN2C8YtDB4.mp4,RREEPPLLAACCEE/Ny/JN/NyJN2C8YtDB4_small.mp4
Unavailable,33.8760,84.6649,296.474,Above Sea Level,2020-12-31,19:51:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyLzCPk1bljq.json,Ny,RREEPPLLAACCEE/Ny/Lz/NyLzCPk1bljq.mp4,RREEPPLLAACCEE/Ny/Lz/NyLzCPk1bljq_small.mp4
Unavailable,40.3196,79.9066,285.681,Above Sea Level,2020-09-09,18:01:14,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NySBAdJQFc4m.json,Ny,RREEPPLLAACCEE/Ny/SB/NySBAdJQFc4m.mp4,RREEPPLLAACCEE/Ny/SB/NySBAdJQFc4m_small.mp4
Unavailable,39.2808,76.7639,137.82,Above Sea Level,2020-12-16,18:55:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyUDfXFYR96o.json,Ny,RREEPPLLAACCEE/Ny/UD/NyUDfXFYR96o.mp4,RREEPPLLAACCEE/Ny/UD/NyUDfXFYR96o_small.mp4
Unavailable,34.9177,85.1087,237.948,Above Sea Level,2020-11-16,16:34:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyV0y0Kb8Gly.json,Ny,RREEPPLLAACCEE/Ny/V0/NyV0y0Kb8Gly.mp4,RREEPPLLAACCEE/Ny/V0/NyV0y0Kb8Gly_small.mp4
Unavailable,34.3431,118.5348,0,Unavailable,2020-06-14,20:23:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NyXpYNQAPCXe.json,Ny,RREEPPLLAACCEE/Ny/Xp/NyXpYNQAPCXe.mp4,RREEPPLLAACCEE/Ny/Xp/NyXpYNQAPCXe_small.mp4
Unavailable,25.0708,55.1335,5.27,Above Sea Level,2020-12-05,09:10:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NydQOAcMyaLk.json,Ny,RREEPPLLAACCEE/Ny/dQ/NydQOAcMyaLk.mp4,RREEPPLLAACCEE/Ny/dQ/NydQOAcMyaLk_small.mp4
