Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Unavailable,31.9442,98.1183,388.439,Above Sea Level,2020-08-16,17:32:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Q8wlSjSdOct.json,9Q,RREEPPLLAACCEE/9Q/8w/9Q8wlSjSdOct.mp4,RREEPPLLAACCEE/9Q/8w/9Q8wlSjSdOct_small.mp4
Unavailable,42.0803,86.4613,192.953,Above Sea Level,2020-10-14,03:50:26,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QJ77zIskZ5R.json,9Q,RREEPPLLAACCEE/9Q/J7/9QJ77zIskZ5R.mp4,RREEPPLLAACCEE/9Q/J7/9QJ77zIskZ5R_small.mp4
Unavailable,45.4857,123.9746,101.679,Above Sea Level,2020-08-12,23:55:36,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QO4cxVgxWop.json,9Q,RREEPPLLAACCEE/9Q/O4/9QO4cxVgxWop.mp4,RREEPPLLAACCEE/9Q/O4/9QO4cxVgxWop_small.mp4
Unavailable,25.9468,80.1615,4.033,Above Sea Level,2021-01-09,01:06:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QP3nxw0h05C.json,9Q,RREEPPLLAACCEE/9Q/P3/9QP3nxw0h05C.mp4,RREEPPLLAACCEE/9Q/P3/9QP3nxw0h05C_small.mp4
Unavailable,34.0780,79.8039,35.765,Above Sea Level,2020-12-03,04:17:50,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QY6f5PZOSke.json,9Q,RREEPPLLAACCEE/9Q/Y6/9QY6f5PZOSke.mp4,RREEPPLLAACCEE/9Q/Y6/9QY6f5PZOSke_small.mp4
Unavailable,36.8411,76.1204,5.019,Above Sea Level,2020-12-13,02:48:59,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QclOkIJMM01.json,9Q,RREEPPLLAACCEE/9Q/cl/9QclOkIJMM01.mp4,RREEPPLLAACCEE/9Q/cl/9QclOkIJMM01_small.mp4
Unavailable,33.8787,84.2457,296.567,Above Sea Level,2020-12-30,22:36:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QkLeeD1AsO4.json,9Q,RREEPPLLAACCEE/9Q/kL/9QkLeeD1AsO4.mp4,RREEPPLLAACCEE/9Q/kL/9QkLeeD1AsO4_small.mp4
Unavailable,35.9309,86.8556,202.439,Above Sea Level,2021-01-07,01:47:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QmV0a7XXU6c.json,9Q,RREEPPLLAACCEE/9Q/mV/9QmV0a7XXU6c.mp4,RREEPPLLAACCEE/9Q/mV/9QmV0a7XXU6c_small.mp4
Unavailable,33.4907,117.6681,23.103,Above Sea Level,2020-07-22,22:32:53,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9QyfctFQr5dv.json,9Q,RREEPPLLAACCEE/9Q/yf/9QyfctFQr5dv.mp4,RREEPPLLAACCEE/9Q/yf/9QyfctFQr5dv_small.mp4
Unavailable,38.4080,75.0584,4.247,Above Sea Level,2020-09-21,15:04:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9q04Jc1NO7Pr.json,9q,RREEPPLLAACCEE/9q/04/9q04Jc1NO7Pr.mp4,RREEPPLLAACCEE/9q/04/9q04Jc1NO7Pr_small.mp4
