Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
rachelosullivan,0,0,0,Unavailable,2020-11-09,16:43:19,Unavailable,Unavailable,Unavailable,Unavailable,rachelosullivan,rachelosullivan,rachelosullivan,meta-TadSzmpqYO13.json,Ta,RREEPPLLAACCEE/Ta/dS/TadSzmpqYO13.mp4,RREEPPLLAACCEE/Ta/dS/TadSzmpqYO13_small.mp4
vince,0,0,0,Unavailable,2020-11-08,08:38:11,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-taLLguoSYxkR.json,ta,RREEPPLLAACCEE/ta/LL/taLLguoSYxkR.mp4,RREEPPLLAACCEE/ta/LL/taLLguoSYxkR_small.mp4
Unavailable,37.9661,100.8360,860.775,Above Sea Level,2020-12-28,18:08:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TA4iqXws7tN0.json,TA,RREEPPLLAACCEE/TA/4i/TA4iqXws7tN0.mp4,RREEPPLLAACCEE/TA/4i/TA4iqXws7tN0_small.mp4
Unavailable,40.6328,73.6459,3.287,Above Sea Level,2020-11-20,00:08:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TA88jRjLzC4x.json,TA,RREEPPLLAACCEE/TA/88/TA88jRjLzC4x.mp4,RREEPPLLAACCEE/TA/88/TA88jRjLzC4x_small.mp4
Unavailable,41.2511,73.9299,16.15,Above Sea Level,2020-07-06,22:45:33,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TABgkTp2tU7Q.json,TA,RREEPPLLAACCEE/TA/Bg/TABgkTp2tU7Q.mp4,RREEPPLLAACCEE/TA/Bg/TABgkTp2tU7Q_small.mp4
Unavailable,40.7251,73.6001,34.004,Above Sea Level,2020-12-15,17:09:07,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TABrrf6gDpqk.json,TA,RREEPPLLAACCEE/TA/Br/TABrrf6gDpqk.mp4,RREEPPLLAACCEE/TA/Br/TABrrf6gDpqk_small.mp4
Unavailable,38.2455,104.6347,0,Unavailable,2020-12-02,01:53:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAC0syDBiMwQ.json,TA,RREEPPLLAACCEE/TA/C0/TAC0syDBiMwQ.mp4,RREEPPLLAACCEE/TA/C0/TAC0syDBiMwQ_small.mp4
Unavailable,42.7011,73.9679,101.366,Above Sea Level,2021-01-10,14:19:33,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TACTw8BO1fSU.json,TA,RREEPPLLAACCEE/TA/CT/TACTw8BO1fSU.mp4,RREEPPLLAACCEE/TA/CT/TACTw8BO1fSU_small.mp4
Unavailable,47.6179,122.3482,39.127,Above Sea Level,2020-11-12,04:13:31,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAEidzZK2Gvr.json,TA,RREEPPLLAACCEE/TA/Ei/TAEidzZK2Gvr.mp4,RREEPPLLAACCEE/TA/Ei/TAEidzZK2Gvr_small.mp4
Unavailable,32.8755,117.2290,0,Unavailable,2020-11-28,10:21:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAEtJJavPNoQ.json,TA,RREEPPLLAACCEE/TA/Et/TAEtJJavPNoQ.mp4,RREEPPLLAACCEE/TA/Et/TAEtJJavPNoQ_small.mp4
Unavailable,44.1004,103.1459,964.492,Above Sea Level,2020-10-26,12:12:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAIupp5XRMc6.json,TA,RREEPPLLAACCEE/TA/Iu/TAIupp5XRMc6.mp4,RREEPPLLAACCEE/TA/Iu/TAIupp5XRMc6_small.mp4
Unavailable,38.8956,77.0312,7.584,Above Sea Level,2020-12-12,17:48:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAKtb14w1293.json,TA,RREEPPLLAACCEE/TA/Kt/TAKtb14w1293.mp4,RREEPPLLAACCEE/TA/Kt/TAKtb14w1293_small.mp4
Unavailable,40.1605,74.9349,64.099,Above Sea Level,2020-06-28,17:59:09,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TALFMmPSJZAn.json,TA,RREEPPLLAACCEE/TA/LF/TALFMmPSJZAn.mp4,RREEPPLLAACCEE/TA/LF/TALFMmPSJZAn_small.mp4
Unavailable,47.2966,117.9774,0,Unavailable,2020-10-19,15:08:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TAaxKSZ57Bd2.json,TA,RREEPPLLAACCEE/TA/ax/TAaxKSZ57Bd2.mp4,RREEPPLLAACCEE/TA/ax/TAaxKSZ57Bd2_small.mp4
