Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
remote,0,0,0,Unavailable,2020-12-04,17:55:25,Canon,,,,remote,remote,remote,meta-Qk6A5vO0vfZc.json,Qk,RREEPPLLAACCEE/Qk/6A/Qk6A5vO0vfZc.mp4,RREEPPLLAACCEE/Qk/6A/Qk6A5vO0vfZc_small.mp4
mosaicvideotower1,0,0,0,Unavailable,2020-10-26,00:43:06,Unavailable,Unavailable,Unavailable,Unavailable,mosaicvideotower1,mosaicvideotower1,mosaicvideotower1,meta-QkLRl5cynvyA.json,Qk,RREEPPLLAACCEE/Qk/LR/QkLRl5cynvyA.mp4,RREEPPLLAACCEE/Qk/LR/QkLRl5cynvyA_small.mp4
andre,0,0,0,Unavailable,2020-12-19,22:32:49,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-qKQuz2ZA23n4.json,qK,RREEPPLLAACCEE/qK/Qu/qKQuz2ZA23n4.mp4,RREEPPLLAACCEE/qK/Qu/qKQuz2ZA23n4_small.mp4
Anna Nguyen,0,0,0,Unavailable,2020-11-16,02:17:50,Unavailable,Unavailable,Unavailable,Unavailable,Anna Nguyen,Anna Nguyen,Anna Nguyen,meta-qKsSvytr7cO2.json,qK,RREEPPLLAACCEE/qK/sS/qKsSvytr7cO2.mp4,RREEPPLLAACCEE/qK/sS/qKsSvytr7cO2_small.mp4
Unavailable,39.4054,76.9057,148.658,Above Sea Level,2020-11-05,17:43:00,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QK2yfS5uTMq6.json,QK,RREEPPLLAACCEE/QK/2y/QK2yfS5uTMq6.mp4,RREEPPLLAACCEE/QK/2y/QK2yfS5uTMq6_small.mp4
Unavailable,38.0970,85.8169,0,Unavailable,2020-12-23,19:58:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QK4pUV23LpDD.json,QK,RREEPPLLAACCEE/QK/4p/QK4pUV23LpDD.mp4,RREEPPLLAACCEE/QK/4p/QK4pUV23LpDD_small.mp4
Unavailable,35.2701,90.4771,0,Unavailable,2020-12-15,20:33:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKA5VmE23PhQ.json,QK,RREEPPLLAACCEE/QK/A5/QKA5VmE23PhQ.mp4,RREEPPLLAACCEE/QK/A5/QKA5VmE23PhQ_small.mp4
Unavailable,39.0375,106.3027,2808.924,Above Sea Level,2020-09-25,22:20:59,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKAZgleV0QI6.json,QK,RREEPPLLAACCEE/QK/AZ/QKAZgleV0QI6.mp4,RREEPPLLAACCEE/QK/AZ/QKAZgleV0QI6_small.mp4
Unavailable,26.7678,82.0473,1.685,Above Sea Level,2020-11-07,19:59:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKCWiAvMVIjT.json,QK,RREEPPLLAACCEE/QK/CW/QKCWiAvMVIjT.mp4,RREEPPLLAACCEE/QK/CW/QKCWiAvMVIjT_small.mp4
Unavailable,40.5851,124.1562,8.643,Above Sea Level,2020-12-03,19:23:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKGFdyJnMov8.json,QK,RREEPPLLAACCEE/QK/GF/QKGFdyJnMov8.mp4,RREEPPLLAACCEE/QK/GF/QKGFdyJnMov8_small.mp4
Unavailable,39.7635,74.2958,40.555,Above Sea Level,2020-10-30,18:01:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKHy7vD1DACQ.json,QK,RREEPPLLAACCEE/QK/Hy/QKHy7vD1DACQ.mp4,RREEPPLLAACCEE/QK/Hy/QKHy7vD1DACQ_small.mp4
Unavailable,36.0358,86.5410,162.926,Above Sea Level,2020-11-19,23:47:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKL7RnqPxIsB.json,QK,RREEPPLLAACCEE/QK/L7/QKL7RnqPxIsB.mp4,RREEPPLLAACCEE/QK/L7/QKL7RnqPxIsB_small.mp4
Unavailable,42.9882,87.9790,208.111,Above Sea Level,2020-11-14,18:48:02,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKN1pEqZ0Lwp.json,QK,RREEPPLLAACCEE/QK/N1/QKN1pEqZ0Lwp.mp4,RREEPPLLAACCEE/QK/N1/QKN1pEqZ0Lwp_small.mp4
Unavailable,26.7878,80.3013,4.892,Above Sea Level,2020-12-11,13:36:51,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKWyo7H2j4Cw.json,QK,RREEPPLLAACCEE/QK/Wy/QKWyo7H2j4Cw.mp4,RREEPPLLAACCEE/QK/Wy/QKWyo7H2j4Cw_small.mp4
Unavailable,36.2075,86.3111,171.101,Above Sea Level,2020-07-02,19:48:39,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKbCTYBZeerB.json,QK,RREEPPLLAACCEE/QK/bC/QKbCTYBZeerB.mp4,RREEPPLLAACCEE/QK/bC/QKbCTYBZeerB_small.mp4
Unavailable,40.7602,72.8512,0,Unavailable,2021-01-02,06:32:55,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKbeMd0AqvBz.json,QK,RREEPPLLAACCEE/QK/be/QKbeMd0AqvBz.mp4,RREEPPLLAACCEE/QK/be/QKbeMd0AqvBz_small.mp4
Unavailable,30.4741,90.9669,14.85,Above Sea Level,2020-11-20,15:18:52,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKbvsnj92mct.json,QK,RREEPPLLAACCEE/QK/bv/QKbvsnj92mct.mp4,RREEPPLLAACCEE/QK/bv/QKbvsnj92mct_small.mp4
Unavailable,37.6355,122.1132,8.806,Above Sea Level,2020-07-23,21:38:39,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKdlXtbVzQ9N.json,QK,RREEPPLLAACCEE/QK/dl/QKdlXtbVzQ9N.mp4,RREEPPLLAACCEE/QK/dl/QKdlXtbVzQ9N_small.mp4
Unavailable,48.2926,122.6708,0,Unavailable,2020-08-28,00:24:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKeZiA971m6H.json,QK,RREEPPLLAACCEE/QK/eZ/QKeZiA971m6H.mp4,RREEPPLLAACCEE/QK/eZ/QKeZiA971m6H_small.mp4
Unavailable,32.7581,107.8554,0,Unavailable,2020-11-18,16:41:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKghNqWYh2IU.json,QK,RREEPPLLAACCEE/QK/gh/QKghNqWYh2IU.mp4,RREEPPLLAACCEE/QK/gh/QKghNqWYh2IU_small.mp4
Unavailable,38.4439,77.4640,82.777,Above Sea Level,2020-12-19,20:31:00,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKpZxKWDsGqd.json,QK,RREEPPLLAACCEE/QK/pZ/QKpZxKWDsGqd.mp4,RREEPPLLAACCEE/QK/pZ/QKpZxKWDsGqd_small.mp4
Unavailable,41.5311,73.9046,68.952,Above Sea Level,2021-01-07,01:04:41,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKppjLMqtXwn.json,QK,RREEPPLLAACCEE/QK/pp/QKppjLMqtXwn.mp4,RREEPPLLAACCEE/QK/pp/QKppjLMqtXwn_small.mp4
Unavailable,40.3196,79.9065,285.573,Above Sea Level,2021-01-01,17:55:23,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QKqoivbv3Mpf.json,QK,RREEPPLLAACCEE/QK/qo/QKqoivbv3Mpf.mp4,RREEPPLLAACCEE/QK/qo/QKqoivbv3Mpf_small.mp4
