Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
pearceoshea,0,0,0,Unavailable,2020-08-25,08:52:48,Unavailable,Unavailable,Unavailable,Unavailable,pearceoshea,pearceoshea,pearceoshea,meta-tUATbq1oXFu7.json,tU,RREEPPLLAACCEE/tU/AT/tUATbq1oXFu7.mp4,RREEPPLLAACCEE/tU/AT/tUATbq1oXFu7_small.mp4
Mitch,0,0,0,Unavailable,2020-10-07,17:30:24,Unavailable,Unavailable,Unavailable,Unavailable,tezbl,tezbl,tezbl,meta-tUVKGEzSOGXj.json,tU,RREEPPLLAACCEE/tU/VK/tUVKGEzSOGXj.mp4,RREEPPLLAACCEE/tU/VK/tUVKGEzSOGXj_small.mp4
Joel,0,0,0,Unavailable,2020-12-05,19:07:52,Unavailable,Unavailable,Unavailable,Unavailable,Joel,Joel,Joel,meta-tu4q1kHVcsyX.json,tu,RREEPPLLAACCEE/tu/4q/tu4q1kHVcsyX.mp4,RREEPPLLAACCEE/tu/4q/tu4q1kHVcsyX_small.mp4
nicksidor,0,0,0,Unavailable,2020-12-02,21:33:23,Unavailable,Unavailable,Unavailable,Unavailable,nicksidor,nicksidor,nicksidor,meta-tutmzSrLjyHV.json,tu,RREEPPLLAACCEE/tu/tm/tutmzSrLjyHV.mp4,RREEPPLLAACCEE/tu/tm/tutmzSrLjyHV_small.mp4
Unavailable,40.6624,80.2398,227.84,Above Sea Level,2020-12-16,20:49:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TU6hFQCv8VW2.json,TU,RREEPPLLAACCEE/TU/6h/TU6hFQCv8VW2.mp4,RREEPPLLAACCEE/TU/6h/TU6hFQCv8VW2_small.mp4
Unavailable,40.1257,74.3533,37.87,Above Sea Level,2020-10-16,18:36:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TU6vwiW3g4aZ.json,TU,RREEPPLLAACCEE/TU/6v/TU6vwiW3g4aZ.mp4,RREEPPLLAACCEE/TU/6v/TU6vwiW3g4aZ_small.mp4
Unavailable,38.9650,92.2568,0,Unavailable,2020-11-25,00:45:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TU9YhekktMiX.json,TU,RREEPPLLAACCEE/TU/9Y/TU9YhekktMiX.mp4,RREEPPLLAACCEE/TU/9Y/TU9YhekktMiX_small.mp4
Unavailable,29.6773,95.1264,11.491,Above Sea Level,2020-11-14,22:00:38,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUBvMP7EXYOH.json,TU,RREEPPLLAACCEE/TU/Bv/TUBvMP7EXYOH.mp4,RREEPPLLAACCEE/TU/Bv/TUBvMP7EXYOH_small.mp4
Unavailable,45.5142,122.6752,0,Unavailable,2020-11-12,22:57:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUJ14bqp4bra.json,TU,RREEPPLLAACCEE/TU/J1/TUJ14bqp4bra.mp4,RREEPPLLAACCEE/TU/J1/TUJ14bqp4bra_small.mp4
Unavailable,39.1082,106.5654,3688.89,Above Sea Level,2020-06-20,20:00:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUMROTwGsHPp.json,TU,RREEPPLLAACCEE/TU/MR/TUMROTwGsHPp.mp4,RREEPPLLAACCEE/TU/MR/TUMROTwGsHPp_small.mp4
Unavailable,34.4176,118.5614,345.315,Above Sea Level,2020-10-25,00:28:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUXHFszRw6Nn.json,TU,RREEPPLLAACCEE/TU/XH/TUXHFszRw6Nn.mp4,RREEPPLLAACCEE/TU/XH/TUXHFszRw6Nn_small.mp4
Unavailable,36.2176,115.1544,642.487,Above Sea Level,2020-11-06,04:08:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUZqlTbReVnK.json,TU,RREEPPLLAACCEE/TU/Zq/TUZqlTbReVnK.mp4,RREEPPLLAACCEE/TU/Zq/TUZqlTbReVnK_small.mp4
Unavailable,30.2313,93.2117,4.798,Above Sea Level,2020-11-13,01:39:03,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUdBMBLsswh5.json,TU,RREEPPLLAACCEE/TU/dB/TUdBMBLsswh5.mp4,RREEPPLLAACCEE/TU/dB/TUdBMBLsswh5_small.mp4
Unavailable,33.4810,112.0781,335.696,Above Sea Level,2020-09-24,13:48:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUm9vr6DS54I.json,TU,RREEPPLLAACCEE/TU/m9/TUm9vr6DS54I.mp4,RREEPPLLAACCEE/TU/m9/TUm9vr6DS54I_small.mp4
Unavailable,29.9765,95.6140,41.28,Above Sea Level,2020-06-21,01:44:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TUvFnxdUrwFH.json,TU,RREEPPLLAACCEE/TU/vF/TUvFnxdUrwFH.mp4,RREEPPLLAACCEE/TU/vF/TUvFnxdUrwFH_small.mp4
Unavailable,35.1913,120.7204,43.959,Above Sea Level,2020-08-13,13:18:27,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tu1dmQQA9ACk.json,Tu,RREEPPLLAACCEE/Tu/1d/Tu1dmQQA9ACk.mp4,RREEPPLLAACCEE/Tu/1d/Tu1dmQQA9ACk_small.mp4
Unavailable,20.4756,40.3642,9.41,Above Sea Level,2020-02-24,00:24:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tu5wRhLZs7pl.json,Tu,RREEPPLLAACCEE/Tu/5w/Tu5wRhLZs7pl.mp4,RREEPPLLAACCEE/Tu/5w/Tu5wRhLZs7pl_small.mp4
Unavailable,28.1869,82.7398,0,Unavailable,2020-12-03,17:40:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tu7bTPCFXg20.json,Tu,RREEPPLLAACCEE/Tu/7b/Tu7bTPCFXg20.mp4,RREEPPLLAACCEE/Tu/7b/Tu7bTPCFXg20_small.mp4
Unavailable,39.0286,89.7556,0,Unavailable,2020-09-26,17:00:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TuCvwkio5xm2.json,Tu,RREEPPLLAACCEE/Tu/Cv/TuCvwkio5xm2.mp4,RREEPPLLAACCEE/Tu/Cv/TuCvwkio5xm2_small.mp4
Unavailable,47.5356,122.0203,139.199,Above Sea Level,2020-06-29,20:33:15,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TuExQhFrKPRE.json,Tu,RREEPPLLAACCEE/Tu/Ex/TuExQhFrKPRE.mp4,RREEPPLLAACCEE/Tu/Ex/TuExQhFrKPRE_small.mp4
Unavailable,34.5702,118.6882,781.21,Above Sea Level,2020-10-28,23:36:42,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TuH86bFQEq6B.json,Tu,RREEPPLLAACCEE/Tu/H8/TuH86bFQEq6B.mp4,RREEPPLLAACCEE/Tu/H8/TuH86bFQEq6B_small.mp4
Unavailable,40.3198,79.9067,285.092,Above Sea Level,2020-10-09,17:40:14,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TuP3XiLssVd1.json,Tu,RREEPPLLAACCEE/Tu/P3/TuP3XiLssVd1.mp4,RREEPPLLAACCEE/Tu/P3/TuP3XiLssVd1_small.mp4
Unavailable,32.8304,83.7224,143.454,Above Sea Level,2020-10-03,15:18:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TuPGyQBtJF0J.json,Tu,RREEPPLLAACCEE/Tu/PG/TuPGyQBtJF0J.mp4,RREEPPLLAACCEE/Tu/PG/TuPGyQBtJF0J_small.mp4
Unavailable,28.2384,80.7505,8.07,Above Sea Level,2019-12-02,19:56:57,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tugn23oiVvtL.json,Tu,RREEPPLLAACCEE/Tu/gn/Tugn23oiVvtL.mp4,RREEPPLLAACCEE/Tu/gn/Tugn23oiVvtL_small.mp4
Unavailable,39.5058,119.8077,1365.433,Above Sea Level,2020-12-02,20:26:52,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Tui2Hbfx86R7.json,Tu,RREEPPLLAACCEE/Tu/i2/Tui2Hbfx86R7.mp4,RREEPPLLAACCEE/Tu/i2/Tui2Hbfx86R7_small.mp4
Unavailable,35.8482,80.8385,255.265,Above Sea Level,2020-10-05,01:32:17,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUCmWqBYNtjH.json,tU,RREEPPLLAACCEE/tU/Cm/tUCmWqBYNtjH.mp4,RREEPPLLAACCEE/tU/Cm/tUCmWqBYNtjH_small.mp4
Unavailable,35.8482,80.8382,255.199,Above Sea Level,2020-10-22,23:38:51,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUDF04yiLYp7.json,tU,RREEPPLLAACCEE/tU/DF/tUDF04yiLYp7.mp4,RREEPPLLAACCEE/tU/DF/tUDF04yiLYp7_small.mp4
Unavailable,33.0698,97.0530,189.446,Above Sea Level,2020-11-06,01:06:27,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUHGbXIjGLiG.json,tU,RREEPPLLAACCEE/tU/HG/tUHGbXIjGLiG.mp4,RREEPPLLAACCEE/tU/HG/tUHGbXIjGLiG_small.mp4
Unavailable,30.2439,89.7808,0,Unavailable,2020-11-13,21:17:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUL6zs7UzQbB.json,tU,RREEPPLLAACCEE/tU/L6/tUL6zs7UzQbB.mp4,RREEPPLLAACCEE/tU/L6/tUL6zs7UzQbB_small.mp4
Unavailable,53.6928,1.4017,30.029,Above Sea Level,2020-08-09,17:28:43,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUMYgBqlgI7M.json,tU,RREEPPLLAACCEE/tU/MY/tUMYgBqlgI7M.mp4,RREEPPLLAACCEE/tU/MY/tUMYgBqlgI7M_small.mp4
Unavailable,39.9996,105.0156,0,Unavailable,2020-12-22,23:03:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUN8uPM7NS5E.json,tU,RREEPPLLAACCEE/tU/N8/tUN8uPM7NS5E.mp4,RREEPPLLAACCEE/tU/N8/tUN8uPM7NS5E_small.mp4
Unavailable,43.9179,78.6871,105.65,Above Sea Level,2020-06-27,17:27:23,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUNzsFaQqLPp.json,tU,RREEPPLLAACCEE/tU/Nz/tUNzsFaQqLPp.mp4,RREEPPLLAACCEE/tU/Nz/tUNzsFaQqLPp_small.mp4
Unavailable,38.9030,77.0364,18.592,Above Sea Level,2020-11-15,06:57:34,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUPqUzLdXiYy.json,tU,RREEPPLLAACCEE/tU/Pq/tUPqUzLdXiYy.mp4,RREEPPLLAACCEE/tU/Pq/tUPqUzLdXiYy_small.mp4
Unavailable,54.0528,2.7826,60.7,Above Sea Level,2020-06-21,11:50:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUSBdOTsTsus.json,tU,RREEPPLLAACCEE/tU/SB/tUSBdOTsTsus.mp4,RREEPPLLAACCEE/tU/SB/tUSBdOTsTsus_small.mp4
Unavailable,28.9068,82.4697,32.852,Above Sea Level,2020-12-31,23:36:10,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-tUT4vQt1VQRg.json,tU,RREEPPLLAACCEE/tU/T4/tUT4vQt1VQRg.mp4,RREEPPLLAACCEE/tU/T4/tUT4vQt1VQRg_small.mp4
