Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
phenomimac2018,0,0,0,Unavailable,2020-10-17,20:09:24,Canon,,,,mihail,phenomimac2018,phenomimac2018,meta-LLY5K8PEm606.json,LL,RREEPPLLAACCEE/LL/Y5/LLY5K8PEm606.mp4,RREEPPLLAACCEE/LL/Y5/LLY5K8PEm606_small.mp4
philvalentine,0,0,0,Unavailable,2020-09-13,19:24:00,Unavailable,Unavailable,Unavailable,Unavailable,philvalentine,philvalentine,philvalentine,meta-LLwdfgggJYTI.json,LL,RREEPPLLAACCEE/LL/wd/LLwdfgggJYTI.mp4,RREEPPLLAACCEE/LL/wd/LLwdfgggJYTI_small.mp4
editor01,0,0,0,Unavailable,2020-08-23,17:16:50,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-Ll4tBCBHejth.json,Ll,RREEPPLLAACCEE/Ll/4t/Ll4tBCBHejth.mp4,RREEPPLLAACCEE/Ll/4t/Ll4tBCBHejth_small.mp4
Joe,0,0,0,Unavailable,2007-01-09,06:58:12,Unavailable,Unavailable,Unavailable,Unavailable,Joe,Joe,Joe,meta-Ll66M4FvRTVq.json,Ll,RREEPPLLAACCEE/Ll/66/Ll66M4FvRTVq.mp4,RREEPPLLAACCEE/Ll/66/Ll66M4FvRTVq_small.mp4
cmckee,0,0,0,Unavailable,2020-11-11,01:14:10,Unavailable,Unavailable,Unavailable,Unavailable,cmckee,cmckee,cmckee,meta-LlGufzlfsbvA.json,Ll,RREEPPLLAACCEE/Ll/Gu/LlGufzlfsbvA.mp4,RREEPPLLAACCEE/Ll/Gu/LlGufzlfsbvA_small.mp4
jordi,0,0,0,Unavailable,2020-10-17,09:43:54,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-LlsY8xPStz5H.json,Ll,RREEPPLLAACCEE/Ll/sY/LlsY8xPStz5H.mp4,RREEPPLLAACCEE/Ll/sY/LlsY8xPStz5H_small.mp4
cmckee,0,0,0,Unavailable,2020-12-21,23:09:55,Unavailable,Unavailable,Unavailable,Unavailable,cmckee,cmckee,cmckee,meta-lLbbtkMHoqb3.json,lL,RREEPPLLAACCEE/lL/bb/lLbbtkMHoqb3.mp4,RREEPPLLAACCEE/lL/bb/lLbbtkMHoqb3_small.mp4
admin,0,0,0,Unavailable,2020-04-01,04:58:05,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-lLzr8wjY37Yu.json,lL,RREEPPLLAACCEE/lL/zr/lLzr8wjY37Yu.mp4,RREEPPLLAACCEE/lL/zr/lLzr8wjY37Yu_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-26,03:37:00,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-llusIj5tyWtv.json,ll,RREEPPLLAACCEE/ll/us/llusIj5tyWtv.mp4,RREEPPLLAACCEE/ll/us/llusIj5tyWtv_small.mp4
joebiggs,0,0,0,Unavailable,2020-03-30,18:05:18,Unavailable,Unavailable,Unavailable,Unavailable,joebiggs,joebiggs,joebiggs,meta-llwThwDmpTPZ.json,ll,RREEPPLLAACCEE/ll/wT/llwThwDmpTPZ.mp4,RREEPPLLAACCEE/ll/wT/llwThwDmpTPZ_small.mp4
Unavailable,39.9245,76.7272,204.322,Above Sea Level,2020-11-17,01:55:56,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LL1AOBYIukfT.json,LL,RREEPPLLAACCEE/LL/1A/LL1AOBYIukfT.mp4,RREEPPLLAACCEE/LL/1A/LL1AOBYIukfT_small.mp4
Unavailable,44.7775,120.2051,553.209,Above Sea Level,2020-11-16,14:39:18,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LL3IUfzamARb.json,LL,RREEPPLLAACCEE/LL/3I/LL3IUfzamARb.mp4,RREEPPLLAACCEE/LL/3I/LL3IUfzamARb_small.mp4
Unavailable,41.6224,81.4694,195.762,Above Sea Level,2020-11-14,19:36:30,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LL6ehn3XAXxm.json,LL,RREEPPLLAACCEE/LL/6e/LL6ehn3XAXxm.mp4,RREEPPLLAACCEE/LL/6e/LL6ehn3XAXxm_small.mp4
Unavailable,30.8695,84.1473,0,Unavailable,2020-12-15,14:22:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLCqMKT39Cq8.json,LL,RREEPPLLAACCEE/LL/Cq/LLCqMKT39Cq8.mp4,RREEPPLLAACCEE/LL/Cq/LLCqMKT39Cq8_small.mp4
Unavailable,38.8279,84.6365,262.938,Above Sea Level,2020-11-23,03:29:09,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLDs0wV855wY.json,LL,RREEPPLLAACCEE/LL/Ds/LLDs0wV855wY.mp4,RREEPPLLAACCEE/LL/Ds/LLDs0wV855wY_small.mp4
Unavailable,1.2606,48.3722,0.713,Above Sea Level,2020-07-15,18:10:38,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLKR592hI271.json,LL,RREEPPLLAACCEE/LL/KR/LLKR592hI271.mp4,RREEPPLLAACCEE/LL/KR/LLKR592hI271_small.mp4
Unavailable,32.8597,97.2615,188.344,Above Sea Level,2020-11-23,23:00:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLLkUp9pg6sv.json,LL,RREEPPLLAACCEE/LL/Lk/LLLkUp9pg6sv.mp4,RREEPPLLAACCEE/LL/Lk/LLLkUp9pg6sv_small.mp4
Unavailable,30.3972,86.6324,4.873,Above Sea Level,2021-01-01,15:51:46,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLO9eUlhEYhS.json,LL,RREEPPLLAACCEE/LL/O9/LLO9eUlhEYhS.mp4,RREEPPLLAACCEE/LL/O9/LLO9eUlhEYhS_small.mp4
Unavailable,38.8956,77.0312,7.584,Above Sea Level,2020-12-12,17:48:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLU4iHI0QJHD.json,LL,RREEPPLLAACCEE/LL/U4/LLU4iHI0QJHD.mp4,RREEPPLLAACCEE/LL/U4/LLU4iHI0QJHD_small.mp4
Unavailable,33.9098,117.8491,123.224,Above Sea Level,2020-10-26,23:48:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLWnJ7NayO9v.json,LL,RREEPPLLAACCEE/LL/Wn/LLWnJ7NayO9v.mp4,RREEPPLLAACCEE/LL/Wn/LLWnJ7NayO9v_small.mp4
Unavailable,41.1374,85.1847,257.408,Above Sea Level,2021-01-09,15:28:15,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLX3KP0YWjHm.json,LL,RREEPPLLAACCEE/LL/X3/LLX3KP0YWjHm.mp4,RREEPPLLAACCEE/LL/X3/LLX3KP0YWjHm_small.mp4
Unavailable,40.2423,75.3555,77.42,Above Sea Level,2021-01-09,03:34:20,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLXAAG8G9kpd.json,LL,RREEPPLLAACCEE/LL/XA/LLXAAG8G9kpd.mp4,RREEPPLLAACCEE/LL/XA/LLXAAG8G9kpd_small.mp4
Unavailable,3.0542,59.9878,55.657,Above Sea Level,2020-08-30,16:19:58,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LLXVrJpRLZuw.json,LL,RREEPPLLAACCEE/LL/XV/LLXVrJpRLZuw.mp4,RREEPPLLAACCEE/LL/XV/LLXVrJpRLZuw_small.mp4
