Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
phili,0,0,0,Unavailable,2020-12-07,14:20:55,Unavailable,,Unavailable,Unavailable,phili,phili,phili,meta-StPjfNGM7TNv.json,St,RREEPPLLAACCEE/St/Pj/StPjfNGM7TNv.mp4,RREEPPLLAACCEE/St/Pj/StPjfNGM7TNv_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-04,15:08:09,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-Stpzkboh1wTo.json,St,RREEPPLLAACCEE/St/pz/Stpzkboh1wTo.mp4,RREEPPLLAACCEE/St/pz/Stpzkboh1wTo_small.mp4
Melanie,0,0,0,Unavailable,2021-01-07,20:20:29,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-sTVLsdc7U7iG.json,sT,RREEPPLLAACCEE/sT/VL/sTVLsdc7U7iG.mp4,RREEPPLLAACCEE/sT/VL/sTVLsdc7U7iG_small.mp4
F6903,0,0,0,Unavailable,2021-01-09,17:36:56,Unavailable,Unavailable,Unavailable,Unavailable,F6903,F6903,F6903,meta-sTq405kddAH6.json,sT,RREEPPLLAACCEE/sT/q4/sTq405kddAH6.mp4,RREEPPLLAACCEE/sT/q4/sTq405kddAH6_small.mp4
emilyjiao,0,0,0,Unavailable,2020-08-06,23:49:10,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-sTs7H4443I5D.json,sT,RREEPPLLAACCEE/sT/s7/sTs7H4443I5D.mp4,RREEPPLLAACCEE/sT/s7/sTs7H4443I5D_small.mp4
paulg,0,0,0,Unavailable,2020-12-16,01:50:30,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-sTuthQoo03Sh.json,sT,RREEPPLLAACCEE/sT/ut/sTuthQoo03Sh.mp4,RREEPPLLAACCEE/sT/ut/sTuthQoo03Sh_small.mp4
hayden,0,0,0,Unavailable,2020-11-06,17:46:36,Apple,,Unavailable,Unavailable,hayden,hayden,hayden,meta-stBp0haQNzto.json,st,RREEPPLLAACCEE/st/Bp/stBp0haQNzto.mp4,RREEPPLLAACCEE/st/Bp/stBp0haQNzto_small.mp4
Blackburn,0,0,0,Unavailable,2019-10-25,00:44:27,Unavailable,Unavailable,Unavailable,Unavailable,Blackburn,Blackburn,Blackburn,meta-stJJ5HRTosbS.json,st,RREEPPLLAACCEE/st/JJ/stJJ5HRTosbS.mp4,RREEPPLLAACCEE/st/JJ/stJJ5HRTosbS_small.mp4
matt.burks,0,0,0,Unavailable,2020-12-18,21:07:33,Unavailable,Unavailable,Unavailable,Unavailable,matt.burks,mattburks,mattburks,meta-stnPZzz3o8nD.json,st,RREEPPLLAACCEE/st/nP/stnPZzz3o8nD.mp4,RREEPPLLAACCEE/st/nP/stnPZzz3o8nD_small.mp4
Unavailable,34.5120,114.3522,179.549,Above Sea Level,2020-02-05,03:43:21,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ST2VNUL1xGN0.json,ST,RREEPPLLAACCEE/ST/2V/ST2VNUL1xGN0.mp4,RREEPPLLAACCEE/ST/2V/ST2VNUL1xGN0_small.mp4
Unavailable,39.9041,105.0159,1632.887,Above Sea Level,2020-12-08,15:49:22,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ST3QLg5zCXSb.json,ST,RREEPPLLAACCEE/ST/3Q/ST3QLg5zCXSb.mp4,RREEPPLLAACCEE/ST/3Q/ST3QLg5zCXSb_small.mp4
