Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
91885,0,0,0,Unavailable,2021-01-05,12:32:33,Unavailable,Unavailable,Unavailable,Unavailable,91885,91885,91885,meta-YFiz44vjCT0V.json,YF,RREEPPLLAACCEE/YF/iz/YFiz44vjCT0V.mp4,RREEPPLLAACCEE/YF/iz/YFiz44vjCT0V_small.mp4
jordanhunt,0,0,0,Unavailable,2020-07-15,01:00:42,Unavailable,Unavailable,Unavailable,Unavailable,jordanhunt,jordanhunt,jordanhunt,meta-YFtcbN7VZWcH.json,YF,RREEPPLLAACCEE/YF/tc/YFtcbN7VZWcH.mp4,RREEPPLLAACCEE/YF/tc/YFtcbN7VZWcH_small.mp4
Miki,0,0,0,Unavailable,2020-10-24,18:09:44,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-Yfe0lQ1dIcjW.json,Yf,RREEPPLLAACCEE/Yf/e0/Yfe0lQ1dIcjW.mp4,RREEPPLLAACCEE/Yf/e0/Yfe0lQ1dIcjW_small.mp4
Doc,0,0,0,Unavailable,2020-09-03,02:30:38,Unavailable,Unavailable,Unavailable,Unavailable,Doc,Doc,Doc,meta-YfeXq7eMAp1G.json,Yf,RREEPPLLAACCEE/Yf/eX/YfeXq7eMAp1G.mp4,RREEPPLLAACCEE/Yf/eX/YfeXq7eMAp1G_small.mp4
mymediamaker,0,0,0,Unavailable,2020-05-16,12:40:08,Unavailable,Unavailable,Unavailable,Unavailable,mymediamaker,mymediamaker,mymediamaker,meta-YfgMnbs4Jugl.json,Yf,RREEPPLLAACCEE/Yf/gM/YfgMnbs4Jugl.mp4,RREEPPLLAACCEE/Yf/gM/YfgMnbs4Jugl_small.mp4
jwvie,0,0,0,Unavailable,2020-02-08,05:46:52,Unavailable,Unavailable,Unavailable,Unavailable,jwvie,jwvie,jwvie,meta-yFD12QBqvqk2.json,yF,RREEPPLLAACCEE/yF/D1/yFD12QBqvqk2.mp4,RREEPPLLAACCEE/yF/D1/yFD12QBqvqk2_small.mp4
andre,0,0,0,Unavailable,2020-12-19,22:32:49,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-yFyYcnpMpsO9.json,yF,RREEPPLLAACCEE/yF/yY/yFyYcnpMpsO9.mp4,RREEPPLLAACCEE/yF/yY/yFyYcnpMpsO9_small.mp4
Vakars,0,0,0,Unavailable,2020-08-01,18:55:35,Unavailable,Unavailable,Unavailable,Unavailable,Vakars,Vakars,Vakars,meta-yfdmJmnnVhau.json,yf,RREEPPLLAACCEE/yf/dm/yfdmJmnnVhau.mp4,RREEPPLLAACCEE/yf/dm/yfdmJmnnVhau_small.mp4
Unavailable,40.2704,79.4091,0,Unavailable,2020-09-04,00:45:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YF8p5ghTjCzx.json,YF,RREEPPLLAACCEE/YF/8p/YF8p5ghTjCzx.mp4,RREEPPLLAACCEE/YF/8p/YF8p5ghTjCzx_small.mp4
Unavailable,36.0697,114.8126,384.039,Above Sea Level,2020-11-14,17:33:45,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YFK3JSqGtMl4.json,YF,RREEPPLLAACCEE/YF/K3/YFK3JSqGtMl4.mp4,RREEPPLLAACCEE/YF/K3/YFK3JSqGtMl4_small.mp4
