Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2020-12-15,10:17:17,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-CP2bl4LJxXbq.json,CP,RREEPPLLAACCEE/CP/2b/CP2bl4LJxXbq.mp4,RREEPPLLAACCEE/CP/2b/CP2bl4LJxXbq_small.mp4
setayesh,0,0,0,Unavailable,2021-01-09,11:21:24,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-CP4kyRgl9r2v.json,CP,RREEPPLLAACCEE/CP/4k/CP4kyRgl9r2v.mp4,RREEPPLLAACCEE/CP/4k/CP4kyRgl9r2v_small.mp4
vincefoxx,0,0,0,Unavailable,2020-05-13,00:35:10,Unavailable,Unavailable,Unavailable,Unavailable,vincefoxx,vincefoxx,vincefoxx,meta-CPRKEuTZqvNL.json,CP,RREEPPLLAACCEE/CP/RK/CPRKEuTZqvNL.mp4,RREEPPLLAACCEE/CP/RK/CPRKEuTZqvNL_small.mp4
Johnson,0,0,0,Unavailable,2020-11-19,12:05:40,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-CPrf3ggP2O0Q.json,CP,RREEPPLLAACCEE/CP/rf/CPrf3ggP2O0Q.mp4,RREEPPLLAACCEE/CP/rf/CPrf3ggP2O0Q_small.mp4
Rwhalliday,0,0,0,Unavailable,2020-09-16,19:52:58,Unavailable,,Unavailable,Unavailable,Rwhalliday,Rwhalliday,Rwhalliday,meta-Cpc0crOivVSH.json,Cp,RREEPPLLAACCEE/Cp/c0/Cpc0crOivVSH.mp4,RREEPPLLAACCEE/Cp/c0/Cpc0crOivVSH_small.mp4
admin,0,0,0,Unavailable,2020-11-18,00:15:40,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-Cpd29u1V72nI.json,Cp,RREEPPLLAACCEE/Cp/d2/Cpd29u1V72nI.mp4,RREEPPLLAACCEE/Cp/d2/Cpd29u1V72nI_small.mp4
Sakura,0,0,0,Unavailable,2020-11-16,05:56:07,Unavailable,Unavailable,Unavailable,Unavailable,Sakura,Sakura,Sakura,meta-Cphbgx5KvscM.json,Cp,RREEPPLLAACCEE/Cp/hb/Cphbgx5KvscM.mp4,RREEPPLLAACCEE/Cp/hb/Cphbgx5KvscM_small.mp4
Unavailable,38.8960,77.0314,0,Unavailable,2020-11-14,15:35:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CP1b4tGB2AOd.json,CP,RREEPPLLAACCEE/CP/1b/CP1b4tGB2AOd.mp4,RREEPPLLAACCEE/CP/1b/CP1b4tGB2AOd_small.mp4
Unavailable,39.8493,86.0847,243.045,Above Sea Level,2020-12-12,21:31:44,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPAOiWpqBYON.json,CP,RREEPPLLAACCEE/CP/AO/CPAOiWpqBYON.mp4,RREEPPLLAACCEE/CP/AO/CPAOiWpqBYON_small.mp4
Unavailable,42.5756,114.4584,1128.513,Above Sea Level,2020-12-17,00:41:11,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPELMhwYgBnq.json,CP,RREEPPLLAACCEE/CP/EL/CPELMhwYgBnq.mp4,RREEPPLLAACCEE/CP/EL/CPELMhwYgBnq_small.mp4
Unavailable,33.2581,111.6180,432.13,Above Sea Level,2020-08-21,23:24:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPEQMRATWfrp.json,CP,RREEPPLLAACCEE/CP/EQ/CPEQMRATWfrp.mp4,RREEPPLLAACCEE/CP/EQ/CPEQMRATWfrp_small.mp4
Unavailable,25.6636,100.3369,567.568,Above Sea Level,2020-11-21,18:28:29,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPFc662oenr4.json,CP,RREEPPLLAACCEE/CP/Fc/CPFc662oenr4.mp4,RREEPPLLAACCEE/CP/Fc/CPFc662oenr4_small.mp4
Unavailable,37.8293,76.9147,52.773,Above Sea Level,2020-10-03,21:20:05,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPKcJDzNJKWJ.json,CP,RREEPPLLAACCEE/CP/Kc/CPKcJDzNJKWJ.mp4,RREEPPLLAACCEE/CP/Kc/CPKcJDzNJKWJ_small.mp4
Unavailable,28.6170,81.4490,21.43,Above Sea Level,2020-12-02,21:19:24,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPPIbi5Cj4dv.json,CP,RREEPPLLAACCEE/CP/PI/CPPIbi5Cj4dv.mp4,RREEPPLLAACCEE/CP/PI/CPPIbi5Cj4dv_small.mp4
Unavailable,42.1938,71.2704,58.466,Above Sea Level,2017-05-29,17:44:48,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPWXHsQC37HJ.json,CP,RREEPPLLAACCEE/CP/WX/CPWXHsQC37HJ.mp4,RREEPPLLAACCEE/CP/WX/CPWXHsQC37HJ_small.mp4
Unavailable,31.9349,106.4058,1208.648,Above Sea Level,2021-01-06,19:26:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPWf1pdmbV5t.json,CP,RREEPPLLAACCEE/CP/Wf/CPWf1pdmbV5t.mp4,RREEPPLLAACCEE/CP/Wf/CPWf1pdmbV5t_small.mp4
Unavailable,34.1980,82.1856,0,Unavailable,2020-08-04,22:39:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPZxbnskzyiS.json,CP,RREEPPLLAACCEE/CP/Zx/CPZxbnskzyiS.mp4,RREEPPLLAACCEE/CP/Zx/CPZxbnskzyiS_small.mp4
Unavailable,35.9924,84.8914,601.503,Above Sea Level,2021-01-03,23:57:47,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPaSLEgdd4AP.json,CP,RREEPPLLAACCEE/CP/aS/CPaSLEgdd4AP.mp4,RREEPPLLAACCEE/CP/aS/CPaSLEgdd4AP_small.mp4
Unavailable,35.6746,139.7652,0,Above Sea Level,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPaijjjR63nw.json,CP,RREEPPLLAACCEE/CP/ai/CPaijjjR63nw.mp4,RREEPPLLAACCEE/CP/ai/CPaijjjR63nw_small.mp4
Unavailable,38.8903,77.0094,21.259,Above Sea Level,2021-01-06,22:37:11,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPeuy7lOW44J.json,CP,RREEPPLLAACCEE/CP/eu/CPeuy7lOW44J.mp4,RREEPPLLAACCEE/CP/eu/CPeuy7lOW44J_small.mp4
Unavailable,33.2265,111.5239,470.207,Above Sea Level,2020-11-09,03:49:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPjLhSDgqDxX.json,CP,RREEPPLLAACCEE/CP/jL/CPjLhSDgqDxX.mp4,RREEPPLLAACCEE/CP/jL/CPjLhSDgqDxX_small.mp4
Unavailable,31.8163,115.7811,34.006,Above Sea Level,2020-11-20,01:11:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CPkEP7GcuCRi.json,CP,RREEPPLLAACCEE/CP/kE/CPkEP7GcuCRi.mp4,RREEPPLLAACCEE/CP/kE/CPkEP7GcuCRi_small.mp4
