Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
DK,0,0,0,Unavailable,2020-11-12,19:17:53,Unavailable,Unavailable,Unavailable,Unavailable,DK,DK,DK,meta-MRI3SPhJpNrc.json,MR,RREEPPLLAACCEE/MR/I3/MRI3SPhJpNrc.mp4,RREEPPLLAACCEE/MR/I3/MRI3SPhJpNrc_small.mp4
Public,0,0,0,Unavailable,2020-07-16,00:03:25,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-MRYRaPvzjvv7.json,MR,RREEPPLLAACCEE/MR/YR/MRYRaPvzjvv7.mp4,RREEPPLLAACCEE/MR/YR/MRYRaPvzjvv7_small.mp4
siddiqui,0,0,0,Unavailable,2020-11-13,20:02:31,Unavailable,,Unavailable,Unavailable,siddiqui,siddiqui,siddiqui,meta-Mr6Lf0th03su.json,Mr,RREEPPLLAACCEE/Mr/6L/Mr6Lf0th03su.mp4,RREEPPLLAACCEE/Mr/6L/Mr6Lf0th03su_small.mp4
pkolak,0,0,0,Unavailable,2020-12-26,16:02:22,Unavailable,Unavailable,Unavailable,Unavailable,pkolak,pkolak,pkolak,meta-mRXOBHt2e9s1.json,mR,RREEPPLLAACCEE/mR/XO/mRXOBHt2e9s1.mp4,RREEPPLLAACCEE/mR/XO/mRXOBHt2e9s1_small.mp4
Charles-Henri,0,0,0,Unavailable,2020-12-04,08:00:23,Unavailable,Unavailable,Unavailable,Unavailable,Charles-Henri,Charles-Henri,Charles-Henri,meta-mrBMBsWzP2rL.json,mr,RREEPPLLAACCEE/mr/BM/mrBMBsWzP2rL.mp4,RREEPPLLAACCEE/mr/BM/mrBMBsWzP2rL_small.mp4
daliahyppolite,0,0,0,Unavailable,2020-12-03,23:37:00,Unavailable,Unavailable,Unavailable,Unavailable,daliahyppolite,daliahyppolite,daliahyppolite,meta-mrWuZJi9mcii.json,mr,RREEPPLLAACCEE/mr/Wu/mrWuZJi9mcii.mp4,RREEPPLLAACCEE/mr/Wu/mrWuZJi9mcii_small.mp4
Marcus Vieira,0,0,0,Unavailable,2020-07-03,21:26:59,Unavailable,Unavailable,Unavailable,Unavailable,Marcus Vieira,Marcus Vieira,Marcus Vieira,meta-mrtvmjGEBRRH.json,mr,RREEPPLLAACCEE/mr/tv/mrtvmjGEBRRH.mp4,RREEPPLLAACCEE/mr/tv/mrtvmjGEBRRH_small.mp4
Unavailable,37.6781,97.5466,444.032,Above Sea Level,2020-08-07,03:13:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MR1JBolGSN9G.json,MR,RREEPPLLAACCEE/MR/1J/MR1JBolGSN9G.mp4,RREEPPLLAACCEE/MR/1J/MR1JBolGSN9G_small.mp4
Unavailable,26.4750,80.1432,7.207,Above Sea Level,2020-11-11,17:07:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MR2JpGBVqtHP.json,MR,RREEPPLLAACCEE/MR/2J/MR2JpGBVqtHP.mp4,RREEPPLLAACCEE/MR/2J/MR2JpGBVqtHP_small.mp4
Unavailable,3.7186,38.4755,21.841,Above Sea Level,2020-07-16,20:56:20,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MR3dh4ou6dfk.json,MR,RREEPPLLAACCEE/MR/3d/MR3dh4ou6dfk.mp4,RREEPPLLAACCEE/MR/3d/MR3dh4ou6dfk_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:54:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MR9uGXRaC5YG.json,MR,RREEPPLLAACCEE/MR/9u/MR9uGXRaC5YG.mp4,RREEPPLLAACCEE/MR/9u/MR9uGXRaC5YG_small.mp4
Unavailable,33.5001,117.6945,0,Unavailable,2020-11-19,17:32:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MREZmLkLZJce.json,MR,RREEPPLLAACCEE/MR/EZ/MREZmLkLZJce.mp4,RREEPPLLAACCEE/MR/EZ/MREZmLkLZJce_small.mp4
Unavailable,35.4473,97.2657,0,Unavailable,2020-10-09,20:21:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRExUr4HaoPG.json,MR,RREEPPLLAACCEE/MR/Ex/MRExUr4HaoPG.mp4,RREEPPLLAACCEE/MR/Ex/MRExUr4HaoPG_small.mp4
Unavailable,35.6911,88.4754,0,Unavailable,2020-07-06,01:44:44,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRHCEAr0VheZ.json,MR,RREEPPLLAACCEE/MR/HC/MRHCEAr0VheZ.mp4,RREEPPLLAACCEE/MR/HC/MRHCEAr0VheZ_small.mp4
Unavailable,35.9099,81.5313,346.211,Above Sea Level,2020-11-13,03:25:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRHGZozB61Gm.json,MR,RREEPPLLAACCEE/MR/HG/MRHGZozB61Gm.mp4,RREEPPLLAACCEE/MR/HG/MRHGZozB61Gm_small.mp4
Unavailable,41.1414,73.4940,88.97,Above Sea Level,2020-06-07,15:42:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRMpxSKOMxpC.json,MR,RREEPPLLAACCEE/MR/Mp/MRMpxSKOMxpC.mp4,RREEPPLLAACCEE/MR/Mp/MRMpxSKOMxpC_small.mp4
Unavailable,26.4289,153.1079,1.616,Below Sea Level,2020-07-05,07:32:00,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRNNnyTySyOE.json,MR,RREEPPLLAACCEE/MR/NN/MRNNnyTySyOE.mp4,RREEPPLLAACCEE/MR/NN/MRNNnyTySyOE_small.mp4
Unavailable,39.9068,74.8853,0,Unavailable,2020-11-14,00:39:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRUSWgjuvN5C.json,MR,RREEPPLLAACCEE/MR/US/MRUSWgjuvN5C.mp4,RREEPPLLAACCEE/MR/US/MRUSWgjuvN5C_small.mp4
Unavailable,44.8093,85.1763,328.059,Above Sea Level,2020-07-20,01:51:00,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRdtbn57IWfO.json,MR,RREEPPLLAACCEE/MR/dt/MRdtbn57IWfO.mp4,RREEPPLLAACCEE/MR/dt/MRdtbn57IWfO_small.mp4
Unavailable,34.0563,118.4672,110.175,Above Sea Level,2020-11-19,21:21:09,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRg13M302IDG.json,MR,RREEPPLLAACCEE/MR/g1/MRg13M302IDG.mp4,RREEPPLLAACCEE/MR/g1/MRg13M302IDG_small.mp4
Unavailable,43.0883,73.7882,110.972,Above Sea Level,2020-10-31,02:42:40,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRnZ6mkIPm1k.json,MR,RREEPPLLAACCEE/MR/nZ/MRnZ6mkIPm1k.mp4,RREEPPLLAACCEE/MR/nZ/MRnZ6mkIPm1k_small.mp4
Unavailable,53.5717,2.4117,84.263,Above Sea Level,2020-11-12,14:27:59,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRqUq6U4LOp3.json,MR,RREEPPLLAACCEE/MR/qU/MRqUq6U4LOp3.mp4,RREEPPLLAACCEE/MR/qU/MRqUq6U4LOp3_small.mp4
Unavailable,26.2460,80.0939,2.081,Above Sea Level,2020-11-19,01:27:27,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRriI7Fw7EZK.json,MR,RREEPPLLAACCEE/MR/ri/MRriI7Fw7EZK.mp4,RREEPPLLAACCEE/MR/ri/MRriI7Fw7EZK_small.mp4
Unavailable,35.2343,89.8411,88.531,Above Sea Level,2020-11-13,18:04:20,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRtDYbP2DHFU.json,MR,RREEPPLLAACCEE/MR/tD/MRtDYbP2DHFU.mp4,RREEPPLLAACCEE/MR/tD/MRtDYbP2DHFU_small.mp4
Unavailable,40.5837,73.9698,0,Unavailable,2020-12-03,00:25:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MRzibBUQzE2q.json,MR,RREEPPLLAACCEE/MR/zi/MRzibBUQzE2q.mp4,RREEPPLLAACCEE/MR/zi/MRzibBUQzE2q_small.mp4
Unavailable,35.4117,119.1516,110.492,Above Sea Level,2020-11-09,08:36:05,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Mr0xbsxNkMdi.json,Mr,RREEPPLLAACCEE/Mr/0x/Mr0xbsxNkMdi.mp4,RREEPPLLAACCEE/Mr/0x/Mr0xbsxNkMdi_small.mp4
Unavailable,33.7780,118.3926,0,Unavailable,2020-07-25,16:24:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Mr447m6HZDYk.json,Mr,RREEPPLLAACCEE/Mr/44/Mr447m6HZDYk.mp4,RREEPPLLAACCEE/Mr/44/Mr447m6HZDYk_small.mp4
Unavailable,35.5424,120.7318,277.548,Above Sea Level,2020-11-28,00:35:30,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Mr7hG1wn4y0P.json,Mr,RREEPPLLAACCEE/Mr/7h/Mr7hG1wn4y0P.mp4,RREEPPLLAACCEE/Mr/7h/Mr7hG1wn4y0P_small.mp4
Unavailable,32.9169,96.7509,165.714,Above Sea Level,2021-01-06,07:37:44,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrA9AQIJMwv9.json,Mr,RREEPPLLAACCEE/Mr/A9/MrA9AQIJMwv9.mp4,RREEPPLLAACCEE/Mr/A9/MrA9AQIJMwv9_small.mp4
Unavailable,33.1511,96.9504,162.484,Above Sea Level,2020-07-22,01:26:07,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrBb2aqSgI0u.json,Mr,RREEPPLLAACCEE/Mr/Bb/MrBb2aqSgI0u.mp4,RREEPPLLAACCEE/Mr/Bb/MrBb2aqSgI0u_small.mp4
Unavailable,41.5985,87.5792,184.02,Above Sea Level,2020-11-19,17:59:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrBbWn2SX03k.json,Mr,RREEPPLLAACCEE/Mr/Bb/MrBbWn2SX03k.mp4,RREEPPLLAACCEE/Mr/Bb/MrBbWn2SX03k_small.mp4
Unavailable,36.1554,79.5883,212.729,Above Sea Level,2020-11-13,17:11:48,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrEx1dtNudQ7.json,Mr,RREEPPLLAACCEE/Mr/Ex/MrEx1dtNudQ7.mp4,RREEPPLLAACCEE/Mr/Ex/MrEx1dtNudQ7_small.mp4
Unavailable,33.8769,118.0485,17.557,Above Sea Level,2020-08-14,01:59:27,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrFEPuecy7JU.json,Mr,RREEPPLLAACCEE/Mr/FE/MrFEPuecy7JU.mp4,RREEPPLLAACCEE/Mr/FE/MrFEPuecy7JU_small.mp4
Unavailable,29.1078,81.3284,17.585,Above Sea Level,2019-07-22,11:01:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrGUjkmeGWaz.json,Mr,RREEPPLLAACCEE/Mr/GU/MrGUjkmeGWaz.mp4,RREEPPLLAACCEE/Mr/GU/MrGUjkmeGWaz_small.mp4
Unavailable,42.7744,71.2211,0,Unavailable,2018-06-20,19:25:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrJjh2pNGuj3.json,Mr,RREEPPLLAACCEE/Mr/Jj/MrJjh2pNGuj3.mp4,RREEPPLLAACCEE/Mr/Jj/MrJjh2pNGuj3_small.mp4
Unavailable,47.5484,94.9680,0,Unavailable,2020-11-21,22:22:29,Unavailable,FC7203,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrOEc5BHZIR6.json,Mr,RREEPPLLAACCEE/Mr/OE/MrOEc5BHZIR6.mp4,RREEPPLLAACCEE/Mr/OE/MrOEc5BHZIR6_small.mp4
Unavailable,40.5694,74.3274,13.749,Above Sea Level,2020-11-01,17:22:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrQ8DKNh1PVT.json,Mr,RREEPPLLAACCEE/Mr/Q8/MrQ8DKNh1PVT.mp4,RREEPPLLAACCEE/Mr/Q8/MrQ8DKNh1PVT_small.mp4
Unavailable,40.1787,85.4154,0,Unavailable,2020-11-23,22:39:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MrSjrYuyvJ2U.json,Mr,RREEPPLLAACCEE/Mr/Sj/MrSjrYuyvJ2U.mp4,RREEPPLLAACCEE/Mr/Sj/MrSjrYuyvJ2U_small.mp4
