Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Daniel,0,0,0,Unavailable,2020-12-06,19:01:46,Unavailable,,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-CMAr5RLAFAkn.json,CM,RREEPPLLAACCEE/CM/Ar/CMAr5RLAFAkn.mp4,RREEPPLLAACCEE/CM/Ar/CMAr5RLAFAkn_small.mp4
matthew,0,0,0,Unavailable,2020-11-12,15:08:21,Unavailable,Unavailable,Unavailable,Unavailable,matthew,matthew,matthew,meta-CMPV26AMS6e0.json,CM,RREEPPLLAACCEE/CM/PV/CMPV26AMS6e0.mp4,RREEPPLLAACCEE/CM/PV/CMPV26AMS6e0_small.mp4
megan,0,0,0,Unavailable,2021-01-04,02:16:46,Unavailable,Unavailable,Unavailable,Unavailable,megan,megan,megan,meta-Cm7zeYmMayU2.json,Cm,RREEPPLLAACCEE/Cm/7z/Cm7zeYmMayU2.mp4,RREEPPLLAACCEE/Cm/7z/Cm7zeYmMayU2_small.mp4
Johnson,0,0,0,Unavailable,2020-11-14,12:31:05,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-CmVIsqVjSEd6.json,Cm,RREEPPLLAACCEE/Cm/VI/CmVIsqVjSEd6.mp4,RREEPPLLAACCEE/Cm/VI/CmVIsqVjSEd6_small.mp4
jordi,0,0,0,Unavailable,2020-10-19,13:00:56,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-CmuQ4zozhHcI.json,Cm,RREEPPLLAACCEE/Cm/uQ/CmuQ4zozhHcI.mp4,RREEPPLLAACCEE/Cm/uQ/CmuQ4zozhHcI_small.mp4
setayesh,0,0,0,Unavailable,2020-12-23,19:35:04,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-cM0XymjiUEHC.json,cM,RREEPPLLAACCEE/cM/0X/cM0XymjiUEHC.mp4,RREEPPLLAACCEE/cM/0X/cM0XymjiUEHC_small.mp4
Deco,0,0,0,Unavailable,2020-09-24,04:52:17,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-cMBIU2dal93z.json,cM,RREEPPLLAACCEE/cM/BI/cMBIU2dal93z.mp4,RREEPPLLAACCEE/cM/BI/cMBIU2dal93z_small.mp4
zsr9c,0,0,0,Unavailable,2020-09-25,13:17:55,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-cMSZkmS2u0wT.json,cM,RREEPPLLAACCEE/cM/SZ/cMSZkmS2u0wT.mp4,RREEPPLLAACCEE/cM/SZ/cMSZkmS2u0wT_small.mp4
mymediamaker,0,0,0,Unavailable,2020-06-01,20:31:59,Unavailable,Unavailable,Unavailable,Unavailable,mymediamaker,mymediamaker,mymediamaker,meta-cmgf8ZMH2ODR.json,cm,RREEPPLLAACCEE/cm/gf/cmgf8ZMH2ODR.mp4,RREEPPLLAACCEE/cm/gf/cmgf8ZMH2ODR_small.mp4
prudy,0,0,0,Unavailable,2020-11-02,15:34:09,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-cmqlY3qDKshu.json,cm,RREEPPLLAACCEE/cm/ql/cmqlY3qDKshu.mp4,RREEPPLLAACCEE/cm/ql/cmqlY3qDKshu_small.mp4
Unavailable,34.8774,89.8704,85.722,Above Sea Level,2020-08-29,00:36:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CM05EEypS8Gt.json,CM,RREEPPLLAACCEE/CM/05/CM05EEypS8Gt.mp4,RREEPPLLAACCEE/CM/05/CM05EEypS8Gt_small.mp4
Unavailable,38.8958,77.0314,6.357,Above Sea Level,2020-11-14,17:22:48,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CM0BmRTowqk9.json,CM,RREEPPLLAACCEE/CM/0B/CM0BmRTowqk9.mp4,RREEPPLLAACCEE/CM/0B/CM0BmRTowqk9_small.mp4
Unavailable,38.7239,90.2941,177.551,Above Sea Level,2020-11-17,15:54:16,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CM3Jqq8h3JWs.json,CM,RREEPPLLAACCEE/CM/3J/CM3Jqq8h3JWs.mp4,RREEPPLLAACCEE/CM/3J/CM3Jqq8h3JWs_small.mp4
Unavailable,40.1036,87.6498,0,Unavailable,2020-12-14,01:08:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CM4owBaM3C7J.json,CM,RREEPPLLAACCEE/CM/4o/CM4owBaM3C7J.mp4,RREEPPLLAACCEE/CM/4o/CM4owBaM3C7J_small.mp4
