Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
droy,0,0,0,Unavailable,2020-12-31,16:50:09,Unavailable,Unavailable,Unavailable,Unavailable,droy,droy,droy,meta-AP9QzLr4PgjP.json,AP,RREEPPLLAACCEE/AP/9Q/AP9QzLr4PgjP.mp4,RREEPPLLAACCEE/AP/9Q/AP9QzLr4PgjP_small.mp4
rmosc,0,0,0,Unavailable,2019-10-29,03:20:16,Unavailable,Unavailable,Unavailable,Unavailable,rmosc,rmosc,rmosc,meta-APlmYepWWyws.json,AP,RREEPPLLAACCEE/AP/lm/APlmYepWWyws.mp4,RREEPPLLAACCEE/AP/lm/APlmYepWWyws_small.mp4
Monster Dell,0,0,0,Unavailable,2020-07-03,18:42:27,Unavailable,Unavailable,Unavailable,Unavailable,Monster Dell,Monster Dell,Monster Dell,meta-APmYWrbQoiDv.json,AP,RREEPPLLAACCEE/AP/mY/APmYWrbQoiDv.mp4,RREEPPLLAACCEE/AP/mY/APmYWrbQoiDv_small.mp4
BARTv,0,0,0,Unavailable,2020-11-27,19:04:58,Canon,,,,BARTv,BARTv,BARTv,meta-Ap2BSh5oEBld.json,Ap,RREEPPLLAACCEE/Ap/2B/Ap2BSh5oEBld.mp4,RREEPPLLAACCEE/Ap/2B/Ap2BSh5oEBld_small.mp4
KCCProduction,0,0,0,Unavailable,2020-08-27,22:48:09,Unavailable,Unavailable,Unavailable,Unavailable,KCCProduction,KCCProduction,KCCProduction,meta-aPzvAQ3lkjHK.json,aP,RREEPPLLAACCEE/aP/zv/aPzvAQ3lkjHK.mp4,RREEPPLLAACCEE/aP/zv/aPzvAQ3lkjHK_small.mp4
Unavailable,38.8890,77.0120,5.431,Above Sea Level,2021-01-06,20:24:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AP1Rxpm2FsWe.json,AP,RREEPPLLAACCEE/AP/1R/AP1Rxpm2FsWe.mp4,RREEPPLLAACCEE/AP/1R/AP1Rxpm2FsWe_small.mp4
Unavailable,28.0436,81.7351,51.16,Above Sea Level,2020-09-28,12:09:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AP1pyD2kvCHD.json,AP,RREEPPLLAACCEE/AP/1p/AP1pyD2kvCHD.mp4,RREEPPLLAACCEE/AP/1p/AP1pyD2kvCHD_small.mp4
Unavailable,30.4538,97.6463,236.573,Above Sea Level,2020-12-08,20:16:24,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AP3myVluDtrY.json,AP,RREEPPLLAACCEE/AP/3m/AP3myVluDtrY.mp4,RREEPPLLAACCEE/AP/3m/AP3myVluDtrY_small.mp4
Unavailable,29.6664,98.4493,376.63,Above Sea Level,2020-06-30,08:15:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APB1OtnhTiJe.json,AP,RREEPPLLAACCEE/AP/B1/APB1OtnhTiJe.mp4,RREEPPLLAACCEE/AP/B1/APB1OtnhTiJe_small.mp4
Unavailable,32.7583,116.7595,639.244,Above Sea Level,2020-11-17,00:12:29,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APFpoMr677le.json,AP,RREEPPLLAACCEE/AP/Fp/APFpoMr677le.mp4,RREEPPLLAACCEE/AP/Fp/APFpoMr677le_small.mp4
Unavailable,32.8827,97.2553,204.419,Above Sea Level,2020-08-27,21:21:05,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APKnbCIarPv8.json,AP,RREEPPLLAACCEE/AP/Kn/APKnbCIarPv8.mp4,RREEPPLLAACCEE/AP/Kn/APKnbCIarPv8_small.mp4
Unavailable,48.7690,122.4934,27.52,Above Sea Level,2020-06-27,03:19:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APKpUfSBHrHa.json,AP,RREEPPLLAACCEE/AP/Kp/APKpUfSBHrHa.mp4,RREEPPLLAACCEE/AP/Kp/APKpUfSBHrHa_small.mp4
Unavailable,41.5473,88.2058,187.886,Above Sea Level,2021-01-06,19:33:14,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APRsNQwiiBhn.json,AP,RREEPPLLAACCEE/AP/Rs/APRsNQwiiBhn.mp4,RREEPPLLAACCEE/AP/Rs/APRsNQwiiBhn_small.mp4
Unavailable,38.8907,77.0052,26.72,Above Sea Level,2020-12-13,00:03:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APS3cYpzDCyn.json,AP,RREEPPLLAACCEE/AP/S3/APS3cYpzDCyn.mp4,RREEPPLLAACCEE/AP/S3/APS3cYpzDCyn_small.mp4
Unavailable,34.4374,117.2352,875.599,Above Sea Level,2020-07-04,03:58:03,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APVPjAliBOHr.json,AP,RREEPPLLAACCEE/AP/VP/APVPjAliBOHr.mp4,RREEPPLLAACCEE/AP/VP/APVPjAliBOHr_small.mp4
Unavailable,35.9972,115.0807,761.126,Above Sea Level,2019-07-06,17:08:21,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APWD7HZIe23i.json,AP,RREEPPLLAACCEE/AP/WD/APWD7HZIe23i.mp4,RREEPPLLAACCEE/AP/WD/APWD7HZIe23i_small.mp4
Unavailable,33.4564,111.8898,367.522,Above Sea Level,2020-10-25,20:51:17,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APaFZcDTJt00.json,AP,RREEPPLLAACCEE/AP/aF/APaFZcDTJt00.mp4,RREEPPLLAACCEE/AP/aF/APaFZcDTJt00_small.mp4
Unavailable,38.9003,77.0366,19.207,Above Sea Level,2020-11-14,02:27:44,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APeDC7X0obMC.json,AP,RREEPPLLAACCEE/AP/eD/APeDC7X0obMC.mp4,RREEPPLLAACCEE/AP/eD/APeDC7X0obMC_small.mp4
Unavailable,29.5820,95.0636,5.32,Above Sea Level,2020-04-02,04:01:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APgBFgNMRCDM.json,AP,RREEPPLLAACCEE/AP/gB/APgBFgNMRCDM.mp4,RREEPPLLAACCEE/AP/gB/APgBFgNMRCDM_small.mp4
Unavailable,38.4792,77.4416,72.363,Above Sea Level,2020-11-19,02:14:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APioOQpd3BUn.json,AP,RREEPPLLAACCEE/AP/io/APioOQpd3BUn.mp4,RREEPPLLAACCEE/AP/io/APioOQpd3BUn_small.mp4
Unavailable,33.0972,117.3115,19.919,Above Sea Level,2020-07-04,01:15:09,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APjISWuVVuGB.json,AP,RREEPPLLAACCEE/AP/jI/APjISWuVVuGB.mp4,RREEPPLLAACCEE/AP/jI/APjISWuVVuGB_small.mp4
Unavailable,28.6087,81.5254,42.308,Above Sea Level,2020-11-12,01:05:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APliO51MkcCC.json,AP,RREEPPLLAACCEE/AP/li/APliO51MkcCC.mp4,RREEPPLLAACCEE/AP/li/APliO51MkcCC_small.mp4
Unavailable,22.3117,114.2340,39.603,Above Sea Level,2020-12-01,06:15:01,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APqz1Csv6Q9b.json,AP,RREEPPLLAACCEE/AP/qz/APqz1Csv6Q9b.mp4,RREEPPLLAACCEE/AP/qz/APqz1Csv6Q9b_small.mp4
Unavailable,41.6503,72.6065,48.269,Above Sea Level,2020-12-13,21:25:52,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APuMfWaBaCLG.json,AP,RREEPPLLAACCEE/AP/uM/APuMfWaBaCLG.mp4,RREEPPLLAACCEE/AP/uM/APuMfWaBaCLG_small.mp4
Unavailable,55.3357,4.4079,193.684,Above Sea Level,2020-12-19,18:16:44,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-APvSKiRtQ7zF.json,AP,RREEPPLLAACCEE/AP/vS/APvSKiRtQ7zF.mp4,RREEPPLLAACCEE/AP/vS/APvSKiRtQ7zF_small.mp4
