Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
briandixon,0,0,0,Unavailable,2020-11-11,11:32:40,Unavailable,Unavailable,Unavailable,Unavailable,briandixon,briandixon,briandixon,meta-0q1MpOSqRQqZ.json,0q,RREEPPLLAACCEE/0q/1M/0q1MpOSqRQqZ.mp4,RREEPPLLAACCEE/0q/1M/0q1MpOSqRQqZ_small.mp4
luiz.lardizabal,0,0,0,Unavailable,2020-12-18,14:45:43,Unavailable,Unavailable,Unavailable,Unavailable,luiz.lardizabal,luiz.lardizabal,luiz.lardizabal,meta-0qQT7HMKXI6t.json,0q,RREEPPLLAACCEE/0q/QT/0qQT7HMKXI6t.mp4,RREEPPLLAACCEE/0q/QT/0qQT7HMKXI6t_small.mp4
davidstromain,0,0,0,Unavailable,2020-09-20,20:45:00,Unavailable,Unavailable,Unavailable,Unavailable,davidstromain,davidstromain,davidstromain,meta-0qYd9zrs6kCM.json,0q,RREEPPLLAACCEE/0q/Yd/0qYd9zrs6kCM.mp4,RREEPPLLAACCEE/0q/Yd/0qYd9zrs6kCM_small.mp4
Claudio,0,0,0,Unavailable,2020-11-09,19:10:06,Unavailable,Unavailable,Unavailable,Unavailable,Claudio,Claudio,Claudio,meta-0qhMLFJ4VKUZ.json,0q,RREEPPLLAACCEE/0q/hM/0qhMLFJ4VKUZ.mp4,RREEPPLLAACCEE/0q/hM/0qhMLFJ4VKUZ_small.mp4
Unavailable,29.2971,98.7408,211.446,Above Sea Level,2020-10-25,20:40:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0Q9a0o7tqCjo.json,0Q,RREEPPLLAACCEE/0Q/9a/0Q9a0o7tqCjo.mp4,RREEPPLLAACCEE/0Q/9a/0Q9a0o7tqCjo_small.mp4
Unavailable,39.7821,105.1309,1651.4,Above Sea Level,2020-11-03,17:22:46,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QBekyOsH4q0.json,0Q,RREEPPLLAACCEE/0Q/Be/0QBekyOsH4q0.mp4,RREEPPLLAACCEE/0Q/Be/0QBekyOsH4q0_small.mp4
Unavailable,36.3573,119.3170,100.46,Above Sea Level,2020-10-31,16:42:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QEi9jMHt6z6.json,0Q,RREEPPLLAACCEE/0Q/Ei/0QEi9jMHt6z6.mp4,RREEPPLLAACCEE/0Q/Ei/0QEi9jMHt6z6_small.mp4
Unavailable,39.9473,75.2910,74.693,Above Sea Level,2020-11-12,16:55:38,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QErjts5RWjE.json,0Q,RREEPPLLAACCEE/0Q/Er/0QErjts5RWjE.mp4,RREEPPLLAACCEE/0Q/Er/0QErjts5RWjE_small.mp4
Unavailable,38.8922,77.0183,3.813,Above Sea Level,2020-11-14,19:41:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QH0juP06hoN.json,0Q,RREEPPLLAACCEE/0Q/H0/0QH0juP06hoN.mp4,RREEPPLLAACCEE/0Q/H0/0QH0juP06hoN_small.mp4
Unavailable,30.1078,97.2952,163.949,Above Sea Level,2020-11-01,21:23:26,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QMkzJLfWkWV.json,0Q,RREEPPLLAACCEE/0Q/Mk/0QMkzJLfWkWV.mp4,RREEPPLLAACCEE/0Q/Mk/0QMkzJLfWkWV_small.mp4
Unavailable,42.9169,85.5066,227.696,Above Sea Level,2020-12-17,03:11:29,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QOoIekbynsm.json,0Q,RREEPPLLAACCEE/0Q/Oo/0QOoIekbynsm.mp4,RREEPPLLAACCEE/0Q/Oo/0QOoIekbynsm_small.mp4
Unavailable,34.9254,138.5933,46.26,Above Sea Level,2020-11-19,05:15:34,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QRIzHSO4zt1.json,0Q,RREEPPLLAACCEE/0Q/RI/0QRIzHSO4zt1.mp4,RREEPPLLAACCEE/0Q/RI/0QRIzHSO4zt1_small.mp4
Unavailable,42.3388,71.0473,5.462,Above Sea Level,2020-12-18,12:22:35,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0Qe4SYDpne8h.json,0Q,RREEPPLLAACCEE/0Q/e4/0Qe4SYDpne8h.mp4,RREEPPLLAACCEE/0Q/e4/0Qe4SYDpne8h_small.mp4
Unavailable,32.6803,97.6539,266.917,Above Sea Level,2020-08-23,01:33:30,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QfsF72rFc7u.json,0Q,RREEPPLLAACCEE/0Q/fs/0QfsF72rFc7u.mp4,RREEPPLLAACCEE/0Q/fs/0QfsF72rFc7u_small.mp4
Unavailable,28.2813,82.1420,0,Unavailable,2020-10-22,13:50:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0Qq1HUuP29q5.json,0Q,RREEPPLLAACCEE/0Q/q1/0Qq1HUuP29q5.mp4,RREEPPLLAACCEE/0Q/q1/0Qq1HUuP29q5_small.mp4
Unavailable,39.5114,121.5344,93.752,Above Sea Level,2020-08-20,14:07:20,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0QreGV4gW34v.json,0Q,RREEPPLLAACCEE/0Q/re/0QreGV4gW34v.mp4,RREEPPLLAACCEE/0Q/re/0QreGV4gW34v_small.mp4
Unavailable,39.8318,75.0082,30.494,Above Sea Level,2020-11-17,00:58:52,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0q3772BoPXfm.json,0q,RREEPPLLAACCEE/0q/37/0q3772BoPXfm.mp4,RREEPPLLAACCEE/0q/37/0q3772BoPXfm_small.mp4
Unavailable,40.8753,72.9197,30.563,Above Sea Level,2020-11-19,16:33:08,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0q8KfEEqx1U8.json,0q,RREEPPLLAACCEE/0q/8K/0q8KfEEqx1U8.mp4,RREEPPLLAACCEE/0q/8K/0q8KfEEqx1U8_small.mp4
Unavailable,40.1598,74.8145,11.841,Above Sea Level,2020-11-26,03:26:49,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0qCC1kLdQjRo.json,0q,RREEPPLLAACCEE/0q/CC/0qCC1kLdQjRo.mp4,RREEPPLLAACCEE/0q/CC/0qCC1kLdQjRo_small.mp4
Unavailable,47.5893,122.0070,139.598,Above Sea Level,2020-11-14,17:38:22,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0qSbK03jUQl9.json,0q,RREEPPLLAACCEE/0q/Sb/0qSbK03jUQl9.mp4,RREEPPLLAACCEE/0q/Sb/0qSbK03jUQl9_small.mp4
