Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mikehogan,0,0,0,Unavailable,2020-10-15,15:23:29,Unavailable,Unavailable,Unavailable,Unavailable,mikehogan,mikehogan,mikehogan,meta-ZbMozs6PGYd0.json,Zb,RREEPPLLAACCEE/Zb/Mo/ZbMozs6PGYd0.mp4,RREEPPLLAACCEE/Zb/Mo/ZbMozs6PGYd0_small.mp4
Owner,0,0,0,Unavailable,2020-11-22,21:20:29,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-Zbw6MsTi9t2g.json,Zb,RREEPPLLAACCEE/Zb/w6/Zbw6MsTi9t2g.mp4,RREEPPLLAACCEE/Zb/w6/Zbw6MsTi9t2g_small.mp4
uif,0,0,0,Unavailable,2020-12-03,16:14:08,Unavailable,Unavailable,Unavailable,Unavailable,uif,uif,uif,meta-ZbwXZ0jPdHgH.json,Zb,RREEPPLLAACCEE/Zb/wX/ZbwXZ0jPdHgH.mp4,RREEPPLLAACCEE/Zb/wX/ZbwXZ0jPdHgH_small.mp4
Boots,0,0,0,Unavailable,2020-11-16,21:47:30,Panasonic,,Unavailable,Unavailable,Boots,Boots,Boots,meta-zB7kq6wwaPHm.json,zB,RREEPPLLAACCEE/zB/7k/zB7kq6wwaPHm.mp4,RREEPPLLAACCEE/zB/7k/zB7kq6wwaPHm_small.mp4
utente,0,0,0,Unavailable,2020-12-23,18:19:51,Unavailable,,Unavailable,Unavailable,utente,utente,utente,meta-zBwhDirL6NA6.json,zB,RREEPPLLAACCEE/zB/wh/zBwhDirL6NA6.mp4,RREEPPLLAACCEE/zB/wh/zBwhDirL6NA6_small.mp4
markstout,0,0,0,Unavailable,2020-11-02,12:58:55,Unavailable,,Unavailable,Unavailable,markstout,markstout,markstout,meta-zbGY0Wu0pOQZ.json,zb,RREEPPLLAACCEE/zb/GY/zbGY0Wu0pOQZ.mp4,RREEPPLLAACCEE/zb/GY/zbGY0Wu0pOQZ_small.mp4
Unavailable,28.0176,80.5355,6.228,Above Sea Level,2020-12-12,04:56:43,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZB0YM4KwdLVQ.json,ZB,RREEPPLLAACCEE/ZB/0Y/ZB0YM4KwdLVQ.mp4,RREEPPLLAACCEE/ZB/0Y/ZB0YM4KwdLVQ_small.mp4
Unavailable,26.7774,80.0323,4.292,Above Sea Level,2020-12-13,16:39:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZB36jHDyQ3nI.json,ZB,RREEPPLLAACCEE/ZB/36/ZB36jHDyQ3nI.mp4,RREEPPLLAACCEE/ZB/36/ZB36jHDyQ3nI_small.mp4
Unavailable,41.1690,174.8290,0,Unavailable,2020-12-30,20:03:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZB6JAJaNcMk5.json,ZB,RREEPPLLAACCEE/ZB/6J/ZB6JAJaNcMk5.mp4,RREEPPLLAACCEE/ZB/6J/ZB6JAJaNcMk5_small.mp4
Unavailable,33.6082,111.8829,440.607,Above Sea Level,2020-05-18,21:32:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZBDileBZIywq.json,ZB,RREEPPLLAACCEE/ZB/Di/ZBDileBZIywq.mp4,RREEPPLLAACCEE/ZB/Di/ZBDileBZIywq_small.mp4
